"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree",
"5001500US0101","Congressional District 1 (115th Congress), Alabama","492142","2777","5134","1186","0","200","130","145","71","117","344","335","691","506","581","461","664","369","1668","770","1667","652","5105","1397","10067","2270","12804","2520","13449","2529","7851","1341","138852","5897","26124","2717","27430","2901","76839","5024","39749","3374","80791","4566","31272","3265","7612","1396","3247","775",
"5001500US0102","Congressional District 2 (115th Congress), Alabama","456542","5176","5928","1245","108","113","0","200","69","80","335","319","594","322","424","342","1238","719","1578","497","4006","1078","6445","1183","10957","1622","11677","1471","16600","2098","9762","1545","121080","5541","27835","3158","23927","2411","68246","3593","40248","2971","66060","3398","30216","2919","5516","1036","3693","870",
"5001500US0103","Congressional District 3 (115th Congress), Alabama","478008","3709","5184","1249","0","200","177","222","77","89","453","410","510","377","572","505","448","297","2821","1053","4122","1124","8978","1405","9120","1625","14714","1942","13030","2246","8778","1391","123999","5053","26381","2433","29858","3319","82683","5031","42450","3649","60505","3818","30606","3130","6918","1346","5624","1071",
"5001500US0104","Congressional District 4 (115th Congress), Alabama","468029","4705","6776","1313","86","117","23","36","49","65","399","319","1619","785","641","346","1611","754","4750","1225","5527","1224","6769","1398","11788","1678","16771","2168","15924","2154","10716","1566","128817","5161","32130","2616","33775","3097","67523","3672","38712","2829","50197","3750","23994","2477","6331","1331","3101","827",
"5001500US0105","Congressional District 5 (115th Congress), Alabama","495480","2075","4385","1046","0","200","11","22","0","200","373","328","446","333","500","305","819","859","2846","1026","2421","875","5402","1267","8941","2179","11397","1885","9837","2147","7276","1529","107396","6181","26390","2793","30333","3248","76523","4428","41926","3546","99791","5260","43807","2982","6714","1413","7946","1527",
"5001500US0106","Congressional District 6 (115th Congress), Alabama","476115","6685","3591","1002","79","128","59","110","16","33","39","84","71","77","65","109","555","359","3040","982","1718","595","3420","906","5809","1301","6934","1558","8886","1464","6066","1480","101703","5386","20805","2430","26562","2045","68669","4885","38904","3678","111486","5503","44840","3441","14164","1773","8634","1452",
"5001500US0107","Congressional District 7 (115th Congress), Alabama","443291","8344","6858","1417","0","200","0","200","319","412","96","107","714","512","196","174","546","277","1936","742","3703","1306","4790","1099","7522","1437","11394","1785","18665","2731","12822","2301","128384","5919","20086","2693","22573","2405","74159","4745","36889","3141","59189","4356","23579","2538","4564","1067","4307","1191",
"5001500US0200","Congressional District (at Large) (115th Congress), Alaska","481561","2194","5109","1522","42","69","22","30","58","52","427","360","687","267","366","192","666","440","1770","542","1735","692","3364","693","2631","559","9164","1957","7798","1126","6197","1322","105599","4656","27533","2804","36507","3244","90478","4360","42724","3095","86444","4760","37005","2673","10673","1723","4562","974",
"5001500US0401","Congressional District 1 (115th Congress), Arizona","500978","6973","6429","1243","0","208","0","208","46","45","460","278","1406","545","758","437","1524","655","4163","1391","2804","955","6753","1235","8570","1488","12381","2258","13569","2278","9959","1492","113588","5155","20858","2305","36100","3342","96613","5316","38093","3000","75500","4943","36705","3356","8303","1909","6396","1208",
