"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001800US2205","Congressional District 5 (118th Congress), Louisiana","512277","5203","9222","1826","225","234","45","79","145","142","0","221","563","308","590","371","1722","629","2734","799","3497","974","6521","1234","12268","1717","14137","2626","17770","2384","7285","1319","149705","6000","37037","4029","32068","2971","77629","4856","33162","3501","67917","5210","26881","2799","5584","1338","5570","1393",
"5001800US2206","Congressional District 6 (118th Congress), Louisiana","512237","7353","7018","1828","95","160","161","265","59","103","194","243","236","274","764","484","1151","595","2252","1205","2150","863","3480","1293","7784","1998","8719","2037","10959","3090","7526","1783","129496","7162","28285","3124","33731","3486","65814","5391","37638","3501","104791","5730","40277","4374","10395","1841","9262","1612",
"5001800US2301","Congressional District 1 (118th Congress), Maine","525469","3291","3447","1151","78","134","0","179","0","179","154","252","256","317","0","179","199","329","258","214","106","176","2213","1009","1912","771","3282","805","2303","767","5174","1163","109433","5721","18394","2092","26878","2945","59564","4078","51977","3908","149601","6012","63625","4163","16304","2163","10311","1665",
"5001800US2302","Congressional District 2 (118th Congress), Maine","513991","3222","3254","783","155","173","173","180","113","196","0","179","185","261","171","105","98","135","715","447","926","407","6203","1187","4878","1009","5369","972","4774","945","6511","1418","147553","5627","29854","2681","37895","3386","62944","3996","57518","3747","92053","4367","38317","2865","7914","1308","6418","1231",
"5001800US2401","Congressional District 1 (118th Congress), Maryland","550968","4477","5926","1629","51","85","20","2","52","90","257","376","50","92","194","195","296","253","745","380","1587","638","3344","1199","5366","1508","5880","1403","6598","1216","11288","2333","145672","6173","18470","2560","40130","3550","59040","4043","51032","4646","112870","4851","61958","3713","11456","1910","8686","1406",
"5001800US2402","Congressional District 2 (118th Congress), Maryland","536883","9683","6979","1796","79","98","8","2","0","225","116","187","33","2","114","129","541","489","613","421","1382","889","3113","1332","2383","964","4409","1151","3398","1283","10209","2398","103203","6573","16425","2794","33134","3357","59068","5138","41642","4640","131506","6947","85520","5762","18213","2091","14795","2041",
"5001800US2403","Congressional District 3 (118th Congress), Maryland","540839","6607","13712","3307","0","225","48","16","63","106","43","70","42","71","235","229","649","945","1010","670","499","395","1198","560","3675","1197","3576","1405","2263","764","8256","1608","92472","5481","11464","2313","25259","2582","55019","3975","35680","3656","143977","6237","101379","5678","21546","2795","18774","2513",
"5001800US2404","Congressional District 4 (118th Congress), Maryland","494613","10378","22191","3579","639","588","164","227","1415","1222","380","361","2852","1414","1660","1221","2543","999","10415","2632","3276","1277","3445","1295","7172","1725","6429","1658","4469","1307","12949","2045","117837","6851","16889","3234","29874","3695","52442","4440","28455","3668","94625","6671","54982","4419","7495","1655","12015","2480",
"5001800US2405","Congressional District 5 (118th Congress), Maryland","564623","11958","7851","2283","62","107","103","170","34","54","75","120","46","80","36","61","51","80","1304","569","1711","1109","2498","982","2809","1068","3730","1086","4149","1295","7513","1334","124998","7674","15270","2240","39722","4125","73953","5387","43403","4595","123700","6408","90188","6514","11642","1520","9775","1934",
"5001800US2406","Congressional District 6 (118th Congress), Maryland","556123","6789","10810","2219","213","301","252","312","207","347","125","200","563","407","862","511","900","612","3546","1411","1198","616","2190","725","5481","1494","9573","1789","5723","1415","11479","2147","125645","6259","17940","2457","35654","3370","54972","4185","40368","3562","121311","5353","80743","4680","11143","1630","15225","2077",
"5001800US2407","Congressional District 7 (118th Congress), Maryland","516657","9584","12125","2607","167","201","0","225","92","116","72","92","168","182","850","740","1008","728","3061","1149","1343","546","3953","1332","6106","1518","8494","1559","10731","2120","14915","2260","127772","7608","25632","3691","37769","4100","57696","4927","34714","4158","92835","6323","54830","4961","12346","1801","9978","1583",
"5001800US2408","Congressional District 8 (118th Congress), Maryland","536733","7164","12753","2859","271","270","540","606","435","397","163","270","1411","932","841","661","1354","761","4625","1430","786","542","3104","1195","4812","1530","2538","1050","1300","713","6569","1633","58364","4849","7326","1580","15212","2156","41684","4079","26158","3115","143240","6242","118021","5956","42065","3615","43161","3217",
"5001800US2501","Congressional District 1 (118th Congress), Massachusetts","547501","6377","10679","2202","133","90","0","225","26","42","968","743","383","258","1592","1129","1190","743","2053","1019","1878","837","2516","897","7748","1947","7184","1638","9505","2120","10865","2207","145018","6177","30241","3992","37858","3419","53424","3808","51134","3831","99661","6116","56714","3997","8198","1479","8533","1699",
"5001800US2502","Congressional District 2 (118th Congress), Massachusetts","547761","8411","7879","2009","209","185","0","225","0","225","1394","925","611","451","797","631","908","512","1778","677","1942","1091","3550","1249","4634","1251","7775","1797","5802","1423","7338","1521","111407","6486","12752","1999","27191","3065","47500","3751","42446","3236","137383","6528","90956","5589","13469","1769","20040","2450",
"5001800US2503","Congressional District 3 (118th Congress), Massachusetts","535747","8627","10403","1850","217","231","0","225","397","312","162","155","2015","746","1531","808","1528","738","4111","1268","1829","883","6893","1920","6316","1526","5748","1826","6722","1624","10220","1848","118128","6912","21084","3049","29238","3043","48759","3828","39224","3445","125163","5638","75882","5019","9142","1529","11035","1476",
