"search_key","type","number","congress","effective_date","year","month","bioguide_id","issue"
"[""china""]","HAMDT","237","115","26/7/2017","2017","07","P000598","Energy"
"[""china""]","HAMDT","238","115","26/7/2017","2017","07","M001180","Energy"
"[""china""]","HAMDT","240","115","26/7/2017","2017","07","E000293","Commerce"
"[""china""]","HAMDT","241","115","26/7/2017","2017","07","J000032","Environmental Protection"
"[""china""]","HAMDT","242","115","26/7/2017","2017","07","L000580","Government Operations and Politics"
"[""china""]","HAMDT","243","115","26/7/2017","2017","07","F000454","Commerce"
"[""china""]","HAMDT","244","115","26/7/2017","2017","07","G000559","Armed Forces"
"[""china""]","HAMDT","245","115","26/7/2017","2017","07","R000608","Commerce"
"[""china""]","HAMDT","246","115","26/7/2017","2017","07","P000597","Commerce"
"[""china""]","HAMDT","247","115","26/7/2017","2017","07","K000390","Commerce"
"[""china""]","HAMDT","248","115","26/7/2017","2017","07","J000032","Economics and Public Finance"
"[""china""]","HAMDT","249","115","26/7/2017","2017","07","J000032","Transportation and Public Works"
"[""china""]","HAMDT","250","115","26/7/2017","2017","07","J000032","Commerce"
"[""china""]","HAMDT","251","115","26/7/2017","2017","07","G000565","Commerce"
"[""china""]","HAMDT","252","115","26/7/2017","2017","07","D000617","Commerce"
"[""china""]","HAMDT","253","115","26/7/2017","2017","07","B001248","Commerce"
"[""china""]","HAMDT","254","115","26/7/2017","2017","07","B001243","Economics and Public Finance"
"[""china""]","HAMDT","255","115","26/7/2017","2017","07","P000605","Commerce"
"[""china""]","HAMDT","256","115","27/7/2017","2017","07","B001305","Labor and Employment"
"[""china""]","HAMDT","257","115","27/7/2017","2017","07","M001201","Commerce"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","273","115","6/9/2017","2017","09","A000055","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","274","115","6/9/2017","2017","09","C001084","International Trade"
"[""china"", ""tibet"", ""taiwan""]","HAMDT","275","115","6/9/2017","2017","09","D000619","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","276","115","6/9/2017","2017","09","K000362","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","278","115","6/9/2017","2017","09","C001103","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","279","115","6/9/2017","2017","09","K000362","International Trade"
"[""china"", ""tibet"", ""taiwan""]","HAMDT","280","115","6/9/2017","2017","09","D000600","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","281","115","6/9/2017","2017","09","L000563","International Trade"
"[""china"", ""tibet"", ""taiwan""]","HAMDT","282","115","6/9/2017","2017","09","M001201","International Trade"
"[""tibet"", ""china"", ""taiwan""]","HAMDT","283","115","6/9/2017","2017","09","M001177","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","284","115","6/9/2017","2017","09","K000380","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","285","115","6/9/2017","2017","09","W000810","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","286","115","6/9/2017","2017","09","B001305","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","287","115","6/9/2017","2017","09","B001274","Government Operations and Politics"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","288","115","6/9/2017","2017","09","S001200","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","289","115","6/9/2017","2017","09","C001112","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","290","115","6/9/2017","2017","09","R000608","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","291","115","6/9/2017","2017","09","G000576","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","292","115","6/9/2017","2017","09","C001069","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","293","115","6/9/2017","2017","09","G000576","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","294","115","6/9/2017","2017","09","S001187","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","295","115","6/9/2017","2017","09","T000467","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","296","115","6/9/2017","2017","09","K000362","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","297","115","6/9/2017","2017","09","J000032","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","298","115","6/9/2017","2017","09","H001056","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","299","115","6/9/2017","2017","09","G000576","Foreign Affairs"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","300","115","6/9/2017","2017","09","B001282","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","301","115","6/9/2017","2017","09","S001195","Immigration"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","302","115","6/9/2017","2017","09","P000605","International Trade"
"[""tibet"", ""taiwan"", ""china""]","HAMDT","303","115","6/9/2017","2017","09","B001291","International Trade"
"[""china"", ""tibet"", ""taiwan""]","HAMDT","304","115","6/9/2017","2017","09","K000362","International Trade"
"[""china""]","HAMDT","306","115","6/9/2017","2017","09","L000580","National Security"
"[""china""]","HAMDT","307","115","6/9/2017","2017","09","J000298","Government Operations and Politics"
"[""china""]","HAMDT","308","115","6/9/2017","2017","09","F000466","National Security"
"[""china""]","HAMDT","309","115","6/9/2017","2017","09","C001091","National Security"
"[""china""]","HAMDT","310","115","7/9/2017","2017","09","R000486","National Security"
"[""china""]","HAMDT","311","115","7/9/2017","2017","09","C001091","National Security"
"[""china""]","HAMDT","312","115","7/9/2017","2017","09","C001110","National Security"
"[""china""]","HAMDT","313","115","7/9/2017","2017","09","H001048","National Security"
"[""china""]","HAMDT","316","115","7/9/2017","2017","09","C001091","Immigration"
"[""china""]","HAMDT","317","115","7/9/2017","2017","09","J000298","Government Operations and Politics"
"[""china""]","HAMDT","318","115","7/9/2017","2017","09","Z000017","Commerce"
"[""china""]","HAMDT","319","115","7/9/2017","2017","09","K000362","Labor and Employment"
"[""china""]","HAMDT","324","115","7/9/2017","2017","09","E000179","Human Rights"
"[""china""]","HAMDT","325","115","7/9/2017","2017","09","F000462","Human Rights"
"[""china""]","HAMDT","326","115","7/9/2017","2017","09","H000324","Human Rights"
"[""china""]","HAMDT","327","115","7/9/2017","2017","09","H000324","Human Rights"
"[""china""]","HAMDT","328","115","7/9/2017","2017","09","G000576","Human Rights"
"[""china""]","HAMDT","329","115","7/9/2017","2017","09","P000594","Human Rights"
"[""china""]","HAMDT","330","115","7/9/2017","2017","09","Y000065","Human Rights"
"[""china""]","HAMDT","331","115","7/9/2017","2017","09","G000578","Human Rights"
"[""china""]","HAMDT","373","115","12/9/2017","2017","09","C001048","Crime and Law Enforcement"
"[""china""]","HAMDT","374","115","12/9/2017","2017","09","T000474","Crime and Law Enforcement"
"[""china""]","HAMDT","375","115","12/9/2017","2017","09","M001180","Crime and Law Enforcement"
"[""china""]","HAMDT","376","115","12/9/2017","2017","09","R000608","Crime and Law Enforcement"
"[""china""]","HAMDT","377","115","12/9/2017","2017","09","C001068","Crime and Law Enforcement"
"[""china""]","HAMDT","378","115","12/9/2017","2017","09","G000576","Crime and Law Enforcement"
"[""china""]","HAMDT","379","115","12/9/2017","2017","09","G000576","Crime and Law Enforcement"
"[""china""]","HAMDT","380","115","12/9/2017","2017","09","C001068","Crime and Law Enforcement"
"[""china""]","HAMDT","381","115","12/9/2017","2017","09","P000096","Crime and Law Enforcement"
"[""china""]","HAMDT","382","115","12/9/2017","2017","09","S000583","Finance and Financial Sector"
"[""china""]","HAMDT","383","115","12/9/2017","2017","09","S000185","Civil Rights and Liberties, Minority Issues"
"[""china""]","HAMDT","384","115","12/9/2017","2017","09","Z000017","Crime and Law Enforcement"
"[""china""]","HAMDT","385","115","12/9/2017","2017","09","N000147","Crime and Law Enforcement"
"[""china""]","HAMDT","386","115","12/9/2017","2017","09","L000566","Crime and Law Enforcement"
"[""china""]","HAMDT","387","115","12/9/2017","2017","09","G000578","Crime and Law Enforcement"
"[""china""]","HAMDT","388","115","12/9/2017","2017","09","S000248","Crime and Law Enforcement"
"[""china""]","HAMDT","389","115","12/9/2017","2017","09","F000461","Crime and Law Enforcement"
"[""china""]","HAMDT","390","115","12/9/2017","2017","09","B001297","Crime and Law Enforcement"
"[""china""]","HAMDT","391","115","12/9/2017","2017","09","A000367","Civil Rights and Liberties, Minority Issues"
"[""china""]","HAMDT","392","115","12/9/2017","2017","09","R000580","Crime and Law Enforcement"
"[""china""]","HAMDT","393","115","12/9/2017","2017","09","W000798","Crime and Law Enforcement"
"[""china""]","HAMDT","394","115","12/9/2017","2017","09","R000606","Crime and Law Enforcement"
"[""china""]","HAMDT","395","115","12/9/2017","2017","09","C001053","Crime and Law Enforcement"
"[""china""]","HAMDT","429","115","13/9/2017","2017","09","G000560","Human Rights"
"[""china""]","HAMDT","430","115","13/9/2017","2017","09","R000580","International Trade"
"[""china""]","HAMDT","431","115","13/9/2017","2017","09","R000580","Foreign Affairs"
"[""china""]","HAMDT","432","115","13/9/2017","2017","09","P000609","Foreign Affairs"
"[""china""]","HAMDT","433","115","13/9/2017","2017","09","G000552","Taxation"
"[""china""]","HAMDT","434","115","13/9/2017","2017","09","N000147","Foreign Affairs"
"[""china""]","HAMDT","435","115","13/9/2017","2017","09","E000288","Human Rights"
"[""china""]","HAMDT","436","115","13/9/2017","2017","09","E000288","International Trade"
"[""china""]","HAMDT","437","115","13/9/2017","2017","09","E000288","International Trade"
"[""china""]","HAMDT","438","115","13/9/2017","2017","09","M001201","Foreign Affairs"
"[""china""]","HAMDT","439","115","13/9/2017","2017","09","J000297","Crime and Law Enforcement"
"[""china""]","HAMDT","440","115","13/9/2017","2017","09","J000032","Economics and Public Finance"
"[""china""]","HAMDT","441","115","13/9/2017","2017","09","H001058","Human Rights"
