rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name,congress,chamber
41,60,40,0.335030324,456797,H000273,CO,,b'Hickenlooper',117,senate
42,59,41,0.338422715,412390,C001088,DE,,b'Coons',117,senate
43,58,42,0.346033257,412545,K000383,ME,,b'King',117,senate
44,57,43,0.355796588,412305,P000595,MI,,b'Peters',117,senate
45,56,44,0.377646486,412244,T000464,MT,,b'Tester',117,senate
46,55,45,0.399793348,456794,K000377,AZ,,b'Kelly',117,senate
47,54,46,0.436119072,412680,H001076,NH,,b'Hassan',117,senate
48,53,47,0.446686774,412391,M001183,WV,,b'Manchin',117,senate
49,52,48,0.448622426,300025,C001035,ME,,b'Collins',117,senate
50,51,49,0.464158243,456858,W000790,GA,,b'Warnock',117,senate
51,50,50,0.473296746,300075,M001153,AK,,b'Murkowski',117,senate
52,49,51,0.500967035,412509,S001191,AZ,,b'Sinema',117,senate
53,48,52,0.54812069,400325,P000449,OH,,b'Portman',117,senate
54,47,53,0.577739001,300089,S000320,AL,,b'Shelby',117,senate
55,46,54,0.584409139,400034,B000575,MO,,b'Blunt',117,senate
56,45,55,0.596688838,412841,R000615,UT,,b'Romney',117,senate
57,44,56,0.599687534,300072,M000355,KY,,b'McConnell',117,senate
58,43,57,0.605472892,400054,B001135,NC,,b'Burr',117,senate
59,42,58,0.607637715,400408,T000461,PA,,b'Toomey',117,senate
60,41,59,0.61478303,400061,C001047,WV,,b'Capito',117,senate
61,40,60,0.619070797,300047,G000359,SC,,b'Graham',117,senate
62,39,61,0.652100684,412665,S001198,AK,,b'Sullivan',117,senate
63,38,62,0.670073593,300048,G000386,IA,,b'Grassley',117,senate
64,37,63,0.677696674,412428,Y000064,IN,,b'Young',117,senate
65,36,64,0.682348711,412269,C001075,LA,,b'Cassidy',117,senate
66,35,65,0.684229649,412671,S001197,NE,,b'Sasse',117,senate
67,34,66,0.684883323,412492,P000603,KY,,b'Paul',117,senate
68,33,67,0.688576408,412556,F000463,NE,,b'Fischer',117,senate
69,32,68,0.716270292,400284,M000934,KS,,b'Moran',117,senate
70,31,69,0.743401706,412496,J000293,WI,,b'Johnson',117,senate
71,30,70,0.753748788,412495,L000577,UT,,b'Lee',117,senate
72,29,71,0.763788503,400432,W000437,MS,,b'Wicker',117,senate
73,28,72,0.768699283,400040,B001236,AR,,b'Boozman',117,senate
74,27,73,0.772226738,300027,C001056,TX,,b'Cornyn',117,senate
75,26,74,0.781356078,412471,S001184,SC,,b'Scott',117,senate
76,25,75,0.784008561,412669,R000605,SD,,b'Rounds',117,senate
77,24,76,0.785684351,412679,K000393,LA,,b'Kennedy',117,senate
78,23,77,0.795060856,400546,T000250,SD,,b'Thune',117,senate
79,22,78,0.808701355,456796,T000278,AL,,b'Tuberville',117,senate
80,21,79,0.815683863,412494,H001061,ND,,b'Hoeven',117,senate
81,20,80,0.817902617,412251,B001261,WY,,b'Barrasso',117,senate
82,19,81,0.819146178,412668,T000476,NC,,b'Tillis',117,senate
83,18,82,0.823331952,300030,C000880,ID,,b'Crapo',117,senate
84,17,83,0.826265401,412667,E000295,IA,,b'Ernst',117,senate
85,16,84,0.829109062,412322,R000584,ID,,b'Risch',117,senate
86,15,85,0.831181764,412491,R000595,FL,,b'Rubio',117,senate
87,14,86,0.857410027,456798,H000601,TN,,b'Hagerty',117,senate
88,13,87,0.859322245,412549,D000618,MT,,b'Daines',117,senate
89,12,88,0.864366196,412840,H001089,MO,,b'Hawley',117,senate
90,11,89,0.868059764,412743,H001079,MS,,b'Hyde-Smith',117,senate
91,10,90,0.876390364,412508,C001095,AR,,b'Cotton',117,senate
92,9,91,0.880238318,300055,I000024,OK,,b'Inhofe',117,senate
93,8,92,0.882124792,412704,M001198,KS,,b'Marshall',117,senate
94,7,93,0.893292958,412294,L000571,WY,,b'Lummis',117,senate
95,6,94,0.899929337,412464,L000575,OK,,b'Lankford',117,senate
96,5,95,0.910896298,412555,C001096,ND,,b'Cramer',117,senate
97,4,96,0.932282399,400032,B001243,TN,,b'Blackburn',117,senate
98,3,97,0.944056385,412573,C001098,TX,,b'Cruz',117,senate
99,2,98,0.981068743,412839,B001310,IN,,b'Braun',117,senate
100,1,99,1,412838,S001217,FL,,b'Scott',117,senate
1,100,0,0,400357,S000033,VT,,b'Sanders',118,senate
2,99,1,0.056155124,412239,W000800,VT,,b'Welch',118,senate
3,98,2,0.072088126,412325,M001176,OR,,b'Merkley',118,senate
4,97,3,0.083912261,412490,B001277,CT,,b'Blumenthal',118,senate
5,96,4,0.083937898,412542,W000817,MA,,b'Warren',118,senate
6,95,5,0.099969837,400253,M000133,MA,,b'Markey',118,senate
7,94,6,0.103822842,300100,W000779,OR,,b'Wyden',118,senate
8,93,7,0.116603794,412598,B001288,NJ,,b'Booker',118,senate
9,92,8,0.133819515,456856,P000145,CA,,b'Padilla',118,senate
10,91,9,0.134729481,400415,V000128,MD,,b'Van Hollen',118,senate
11,90,10,0.142543347,412247,W000802,RI,,b'Whitehouse',118,senate
12,89,11,0.150510415,412200,H001042,HI,,b'Hirono',118,senate
13,88,12,0.160677955,412533,D000622,IL,,b'Duckworth',118,senate
14,87,13,0.17302967,300038,D000563,IL,,b'Durbin',118,senate
15,86,14,0.184657974,412742,S001203,MN,,b'Smith',118,senate
16,85,15,0.195319885,412194,M001169,CT,,b'Murphy',118,senate
17,84,16,0.19733982,456877,F000479,PA,,b'Fetterman',118,senate
18,83,17,0.215724127,400050,B000944,OH,,b'Brown',118,senate
19,82,18,0.219025612,300081,R000122,RI,,b'Reed',118,senate
20,81,19,0.239276223,400013,B001230,WI,,b'Baldwin',118,senate
21,80,20,0.242306256,300076,M001111,WA,,b'Murray',118,senate
22,79,21,0.244347443,412223,G000555,NY,,b'Gillibrand',118,senate
23,78,22,0.249339591,412242,K000367,MN,,b'Klobuchar',118,senate
24,77,23,0.256407849,300093,S000770,MI,,b'Stabenow',118,senate
25,76,24,0.26256775,412281,H001046,NM,,b'Heinrich',118,senate
26,75,25,0.262586482,412293,L000570,NM,,b'Luj\xc3\xa1n',118,senate
27,74,26,0.268699822,412507,S001194,HI,,b'Schatz',118,senate
28,73,27,0.27035921,400064,C000141,MD,,b'Cardin',118,senate
29,72,28,0.288902378,412246,C001070,PA,,b'Casey',118,senate
30,71,29,0.318293583,300018,C000127,WA,,b'Cantwell',118,senate
31,70,30,0.322222065,412582,K000384,VA,,b'Kaine',118,senate
32,69,31,0.332916773,300087,S000148,NY,,b'Schumer',118,senate
33,68,32,0.333698636,412681,C001113,NV,,b'Cortez Masto',118,senate
34,67,33,0.355549888,412323,S001181,NH,,b'Shaheen',118,senate
35,66,34,0.355834423,412545,K000383,ME,,b'King',118,senate
