rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name,congress
1,100,0,0,400357,S000033,VT,,b'Sanders',117
2,99,1,0.013965968,400253,M000133,MA,,b'Markey',117
3,98,2,0.020032438,456856,P000145,CA,,b'Padilla',117
4,97,3,0.031065595,412490,B001277,CT,,b'Blumenthal',117
5,96,4,0.03554141,412325,M001176,OR,,b'Merkley',117
6,95,5,0.045580298,412598,B001288,NJ,,b'Booker',117
7,94,6,0.058387501,412542,W000817,MA,,b'Warren',117
8,93,7,0.059141313,300100,W000779,OR,,b'Wyden',117
9,92,8,0.071544712,412200,H001042,HI,,b'Hirono',117
10,91,9,0.075653326,412742,S001203,MN,,b'Smith',117
11,90,10,0.085573377,300038,D000563,IL,,b'Durbin',117
12,89,11,0.092394026,400050,B000944,OH,,b'Brown',117
13,88,12,0.094440418,412533,D000622,IL,,b'Duckworth',117
14,87,13,0.117646769,400415,V000128,MD,,b'Van Hollen',117
15,86,14,0.120722021,412223,G000555,NY,,b'Gillibrand',117
16,85,15,0.124737669,412247,W000802,RI,,b'Whitehouse',117
17,84,16,0.130504325,412242,K000367,MN,,b'Klobuchar',117
18,83,17,0.142703589,300076,M001111,WA,,b'Murray',117
19,82,18,0.144121082,300065,L000174,VT,,b'Leahy',117
20,81,19,0.145861826,300081,R000122,RI,,b'Reed',117
21,80,20,0.150865658,300043,F000062,CA,,b'Feinstein',117
22,79,21,0.152635019,412194,M001169,CT,,b'Murphy',117
23,78,22,0.171897216,412246,C001070,PA,,b'Casey',117
24,77,23,0.174860888,412293,L000570,NM,,b'Luj\xc3\xa1n',117
25,76,24,0.176999238,400013,B001230,WI,,b'Baldwin',117
26,75,25,0.191515157,400272,M000639,NJ,,b'Menendez',117
27,74,26,0.199499027,400064,C000141,MD,,b'Cardin',117
28,73,27,0.200703735,412281,H001046,NM,,b'Heinrich',117
29,72,28,0.203600708,412582,K000384,VA,,b'Kaine',117
30,71,29,0.213250459,412507,S001194,HI,,b'Schatz',117
31,70,30,0.216591445,300018,C000127,WA,,b'Cantwell',117
32,69,31,0.221949396,300093,S000770,MI,,b'Stabenow',117
33,68,32,0.236574567,412681,C001113,NV,,b'Cortez Masto',117
34,67,33,0.239789022,300087,S000148,NY,,b'Schumer',117
35,66,34,0.248044569,412330,B001267,CO,,b'Bennet',117
36,65,35,0.292566532,412323,S001181,NH,,b'Shaheen',117
37,64,36,0.303405365,456857,O000174,GA,,b'Ossoff',117
38,63,37,0.308548351,412715,R000608,NV,,b'Rosen',117
39,62,38,0.309479385,300019,C000174,DE,,b'Carper',117
40,61,39,0.330221685,412321,W000805,VA,,b'Warner',117
41,60,40,0.335030324,456797,H000273,CO,,b'Hickenlooper',117
42,59,41,0.338422715,412390,C001088,DE,,b'Coons',117
43,58,42,0.346033257,412545,K000383,ME,,b'King',117
44,57,43,0.355796588,412305,P000595,MI,,b'Peters',117
45,56,44,0.377646486,412244,T000464,MT,,b'Tester',117
46,55,45,0.399793348,456794,K000377,AZ,,b'Kelly',117
47,54,46,0.436119072,412680,H001076,NH,,b'Hassan',117
48,53,47,0.446686774,412391,M001183,WV,,b'Manchin',117
49,52,48,0.448622426,300025,C001035,ME,,b'Collins',117
50,51,49,0.464158243,456858,W000790,GA,,b'Warnock',117
51,50,50,0.473296746,300075,M001153,AK,,b'Murkowski',117
52,49,51,0.500967035,412509,S001191,AZ,,b'Sinema',117
