rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name,congress
53,48,52,0.54812069,400325,P000449,OH,,b'Portman',117
54,47,53,0.577739001,300089,S000320,AL,,b'Shelby',117
55,46,54,0.584409139,400034,B000575,MO,,b'Blunt',117
56,45,55,0.596688838,412841,R000615,UT,,b'Romney',117
57,44,56,0.599687534,300072,M000355,KY,,b'McConnell',117
58,43,57,0.605472892,400054,B001135,NC,,b'Burr',117
59,42,58,0.607637715,400408,T000461,PA,,b'Toomey',117
60,41,59,0.61478303,400061,C001047,WV,,b'Capito',117
61,40,60,0.619070797,300047,G000359,SC,,b'Graham',117
62,39,61,0.652100684,412665,S001198,AK,,b'Sullivan',117
63,38,62,0.670073593,300048,G000386,IA,,b'Grassley',117
64,37,63,0.677696674,412428,Y000064,IN,,b'Young',117
65,36,64,0.682348711,412269,C001075,LA,,b'Cassidy',117
66,35,65,0.684229649,412671,S001197,NE,,b'Sasse',117
67,34,66,0.684883323,412492,P000603,KY,,b'Paul',117
68,33,67,0.688576408,412556,F000463,NE,,b'Fischer',117
69,32,68,0.716270292,400284,M000934,KS,,b'Moran',117
70,31,69,0.743401706,412496,J000293,WI,,b'Johnson',117
71,30,70,0.753748788,412495,L000577,UT,,b'Lee',117
72,29,71,0.763788503,400432,W000437,MS,,b'Wicker',117
73,28,72,0.768699283,400040,B001236,AR,,b'Boozman',117
74,27,73,0.772226738,300027,C001056,TX,,b'Cornyn',117
75,26,74,0.781356078,412471,S001184,SC,,b'Scott',117
76,25,75,0.784008561,412669,R000605,SD,,b'Rounds',117
77,24,76,0.785684351,412679,K000393,LA,,b'Kennedy',117
78,23,77,0.795060856,400546,T000250,SD,,b'Thune',117
79,22,78,0.808701355,456796,T000278,AL,,b'Tuberville',117
80,21,79,0.815683863,412494,H001061,ND,,b'Hoeven',117
81,20,80,0.817902617,412251,B001261,WY,,b'Barrasso',117
82,19,81,0.819146178,412668,T000476,NC,,b'Tillis',117
83,18,82,0.823331952,300030,C000880,ID,,b'Crapo',117
84,17,83,0.826265401,412667,E000295,IA,,b'Ernst',117
85,16,84,0.829109062,412322,R000584,ID,,b'Risch',117
86,15,85,0.831181764,412491,R000595,FL,,b'Rubio',117
87,14,86,0.857410027,456798,H000601,TN,,b'Hagerty',117
88,13,87,0.859322245,412549,D000618,MT,,b'Daines',117
89,12,88,0.864366196,412840,H001089,MO,,b'Hawley',117
90,11,89,0.868059764,412743,H001079,MS,,b'Hyde-Smith',117
91,10,90,0.876390364,412508,C001095,AR,,b'Cotton',117
92,9,91,0.880238318,300055,I000024,OK,,b'Inhofe',117
93,8,92,0.882124792,412704,M001198,KS,,b'Marshall',117
94,7,93,0.893292958,412294,L000571,WY,,b'Lummis',117
95,6,94,0.899929337,412464,L000575,OK,,b'Lankford',117
96,5,95,0.910896298,412555,C001096,ND,,b'Cramer',117
97,4,96,0.932282399,400032,B001243,TN,,b'Blackburn',117
98,3,97,0.944056385,412573,C001098,TX,,b'Cruz',117
99,2,98,0.981068743,412839,B001310,IN,,b'Braun',117
100,1,99,1,412838,S001217,FL,,b'Scott',117
