"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001600US3403","Congressional District 3 (116th Congress), New Jersey","543684","1833","5163","698","180","120","102","61","53","50","94","55","338","177","471","163","1032","279","1023","205","457","154","2992","337","3004","482","5128","589","5453","571","9019","788","148268","3235","15232","807","37453","1600","65393","1770","44974","1542","129170","3040","51110","1767","12145","885","5430","624",
"5001600US3404","Congressional District 4 (116th Congress), New Jersey","529605","2392","4488","533","146","96","93","58","114","80","102","104","414","195","219","94","834","245","2740","623","760","263","3373","608","3307","641","4157","611","4644","648","8693","778","121237","2533","11229","853","30262","1374","59399","2161","40572","1741","144727","2960","65407","1929","15660","957","7028","557",
"5001600US3405","Congressional District 5 (116th Congress), New Jersey","523448","2068","6056","587","160","76","29","25","69","62","68","55","730","248","454","152","1183","320","1597","413","801","202","3103","428","2307","427","3412","468","3642","507","6741","634","105387","2453","9498","699","26203","1301","52984","2030","34698","1578","161447","2381","73939","2019","20046","1219","8894","701",
"5001600US3406","Congressional District 6 (116th Congress), New Jersey","520610","2207","8464","726","88","70","162","102","192","120","814","309","1131","258","1389","296","3053","593","4122","575","2125","476","4915","633","4763","584","6329","680","5458","641","12695","953","117840","2665","13746","1042","26546","1362","54312","1895","35421","1552","130542","2418","66009","1735","11608","864","8886","738",
"5001600US3407","Congressional District 7 (116th Congress), New Jersey","531280","1982","5520","557","151","88","73","88","86","75","297","139","394","164","950","331","1124","295","2946","613","833","215","2688","450","2113","377","3737","614","3097","496","5087","520","96238","2372","8486","691","24789","1352","46670","1782","33308","1542","163302","2631","91117","1973","22304","1189","15970","1025",
"5001600US3408","Congressional District 8 (116th Congress), New Jersey","569173","4275","16355","1260","414","141","324","166","558","198","1590","372","3107","478","4194","657","4413","598","16543","1284","4156","672","12155","1102","9642","869","6939","734","7918","710","14279","1364","145127","4253","13356","1131","20024","1402","54902","2365","26145","1510","124420","2758","62407","2334","11534","791","8671","805",
"5001600US3409","Congressional District 9 (116th Congress), New Jersey","541788","1926","11862","1051","332","174","176","82","561","216","395","166","1541","370","1945","357","2873","611","8788","856","2000","514","10505","948","6391","832","6231","727","7260","729","10461","812","151303","3538","12231","959","22088","1232","59521","2246","31581","1800","123725","2993","49439","2150","14027","1105","6552","654",
"5001600US3410","Congressional District 10 (116th Congress), New Jersey","544331","3990","12638","1216","144","90","236","110","354","182","489","231","1793","435","2005","411","1493","302","5771","950","1912","424","5977","873","6018","617","7482","689","10477","800","12918","1039","146311","3272","17655","1395","26608","1522","72510","2643","36853","2250","111462","3206","46129","1695","10496","1104","6600","666",
"5001600US3411","Congressional District 11 (116th Congress), New Jersey","536027","2130","4595","604","155","83","82","53","19","19","224","138","152","87","284","87","1353","341","1767","459","892","305","2254","363","1510","327","2511","382","3111","365","6086","544","96538","2485","7719","665","23691","1350","47283","1535","30588","1175","176097","2730","93092","2428","23183","1382","12841","973",
"5001600US3412","Congressional District 12 (116th Congress), New Jersey","536036","2737","7783","885","206","130","69","58","134","110","691","261","1501","365","1222","362","1725","382","5141","716","2119","470","3205","508","5064","760","5231","661","5916","811","9532","951","113939","3335","11878","1123","23448","1356","51023","1762","32224","1619","141278","3507","81890","2634","14742","908","16075","1066",
