congress,committee_el,issue,total_mentions
115,Committee on Small Business,labor and employment,16
115,Committee on the Judiciary,"science, technology, communications",16
115,"Committee on Banking, Housing, and Urban Affairs",Crime and Law enforcement,14
115,"Committee on Banking, Housing, and Urban Affairs",education,14
115,Committee on Foreign Relations,law,14
115,Committee on Rules,education,14
115,Committee on Rules,"science, technology, communications",14
115,Committee on Rules and Administration,"Art, Culture, Religion",14
115,Committee on Rules and Administration,labor and employment,14
115,Committee on Rules and Administration,law,14
115,"Committee on Science, Space, and Technology","Art, Culture, Religion",14
115,Committee on Small Business,law,14
115,Committee on Small Business and Entrepreneurship,labor and employment,14
115,"Committee on Agriculture, Nutrition, and Forestry","science, technology, communications",12
115,Committee on Energy and Natural Resources,"Art, Culture, Religion",12
115,Committee on Energy and Natural Resources,labor and employment,12
115,Committee on Energy and Natural Resources,law,12
115,Committee on Ethics,National Security,12
115,Committee on House Administration,health,12
115,Committee on Small Business,health,12
115,Committee on Small Business and Entrepreneurship,Congressional political operations,12
115,Committee on Small Business and Entrepreneurship,Crime and Law enforcement,12
115,Committee on Veterans' Affairs,"Art, Culture, Religion",12
118,NA,"Art, Culture, Religion",262
115,Committee on Veterans' Affairs,law,12
115,"Committee on Agriculture, Nutrition, and Forestry",Congressional political operations,10
115,Committee on Finance,labor and employment,10
115,Committee on Finance,law,10
115,Committee on Foreign Relations,human rights,10
115,"Committee on Science, Space, and Technology",labor and employment,10
115,Committee on Veterans' Affairs,labor and employment,10
115,Committee on Foreign Relations,Congressional political operations,8
115,Committee on Foreign Relations,National Security,8
115,Committee on Rules and Administration,"science, technology, communications",8
115,Committee on Small Business,National Security,8
115,Committee on Environment and Public Works,"civil rights and liberties, minority issues",6
115,Committee on Environment and Public Works,education,6
115,Committee on Finance,Congressional political operations,6
115,Committee on Finance,National Security,6
115,Committee on Rules and Administration,education,6
115,Committee on Veterans' Affairs,education,6
115,Committee on Veterans' Affairs,"science, technology, communications",6
115,Committee on Energy and Natural Resources,National Security,4
115,Committee on Energy and Natural Resources,education,4
115,"Committee on Health, Education, Labor, and Pensions","Art, Culture, Religion",4
115,"Committee on Health, Education, Labor, and Pensions",labor and employment,4
115,"Committee on Health, Education, Labor, and Pensions",law,4
115,"Committee on Science, Space, and Technology",health,4
115,"Committee on Science, Space, and Technology",immigration,4
115,"Committee on Science, Space, and Technology",law,4
115,"Committee on Health, Education, Labor, and Pensions","civil rights and liberties, minority issues",2
115,"Committee on Health, Education, Labor, and Pensions",education,2
116,Committee on Armed Services,"Art, Culture, Religion",1112
116,Committee on Financial Services,"Art, Culture, Religion",1096
116,Committee on Appropriations,"Art, Culture, Religion",886
116,Committee on Foreign Affairs,"Art, Culture, Religion",790
116,Committee on Financial Services,law,778
116,Committee on Agriculture,"Art, Culture, Religion",770
116,Committee on Armed Services,law,722
116,Committee on Financial Services,labor and employment,654
116,Committee on Energy and Commerce,"Art, Culture, Religion",622
116,Committee on Financial Services,health,620
116,Committee on Appropriations,law,600
116,Committee on Financial Services,"science, technology, communications",586
116,Committee on Armed Services,labor and employment,584
116,Committee on Armed Services,"science, technology, communications",562
116,Committee on Foreign Affairs,law,562
116,Committee on Appropriations,health,542
116,Committee on Appropriations,labor and employment,522
116,Committee on Agriculture,law,516
116,Committee on the Budget,"Art, Culture, Religion",502
116,Committee on Armed Services,health,496
118,NA,law,190
116,Committee on Energy and Commerce,law,472
116,Permanent Select Committee on Intelligence,"Art, Culture, Religion",460
116,Committee on Appropriations,"science, technology, communications",456
116,Committee on Agriculture,labor and employment,438
116,Committee on Education and the Workforce,"Art, Culture, Religion",424
116,Committee on Foreign Affairs,labor and employment,420
116,Committee on Energy and Commerce,health,406
116,Committee on Foreign Affairs,"science, technology, communications",406
116,Committee on Energy and Commerce,labor and employment,394
116,Committee on Agriculture,health,386
116,Special Committee on Aging,"Art, Culture, Religion",382
116,Committee on Foreign Affairs,health,372
116,Committee on Energy and Commerce,"science, technology, communications",366
116,Committee on Agriculture,"science, technology, communications",354
116,Committee on the Budget,law,342
116,Committee on Oversight and Accountability,"Art, Culture, Religion",328
116,Permanent Select Committee on Intelligence,law,320
116,Committee on Ways and Means,"Art, Culture, Religion",312
116,Committee on Education and the Workforce,law,304
116,Committee on Transportation and Infrastructure,"Art, Culture, Religion",298
116,Committee on Natural Resources,"Art, Culture, Religion",292
116,Committee on the Budget,labor and employment,274
116,Committee on the Budget,health,272
116,Permanent Select Committee on Intelligence,labor and employment,266
116,Committee on the Budget,"science, technology, communications",258
116,Special Committee on Aging,law,254
116,Permanent Select Committee on Intelligence,"science, technology, communications",252
116,Committee on Education and the Workforce,health,250
116,Committee on Education and the Workforce,labor and employment,238
116,Committee on Ways and Means,law,236
116,Permanent Select Committee on Intelligence,health,232
116,Joint Economic Committee,"Art, Culture, Religion",230
116,Committee on Oversight and Accountability,law,226
116,Committee on Education and the Workforce,education,222
116,Committee on Homeland Security,"Art, Culture, Religion",210
116,Commission on Security and Cooperation in Europe,"Art, Culture, Religion",208
116,Committee on Natural Resources,health,208
116,Committee on Ways and Means,labor and employment,190
116,Committee on Transportation and Infrastructure,law,188
116,Committee on Indian Affairs,"Art, Culture, Religion",186
116,Committee on Natural Resources,law,186
116,Committee on Ways and Means,health,182
116,Committee on Oversight and Accountability,labor and employment,180
116,Special Committee on Aging,"science, technology, communications",180
116,Special Committee on Aging,labor and employment,178
116,Committee on the Judiciary,"Art, Culture, Religion",176
116,Committee on Natural Resources,labor and employment,172
116,Select Committee on Intelligence,"Art, Culture, Religion",172
116,Commission on Security and Cooperation in Europe,law,162
116,Committee on Transportation and Infrastructure,labor and employment,162
116,Special Committee on Aging,National Security,158
116,Committee on Oversight and Accountability,health,156
116,Committee on Oversight and Accountability,"science, technology, communications",156
116,Committee on Ways and Means,education,154
116,Committee on Transportation and Infrastructure,health,146
116,Committee on Homeland Security,law,142
116,Committee on Natural Resources,"science, technology, communications",142
116,Committee on Transportation and Infrastructure,"science, technology, communications",140
116,Joint Economic Committee,law,140
116,"Committee on Commerce, Science, and Transportation","Art, Culture, Religion",136
116,Committee on the Judiciary,law,136
116,Committee on Homeland Security,health,128
116,Committee on Indian Affairs,labor and employment,126
116,Select Committee on Intelligence,law,126
116,Committee on Rules,"Art, Culture, Religion",124
116,Commission on Security and Cooperation in Europe,labor and employment,122
116,Committee on Indian Affairs,law,118
116,United States Senate Caucus on International Narcotics Control,"Art, Culture, Religion",116
116,Committee on Homeland Security,labor and employment,114
116,Committee on the Judiciary,health,114
118,NA,"science, technology, communications",134
116,Select Committee on Intelligence,labor and employment,112
116,Commission on Security and Cooperation in Europe,"science, technology, communications",110
116,Committee on House Administration,"Art, Culture, Religion",110
116,Joint Economic Committee,labor and employment,110
116,Select Committee on Intelligence,education,110
116,Committee on Homeland Security,"science, technology, communications",108
116,Joint Economic Committee,"science, technology, communications",108
116,Commission on Security and Cooperation in Europe,health,106
116,Committee on Small Business and Entrepreneurship,"Art, Culture, Religion",106
116,Select Committee on Intelligence,"science, technology, communications",106
116,Committee on Foreign Relations,"Art, Culture, Religion",102
116,Committee on Indian Affairs,"science, technology, communications",102
116,Committee on the Judiciary,labor and employment,102
116,"Committee on Agriculture, Nutrition, and Forestry","Art, Culture, Religion",100
116,Committee on the Judiciary,"science, technology, communications",98
116,Committee on Rules,law,96
116,Joint Economic Committee,National Security,96
116,"Committee on Commerce, Science, and Transportation",law,92
116,Committee on Small Business,"Art, Culture, Religion",90
116,Committee on House Administration,law,88
116,Committee on Indian Affairs,health,78
116,Committee on Small Business and Entrepreneurship,law,78
116,"Committee on Commerce, Science, and Transportation","science, technology, communications",74
116,Select Committee on Ethics,"Art, Culture, Religion",74
116,"Committee on Banking, Housing, and Urban Affairs","Art, Culture, Religion",72
116,"Committee on Commerce, Science, and Transportation",labor and employment,72
118,NA,labor and employment,116
116,Committee on Foreign Relations,law,72
116,Committee on Rules,health,72
116,Committee on Rules,labor and employment,72
116,"Committee on Commerce, Science, and Transportation",National Security,70
116,Committee on House Administration,health,70
116,United States Senate Caucus on International Narcotics Control,law,70
116,Committee on House Administration,labor and employment,66
116,Committee on Rules,"science, technology, communications",66
116,"Committee on Science, Space, and Technology","Art, Culture, Religion",66
116,United States Senate Caucus on International Narcotics Control,labor and employment,62
118,NA,National Security,112
116,"Committee on Agriculture, Nutrition, and Forestry",law,60
116,Committee on House Administration,"science, technology, communications",60
116,Committee on Small Business,law,60
116,Committee on Foreign Relations,labor and employment,58
116,Committee on Foreign Relations,"science, technology, communications",58
116,Committee on Small Business and Entrepreneurship,National Security,58
116,Committee on Small Business and Entrepreneurship,"science, technology, communications",58
116,Committee on Environment and Public Works,"Art, Culture, Religion",56
116,Committee on Foreign Relations,National Security,56
116,Committee on Small Business,health,56
116,Select Committee on Ethics,law,56
116,United States Senate Caucus on International Narcotics Control,health,52
116,Committee on Ethics,"Art, Culture, Religion",50
116,NA,"Art, Culture, Religion",108
116,"Committee on Agriculture, Nutrition, and Forestry",labor and employment,48
116,United States Senate Caucus on International Narcotics Control,"science, technology, communications",48
116,"Committee on Banking, Housing, and Urban Affairs",law,46
116,"Committee on Science, Space, and Technology",law,46
116,Committee on Veterans' Affairs,"Art, Culture, Religion",46
116,Select Committee on Ethics,labor and employment,46
116,"Committee on Banking, Housing, and Urban Affairs",labor and employment,44
116,Select Committee on Ethics,"science, technology, communications",44
116,"Committee on Science, Space, and Technology",education,42
117,NA,"Art, Culture, Religion",106
116,"Committee on Science, Space, and Technology",health,42
116,"Committee on Science, Space, and Technology",labor and employment,42
116,Committee on Small Business,labor and employment,42
116,Committee on Small Business,"science, technology, communications",42
116,"Committee on Agriculture, Nutrition, and Forestry",health,40
116,Committee on Environment and Public Works,health,40
116,Committee on Environment and Public Works,law,40
116,Select Committee on Ethics,National Security,40
116,"Committee on Agriculture, Nutrition, and Forestry","science, technology, communications",38
116,Committee on Small Business and Entrepreneurship,labor and employment,38
116,Committee on Veterans' Affairs,health,38
116,Committee on Environment and Public Works,labor and employment,36
116,Committee on Ethics,law,36
116,Committee on Finance,"Art, Culture, Religion",36
116,Committee on Environment and Public Works,"science, technology, communications",32
116,Committee on Ethics,health,32
116,Committee on Ethics,labor and employment,32
116,Committee on Homeland Security and Governmental Affairs,"Art, Culture, Religion",32
116,Committee on Veterans' Affairs,law,32
116,"Committee on Banking, Housing, and Urban Affairs",education,30
116,"Committee on Banking, Housing, and Urban Affairs",health,30
116,Committee on Energy and Natural Resources,"Art, Culture, Religion",30
116,Committee on Rules and Administration,"Art, Culture, Religion",30
116,Committee on Veterans' Affairs,labor and employment,28
116,Committee on Veterans' Affairs,education,26
116,Select Committee on the Modernization of Congress,"Art, Culture, Religion",26
116,Committee on Ethics,"science, technology, communications",24
116,Committee on Finance,labor and employment,24
116,Committee on Finance,law,24
116,Committee on Rules and Administration,law,24
116,Committee on Rules and Administration,labor and employment,22
116,Joint Committee on Taxation,"Art, Culture, Religion",22
116,Committee on Homeland Security and Governmental Affairs,labor and employment,20
116,NA,law,90
116,Committee on Homeland Security and Governmental Affairs,law,20
116,Committee on Rules and Administration,"science, technology, communications",20
116,Select Committee on the Modernization of Congress,health,20
116,Committee on Energy and Natural Resources,National Security,18
