"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"5001500US1208","Congressional District 8 (115th Congress), Florida","756993","3668","367322","2301","19022","1394","17369","2226","20833","2314","11749","1097","9629","1737","3431","1040","5297","1589","13156","1660","20367","1299","18810","663","19258","1999","17432","1830","20469","590","25635","1001","30881","2323","14580","1812","13301","1650","10136","1639","13888","1871","23853","2039","15466","1564","11675","1708","11085","1248","389671","2771","16067","492","16697","2060","20592","2186","14163","1300","7252","1324","3342","1281","3616","1113","11333","1751","19543","646","19750","1256","19342","1654","19211","2014","23997","1367","27994","910","37459","2321","11245","1651","16641","2417","13900","1937","15622","1809","24308","1934","17721","2049","13121","2169","16755","2531",
"5001500US1209","Congressional District 9 (115th Congress), Florida","868945","16961","426500","9254","26888","2353","23177","2604","33457","3761","18742","1879","10655","1521","6487","2072","5271","1746","16427","2171","31728","2974","30009","3070","26996","3481","31698","3495","28997","2008","25796","2132","24629","2682","8605","1675","12778","2209","10160","1658","11616","1566","16965","2197","12468","1764","6740","1187","6211","1299","442445","10576","26115","2444","28170","3256","28126","3023","18509","1974","11214","1607","4326","1811","5155","1692","17529","2670","27895","2249","28105","2222","30524","2942","29796","3002","31902","2852","25623","2240","26882","2691","9536","1719","14490","1916","11191","2095","13495","2149","19506","2588","16391","2398","9903","1967","8062","1570",
"5001500US1210","Congressional District 10 (115th Congress), Florida","830014","17178","406553","9088","29086","2179","26022","2589","30600","2960","15282","1654","8833","1234","5377","1430","5457","1497","18857","2629","35266","2567","31652","2701","28162","3080","29847","3074","27270","1879","28127","1826","23989","2221","10642","1875","11473","1671","4923","1400","10191","1922","11088","1440","7312","1271","3520","910","3577","1021","423461","10883","26758","2085","27065","3157","26036","2812","16865","1467","8795","1107","4121","1435","5642","1581","20002","2796","40975","2301","32154","2509","30474","2799","26988","2919","28885","2224","27707","1988","27786","2451","6022","1195","13971","2101","9314","1753","12006","1754","12344","1721","7293","1332","5665","1216","6593","1366",
"5001500US1211","Congressional District 11 (115th Congress), Florida","770114","12787","368664","7290","15175","2026","14742","2235","18569","2487","11425","1131","6975","1512","3505","1246","3885","1489","9193","1443","17329","1775","14118","1774","15432","2428","16761","2286","19446","1794","21389","1783","23797","2326","10419","1620","16334","1977","11669","1995","23878","2655","35366","2819","28393","2879","17678","2399","13186","2237","401450","7570","15472","1635","14417","2084","18755","2528","11931","1404","8429","1779","3116","1227","3189","874","8175","1371","15958","1915","15313","1763","17225","2197","16493","2185","20970","1869","22788","1461","27515","2102","13590","2177","19106","1816","16407","1936","25226","2327","42526","2933","30020","2738","17480","2137","17349","2185",
"5001500US1212","Congressional District 12 (115th Congress), Florida","779151","8774","377591","5695","20323","1286","20347","2147","22851","2045","13593","905","8109","633","4595","1140","3708","1332","11119","1830","21014","1322","19433","1283","21523","1897","22336","1879","25818","1218","25553","1415","28026","1795","9904","1474","14280","1603","9491","1415","15485","1727","21827","1965","16882","1601","10718","1326","10656","1570","401560","5463","18112","1051","18372","1815","21139","1687","14458","1064","7882","699","3500","1067","4172","1049","10830","1883","20594","1738","19512","1009","22553","1926","22867","2024","25721","1523","27081","1250","31601","2438","10592","1309","18479","1831","11968","1448","18163","1985","26266","2149","20305","1800","12223","1642","15170","1862",
"5001500US1213","Congressional District 13 (115th Congress), Florida","730650","8565","350558","5511","16118","1194","17640","2421","15890","2140","10280","891","7221","877","3923","1185","3365","1093","10508","1470","24038","1259","22640","1257","21242","2147","17904","2102","23154","1178","26928","1323","28092","2202","11222","1491","16165","1735","11999","1660","12340","1649","19198","1972","14165","1719","8385","1396","8141","1517","380092","5231","16950","1001","16781","1803","17428","1783","10052","918","5138","1000","2667","935","4443","1408","11479","1500","24687","1554","24728","938","21390","2017","20264","2179","23832","1434","28515","1233","31054","2268","11248","1519","17093","1667","11226","1239","16645","1856","20199","1711","17990","1936","11665","1463","14618","1678",
"5001500US1214","Congressional District 14 (115th Congress), Florida","776940","12821","380635","7085","24249","2103","24531","2360","22258","2077","14283","1455","11504","952","5297","1600","5663","1347","17030","2211","35120","2041","25154","2108","24430","2501","24463","2910","29134","1416","27371","1896","22380","2214","11261","1587","11194","1667","7193","1247","10586","1576","11583","1762","8203","1194","3593","876","4155","940","396305","8825","21873","2141","20390","2287","21348","2239","12918","1593","11749","1392","5328","1209","8894","2063","16371","1967","33008","2278","29332","2168","27812","2769","25645","2673","27809","1979","25368","1659","25436","1857","10052","1733","14915","1624","8030","1223","11574","1698","13311","1640","8937","1268","7281","1016","8924","1337",
"5001500US1215","Congressional District 15 (115th Congress), Florida","804652","18994","390256","10113","26809","2842","25757","2967","29500","2698","17414","1884","9016","1303","6636","1890","5323","1565","11735","1957","25163","2464","28990","2559","24723","2753","29601","3177","22823","2294","26048","2250","23042","2681","8840","1341","13026","1695","6780","1195","10776","1431","16449","2106","9996","1709","6463","1354","5346","1081","414396","12441","24526","2845","26224","3202","26014","3117","16260","2126","9031","2031","4692","1238","6091","1885","15181","2044","28797","3200","28889","2810","27878","2875","27670","2840","25626","2407","28041","2155","24070","2218","11466","1679","14961","1665","8590","1909","14148","1829","17649","2291","12944","1976","8622","1450","7026","1152",
"5001500US1216","Congressional District 16 (115th Congress), Florida","814209","12942","395931","7320","22019","1723","21552","2194","24152","2247","13695","1593","7839","1112","4757","1191","3994","1276","11001","1532","20222","2079","23270","2541","23019","2666","21566","2831","22610","1191","24431","2082","27762","2304","11947","1977","14231","1705","9935","1503","17188","1796","26912","2203","17998","2068","13278","1727","12553","2092","418278","7431","19172","1973","22189","2386","23295","2535","14419","1410","6390","1042","3279","996","3005","1045","9215","1647","21672","2015","22026","1816","24040","2621","21102","2058","22908","1690","27251","2064","29879","2540","13287","1799","15318","1594","14044","1423","19877","2073","28749","1922","22573","1998","15019","1650","19569","1870",
"5001500US1217","Congressional District 17 (115th Congress), Florida","778091","10689","383937","7736","17280","2037","18341","2034","21047","2398","10782","1748","9108","1911","5131","1567","2452","996","9076","1709","19106","2389","17384","1900","21453","2460","17822","2401","21983","2474","23080","2142","24666","2553","12558","1664","15581","1838","11892","1755","20006","2051","28748","2277","25715","2343","15679","2080","15047","2353","394154","6495","17554","1636","17540","2072","21261","2526","11326","1609","6589","1649","2862","1051","3263","1245","9940","1836","21313","1842","17260","2003","17918","2473","16815","2274","19414","2011","25048","2469","27868","2227","13102","1731","18582","2075","13543","1967","23351","2162","30374","2160","26887","2439","14805","1921","17539","2110",
