"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_002E","B05012_002M","B05012_003E","B05012_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Native","Margin of Error!!Total:!!Native","Estimate!!Total:!!Foreign-Born","Margin of Error!!Total:!!Foreign-Born",
"5001800US0101","Congressional District 1 (118th Congress), Alabama","730935","3563","708413","4972","22522","3479",
"5001800US0102","Congressional District 2 (118th Congress), Alabama","723094","6735","697798","7132","25296","2753",
"5001800US0103","Congressional District 3 (118th Congress), Alabama","723164","3599","700708","4531","22456","3096",
"5001800US0104","Congressional District 4 (118th Congress), Alabama","727607","6177","699648","6649","27959","3046",
"5001800US0105","Congressional District 5 (118th Congress), Alabama","743238","3292","707732","5873","35506","4983",
"5001800US0106","Congressional District 6 (118th Congress), Alabama","710137","9406","676570","9615","33567","3103",
"5001800US0107","Congressional District 7 (118th Congress), Alabama","716121","12831","692193","12803","23928","3424",
"5001800US0200","Congressional District (at Large) (118th Congress), Alaska","733583","*****","678511","4485","55072","4485",
"5001800US0401","Congressional District 1 (118th Congress), Arizona","799436","19193","705301","17615","94135","8833",
"5001800US0402","Congressional District 2 (118th Congress), Arizona","820500","9008","770555","8573","49945","5068",
"5001800US0403","Congressional District 3 (118th Congress), Arizona","835089","19754","614734","16657","220355","11547",
"5001800US0404","Congressional District 4 (118th Congress), Arizona","799833","15107","693000","15503","106833","8060",
"5001800US0405","Congressional District 5 (118th Congress), Arizona","835596","15188","749265","14833","86331","8574",
"5001800US0406","Congressional District 6 (118th Congress), Arizona","790643","15471","717461","14400","73182","5604",
"5001800US0407","Congressional District 7 (118th Congress), Arizona","815141","15387","661117","16315","154024","8165",
"5001800US0408","Congressional District 8 (118th Congress), Arizona","811500","19585","712305","19212","99195","9471",
"5001800US0409","Congressional District 9 (118th Congress), Arizona","851459","13765","772771","12527","78688","6938",
"5001800US0501","Congressional District 1 (118th Congress), Arkansas","747672","4543","730691","5367","16981","2601",
"5001800US0502","Congressional District 2 (118th Congress), Arkansas","761676","7136","734552","6832","27124","2906",
"5001800US0503","Congressional District 3 (118th Congress), Arkansas","784904","3699","698884","7230","86020","6823",
"5001800US0504","Congressional District 4 (118th Congress), Arkansas","751385","9248","725437","9403","25948","2778",
"5001800US0601","Congressional District 1 (118th Congress), California","758561","3027","679648","5252","78913","3901",
"5001800US0602","Congressional District 2 (118th Congress), California","747410","8406","648393","8494","99017","6454",
"5001800US0603","Congressional District 3 (118th Congress), California","773866","7788","682812","9343","91054","6444",
"5001800US0604","Congressional District 4 (118th Congress), California","765203","8658","627895","10122","137308","7599",
"5001800US0605","Congressional District 5 (118th Congress), California","778853","16438","683418","15793","95435","7079",
"5001800US0606","Congressional District 6 (118th Congress), California","749993","16881","592481","17601","157512","9378",
"5001800US0607","Congressional District 7 (118th Congress), California","763060","16321","584371","15122","178689","10325",
"5001800US0608","Congressional District 8 (118th Congress), California","748189","9634","531018","10834","217171","9685",
"5001800US0609","Congressional District 9 (118th Congress), California","769426","4438","581245","10229","188181","8142",
"5001800US0610","Congressional District 10 (118th Congress), California","754064","9835","561789","11404","192275","8398",
"5001800US0611","Congressional District 11 (118th Congress), California","705678","8939","487489","10210","218189","9640",
"5001800US0612","Congressional District 12 (118th Congress), California","736597","5846","537436","9189","199161","8678",
"5001800US0613","Congressional District 13 (118th Congress), California","782352","13839","569872","14741","212480","9129",
"5001800US0614","Congressional District 14 (118th Congress), California","733220","7509","445514","9971","287706","9764",
"5001800US0615","Congressional District 15 (118th Congress), California","719254","11158","434236","11231","285018","10288",
"5001800US0616","Congressional District 16 (118th Congress), California","735381","14877","484219","14674","251162","9413",
"5001800US0617","Congressional District 17 (118th Congress), California","740766","14316","365636","12613","375130","10499",
"5001800US0618","Congressional District 18 (118th Congress), California","734686","13687","482984","13695","251702","13217",
"5001800US0619","Congressional District 19 (118th Congress), California","745616","13091","572556","11073","173060","8720",
"5001800US0620","Congressional District 20 (118th Congress), California","793325","17692","691797","18070","101528","8616",
"5001800US0621","Congressional District 21 (118th Congress), California","748904","17492","583292","15984","165612","9031",
"5001800US0622","Congressional District 22 (118th Congress), California","775019","14578","581617","14418","193402","10134",
"5001800US0623","Congressional District 23 (118th Congress), California","756057","13183","642323","13962","113734","7329",
"5001800US0624","Congressional District 24 (118th Congress), California","750711","5305","623626","7961","127085","6512",
"5001800US0625","Congressional District 25 (118th Congress), California","773601","8503","578876","10124","194725","8217",
"5001800US0626","Congressional District 26 (118th Congress), California","758064","7656","573550","9285","184514","8013",
"5001800US0627","Congressional District 27 (118th Congress), California","737592","12827","571447","11770","166145","8273",
"5001800US0628","Congressional District 28 (118th Congress), California","719742","12177","468563","11553","251179","8837",
"5001800US0629","Congressional District 29 (118th Congress), California","728732","21192","435827","15707","292905","11040",
"5001800US0630","Congressional District 30 (118th Congress), California","732048","12271","474740","11250","257308","9291",
"5001800US0631","Congressional District 31 (118th Congress), California","730452","11163","473395","11878","257057","8393",
"5001800US0632","Congressional District 32 (118th Congress), California","783556","21904","538873","16463","244683","13357",
"5001800US0633","Congressional District 33 (118th Congress), California","774631","13528","595625","13711","179006","9374",
