"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"5001600US1713","Congressional District 13 (116th Congress), Illinois","697929","2849","556873","3037","79550","1922","845","187","28384","842","221","126","5408","777","26648","1743","7526","1023","19122","1395",
"5001600US1714","Congressional District 14 (116th Congress), Illinois","750475","3589","625522","4732","27188","2552","1507","424","38266","1982","105","73","20531","2191","37356","2393","20155","2266","17201","1506",
"5001600US1715","Congressional District 15 (116th Congress), Illinois","683592","1138","626678","1507","28964","1261","927","212","4663","415","317","138","3686","483","18357","1078","5063","700","13294","1066",
"5001600US1716","Congressional District 16 (116th Congress), Illinois","693820","1877","602794","2667","28131","1433","1013","238","11177","682","190","112","21236","1880","29279","1524","13369","1127","15910","1120",
"5001600US1717","Congressional District 17 (116th Congress), Illinois","677247","2703","536000","2832","81303","2344","1826","291","9160","652","430","217","15370","1518","33158","2081","12708","1192","20450","1496",
"5001600US1718","Congressional District 18 (116th Congress), Illinois","702540","3482","628008","3015","28563","1814","836","192","19751","664","297","163","4464","738","20621","1341","6378","882","14243","1095",
"5001600US17ZZ","Congressional Districts not defined (116th Congress), Illinois","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"5001600US1801","Congressional District 1 (116th Congress), Indiana","729457","567","494841","2641","133087","1234","1766","302","10413","463","219","68","46040","2547","43091","2146","24824","1678","18267","1474",
"5001600US1802","Congressional District 2 (116th Congress), Indiana","729091","683","607291","2303","49168","1257","2066","422","9906","487","321","148","21667","1825","38672","2429","15823","1849","22849","1557",
"5001600US1803","Congressional District 3 (116th Congress), Indiana","754959","418","641603","1619","44994","1188","1213","284","19927","544","304","130","13869","1633","33049","2289","13070","1600","19979","1298",
