"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2017 inflation-adjusted dollars)",
"5001500US1207","Congressional District 7 (115th Congress), Florida","56681","889",
"5001500US1208","Congressional District 8 (115th Congress), Florida","50998","567",
"5001500US1209","Congressional District 9 (115th Congress), Florida","48016","816",
"5001500US1210","Congressional District 10 (115th Congress), Florida","50380","713",
"5001500US1211","Congressional District 11 (115th Congress), Florida","45051","671",
"5001500US1212","Congressional District 12 (115th Congress), Florida","50542","666",
"5001500US1213","Congressional District 13 (115th Congress), Florida","47370","664",
"5001500US1214","Congressional District 14 (115th Congress), Florida","50891","582",
"5001500US1215","Congressional District 15 (115th Congress), Florida","52460","648",
"5001500US1216","Congressional District 16 (115th Congress), Florida","56355","869",
"5001500US1217","Congressional District 17 (115th Congress), Florida","46034","612",
"5001500US1218","Congressional District 18 (115th Congress), Florida","56264","722",
"5001500US1219","Congressional District 19 (115th Congress), Florida","54971","800",
"5001500US1220","Congressional District 20 (115th Congress), Florida","43648","820",
"5001500US1221","Congressional District 21 (115th Congress), Florida","55616","708",
"5001500US1222","Congressional District 22 (115th Congress), Florida","59830","781",
"5001500US1223","Congressional District 23 (115th Congress), Florida","62823","875",
"5001500US1224","Congressional District 24 (115th Congress), Florida","37821","685",
"5001500US1225","Congressional District 25 (115th Congress), Florida","46827","929",
"5001500US1226","Congressional District 26 (115th Congress), Florida","53318","951",
"5001500US1227","Congressional District 27 (115th Congress), Florida","52353","749",
"5001500US1301","Congressional District 1 (115th Congress), Georgia","49245","777",
"5001500US1302","Congressional District 2 (115th Congress), Georgia","36332","586",
"5001500US1303","Congressional District 3 (115th Congress), Georgia","55443","877",
"5001500US1304","Congressional District 4 (115th Congress), Georgia","52414","694",
"5001500US1305","Congressional District 5 (115th Congress), Georgia","47961","884",
"5001500US1306","Congressional District 6 (115th Congress), Georgia","86295","1313",
"5001500US1307","Congressional District 7 (115th Congress), Georgia","70486","1109",
"5001500US1308","Congressional District 8 (115th Congress), Georgia","43142","773",
"5001500US1309","Congressional District 9 (115th Congress), Georgia","50214","688",
"5001500US1310","Congressional District 10 (115th Congress), Georgia","51042","578",
"5001500US1311","Congressional District 11 (115th Congress), Georgia","69534","1177",
"5001500US1312","Congressional District 12 (115th Congress), Georgia","42825","759",
"5001500US1313","Congressional District 13 (115th Congress), Georgia","55060","1092",
"5001500US1314","Congressional District 14 (115th Congress), Georgia","48731","855",
"5001500US1501","Congressional District 1 (115th Congress), Hawaii","78813","981",
"5001500US1502","Congressional District 2 (115th Congress), Hawaii","71289","797",
"5001500US1601","Congressional District 1 (115th Congress), Idaho","51632","548",
"5001500US1602","Congressional District 2 (115th Congress), Idaho","50222","527",
"5001500US1701","Congressional District 1 (115th Congress), Illinois","50666","691",
"5001500US1702","Congressional District 2 (115th Congress), Illinois","47510","762",
"5001500US1703","Congressional District 3 (115th Congress), Illinois","64489","962",
"5001500US1704","Congressional District 4 (115th Congress), Illinois","49321","946",
"5001500US1705","Congressional District 5 (115th Congress), Illinois","78227","940",
"5001500US1706","Congressional District 6 (115th Congress), Illinois","96460","1176",
"5001500US1707","Congressional District 7 (115th Congress), Illinois","54112","987",
"5001500US1708","Congressional District 8 (115th Congress), Illinois","68211","781",
"5001500US1709","Congressional District 9 (115th Congress), Illinois","68686","1140",
"5001500US1710","Congressional District 10 (115th Congress), Illinois","77213","1046",
"5001500US1711","Congressional District 11 (115th Congress), Illinois","72108","1131",
"5001500US1712","Congressional District 12 (115th Congress), Illinois","47214","625",
"5001500US1713","Congressional District 13 (115th Congress), Illinois","50373","507",
"5001500US1714","Congressional District 14 (115th Congress), Illinois","90082","1168",
"5001500US1715","Congressional District 15 (115th Congress), Illinois","50821","518",
"5001500US1716","Congressional District 16 (115th Congress), Illinois","58129","808",
"5001500US1717","Congressional District 17 (115th Congress), Illinois","46751","454",
"5001500US1718","Congressional District 18 (115th Congress), Illinois","62337","652",
"5001500US1801","Congressional District 1 (115th Congress), Indiana","54925","732",
"5001500US1802","Congressional District 2 (115th Congress), Indiana","50295","559",
"5001500US1803","Congressional District 3 (115th Congress), Indiana","51784","427",
"5001500US1804","Congressional District 4 (115th Congress), Indiana","55420","684",
"5001500US1805","Congressional District 5 (115th Congress), Indiana","67341","913",
"5001500US1806","Congressional District 6 (115th Congress), Indiana","50994","505",
"5001500US1807","Congressional District 7 (115th Congress), Indiana","41211","494",
"5001500US1808","Congressional District 8 (115th Congress), Indiana","49193","661",
"5001500US1809","Congressional District 9 (115th Congress), Indiana","53862","573",
"5001500US1901","Congressional District 1 (115th Congress), Iowa","57084","558",
"5001500US1902","Congressional District 2 (115th Congress), Iowa","53724","656",
"5001500US1903","Congressional District 3 (115th Congress), Iowa","62390","558",
"5001500US1904","Congressional District 4 (115th Congress), Iowa","52799","504",
"5001500US2001","Congressional District 1 (115th Congress), Kansas","49608","623",
"5001500US2002","Congressional District 2 (115th Congress), Kansas","52031","573",
"5001500US2003","Congressional District 3 (115th Congress), Kansas","71268","844",
"5001500US2004","Congressional District 4 (115th Congress), Kansas","52955","714",
"5001500US2101","Congressional District 1 (115th Congress), Kentucky","40902","498",
"5001500US2102","Congressional District 2 (115th Congress), Kentucky","48902","654",
"5001500US2103","Congressional District 3 (115th Congress), Kentucky","51316","551",
"5001500US2104","Congressional District 4 (115th Congress), Kentucky","59478","672",
"5001500US2105","Congressional District 5 (115th Congress), Kentucky","31899","461",
"5001500US2106","Congressional District 6 (115th Congress), Kentucky","50452","637",
"5001500US2201","Congressional District 1 (115th Congress), Louisiana","57771","946",
"5001500US2202","Congressional District 2 (115th Congress), Louisiana","38507","741",
"5001500US2203","Congressional District 3 (115th Congress), Louisiana","48130","760",
"5001500US2204","Congressional District 4 (115th Congress), Louisiana","41017","562",
"5001500US2205","Congressional District 5 (115th Congress), Louisiana","36731","559",
"5001500US2206","Congressional District 6 (115th Congress), Louisiana","61097","823",
"5001500US2301","Congressional District 1 (115th Congress), Maine","60757","751",
"5001500US2302","Congressional District 2 (115th Congress), Maine","46534","625",
"5001500US2401","Congressional District 1 (115th Congress), Maryland","71900","741",
"5001500US2402","Congressional District 2 (115th Congress), Maryland","66387","979",
"5001500US2403","Congressional District 3 (115th Congress), Maryland","84243","1022",
"5001500US2404","Congressional District 4 (115th Congress), Maryland","79163","1165",
"5001500US2405","Congressional District 5 (115th Congress), Maryland","95144","991",
"5001500US2406","Congressional District 6 (115th Congress), Maryland","77595","1138",
"5001500US2407","Congressional District 7 (115th Congress), Maryland","60903","802",
"5001500US2408","Congressional District 8 (115th Congress), Maryland","100728","937",
"5001500US2501","Congressional District 1 (115th Congress), Massachusetts","55577","872",
"5001500US2502","Congressional District 2 (115th Congress), Massachusetts","66319","901",
"5001500US2503","Congressional District 3 (115th Congress), Massachusetts","74586","986",
"5001500US2504","Congressional District 4 (115th Congress), Massachusetts","95353","1369",
"5001500US2505","Congressional District 5 (115th Congress), Massachusetts","90564","1237",
"5001500US2506","Congressional District 6 (115th Congress), Massachusetts","84446","951",
"5001500US2507","Congressional District 7 (115th Congress), Massachusetts","59649","1162",
"5001500US2508","Congressional District 8 (115th Congress), Massachusetts","83928","919",
