"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_002E","B05012_002M","B05012_003E","B05012_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born",
"5001600US0647","Congressional District 47 (116th Congress), California","710853","11183","512822","11818","198031","8385",
"5001600US0648","Congressional District 48 (116th Congress), California","719486","7055","540864","9054","178622","7830",
"5001600US0649","Congressional District 49 (116th Congress), California","731513","10614","598736","11712","132777","9191",
"5001600US0650","Congressional District 50 (116th Congress), California","751551","11954","607503","10979","144048","9268",
"5001600US0651","Congressional District 51 (116th Congress), California","747510","16768","495315","13739","252195","11277",
"5001600US0652","Congressional District 52 (116th Congress), California","767172","16888","593985","15454","173187","8610",
"5001600US0653","Congressional District 53 (116th Congress), California","796701","18807","610967","17190","185734","10471",
"5001600US0801","Congressional District 1 (116th Congress), Colorado","841497","5300","731973","7696","109524","7049",
"5001600US0802","Congressional District 2 (116th Congress), Colorado","812357","5440","745959","7146","66398","4968",
"5001600US0803","Congressional District 3 (116th Congress), Colorado","753595","4571","707079","5978","46516","4380",
"5001600US0804","Congressional District 4 (116th Congress), Colorado","836061","6128","774173","7357","61888","4284",
"5001600US0805","Congressional District 5 (116th Congress), Colorado","815466","1838","761388","5088","54078","4684",
"5001600US0806","Congressional District 6 (116th Congress), Colorado","835273","8003","712053","11428","123220","7906",
"5001600US0807","Congressional District 7 (116th Congress), Colorado","801315","8198","713758","9590","87557","6690",
"5001600US0901","Congressional District 1 (116th Congress), Connecticut","715049","6485","609040","8010","106009","6105",
"5001600US0902","Congressional District 2 (116th Congress), Connecticut","699657","5425","647443","6582","52214","4248",
"5001600US0903","Congressional District 3 (116th Congress), Connecticut","712272","7594","618769","7997","93503","6299",
"5001600US0904","Congressional District 4 (116th Congress), Connecticut","739090","5104","575234","8501","163856","7246",
"5001600US0905","Congressional District 5 (116th Congress), Connecticut","706597","9254","601917","9591","104680","5904",
"5001600US1000","Congressional District (at Large) (116th Congress), Delaware","967171","*****","875941","5598","91230","5598",
"5001600US1198","Delegate District (at Large) (116th Congress), District of Columbia","702455","*****","604609","6609","97846","6609",
"5001600US1201","Congressional District 1 (116th Congress), Florida","784532","1160","739231","4477","45301","4293",
"5001600US1202","Congressional District 2 (116th Congress), Florida","733749","7486","696460","8454","37289","4287",
"5001600US1203","Congressional District 3 (116th Congress), Florida","758275","8925","696741","9807","61534","5410",
"5001600US1204","Congressional District 4 (116th Congress), Florida","819177","12926","725340","13918","93837","9033",
"5001600US1205","Congressional District 5 (116th Congress), Florida","738862","15538","680069","14631","58793","6209",
"5001600US1206","Congressional District 6 (116th Congress), Florida","781896","8360","718048","10412","63848","5417",
"5001600US1207","Congressional District 7 (116th Congress), Florida","786041","13741","656234","14162","129807","9332",
"5001600US1208","Congressional District 8 (116th Congress), Florida","768139","3024","702420","6375","65719","5643",
"5001600US1209","Congressional District 9 (116th Congress), Florida","902812","20446","755397","19951","147415","11711",
"5001600US1210","Congressional District 10 (116th Congress), Florida","839504","18537","633733","17348","205771","15992",
"5001600US1211","Congressional District 11 (116th Congress), Florida","789849","13261","736317","13959","53532","4821",
"5001600US1212","Congressional District 12 (116th Congress), Florida","792410","7591","706500","9024","85910","6305",
"5001600US1213","Congressional District 13 (116th Congress), Florida","735935","7767","649079","9501","86856","6616",
"5001600US1214","Congressional District 14 (116th Congress), Florida","782973","14164","612105","13943","170868","11091",
"5001600US1215","Congressional District 15 (116th Congress), Florida","808723","20744","697015","19797","111708","8029",
"5001600US1216","Congressional District 16 (116th Congress), Florida","852096","13146","733512","13606","118584","7183",
"5001600US1217","Congressional District 17 (116th Congress), Florida","789236","13581","708035","12962","81201","6192",
"5001600US1218","Congressional District 18 (116th Congress), Florida","780772","10481","659459","11176","121313","8035",
"5001600US1219","Congressional District 19 (116th Congress), Florida","836359","13306","682529","13184","153830","9915",
"5001600US1220","Congressional District 20 (116th Congress), Florida","809153","13616","521767","15889","287386","11157",
"5001600US1221","Congressional District 21 (116th Congress), Florida","785042","11791","563467","13797","221575","10765",
"5001600US1222","Congressional District 22 (116th Congress), Florida","753363","10621","545526","12513","207837","9963",
"5001600US1223","Congressional District 23 (116th Congress), Florida","756447","8875","473139","12627","283308","11651",
"5001600US1224","Congressional District 24 (116th Congress), Florida","784469","19182","439499","15199","344970","13792",
"5001600US1225","Congressional District 25 (116th Congress), Florida","775326","15148","343774","13237","431552","11743",
"5001600US1226","Congressional District 26 (116th Congress), Florida","790373","16539","402644","12276","387729","14102",
"5001600US1227","Congressional District 27 (116th Congress), Florida","763812","16464","345854","10790","417958","13787",
"5001600US1301","Congressional District 1 (116th Congress), Georgia","744385","4981","708697","5816","35688","3772",
"5001600US1302","Congressional District 2 (116th Congress), Georgia","665539","7079","642685","7564","22854","2620",
"5001600US1303","Congressional District 3 (116th Congress), Georgia","740700","9410","702910","9309","37790","4139",
"5001600US1304","Congressional District 4 (116th Congress), Georgia","785104","19145","643447","16800","141657","13751",
"5001600US1305","Congressional District 5 (116th Congress), Georgia","793039","13915","721432","15143","71607","5715",
"5001600US1306","Congressional District 6 (116th Congress), Georgia","754299","10790","591664","10888","162635","7798",
"5001600US1307","Congressional District 7 (116th Congress), Georgia","803976","17033","594471","16843","209505","10154",
"5001600US1308","Congressional District 8 (116th Congress), Georgia","714720","6522","682669","7203","32051","3919",
"5001600US1309","Congressional District 9 (116th Congress), Georgia","765320","6205","703277","6365","62043","4559",
"5001600US1310","Congressional District 10 (116th Congress), Georgia","767352","13064","723053","11445","44299","5753",
"5001600US1311","Congressional District 11 (116th Congress), Georgia","781313","12118","699314","12160","81999","6463",
"5001600US1312","Congressional District 12 (116th Congress), Georgia","723334","6201","692886","7644","30448","4536",
"5001600US1313","Congressional District 13 (116th Congress), Georgia","757521","18192","675082","17339","82439","7683",
"5001600US1314","Congressional District 14 (116th Congress), Georgia","722873","3197","673815","5625","49058","4510",
"5001600US1501","Congressional District 1 (116th Congress), Hawaii","709286","9744","545844","10725","163442","7624",
"5001600US1502","Congressional District 2 (116th Congress), Hawaii","711205","9744","608500","10494","102705","7576",
"5001600US1601","Congressional District 1 (116th Congress), Idaho","912950","7168","861674","8644","51276","5596",
"5001600US1602","Congressional District 2 (116th Congress), Idaho","841258","7168","787306","7956","53952","4471",
"5001600US1701","Congressional District 1 (116th Congress), Illinois","706550","18246","649831","18294","56719","6157",
"5001600US1702","Congressional District 2 (116th Congress), Illinois","694459","12990","637454","12576","57005","6404",
"5001600US1703","Congressional District 3 (116th Congress), Illinois","704050","13980","559949","12622","144101","8578",
"5001600US1704","Congressional District 4 (116th Congress), Illinois","702062","14207","489031","13987","213031","10558",
"5001600US1705","Congressional District 5 (116th Congress), Illinois","743699","16300","579602","14779","164097","8385",
"5001600US1706","Congressional District 6 (116th Congress), Illinois","730345","10985","619634","10697","110711","7003",
"5001600US1707","Congressional District 7 (116th Congress), Illinois","707513","16445","610516","15188","96997","8172",
"5001600US1708","Congressional District 8 (116th Congress), Illinois","707268","10987","498879","10277","208389","8954",
"5001600US1709","Congressional District 9 (116th Congress), Illinois","721481","15297","541135","12914","180346","8023",
"5001600US1710","Congressional District 10 (116th Congress), Illinois","711265","7485","528525","9306","182740","6287",
"5001600US1711","Congressional District 11 (116th Congress), Illinois","722584","10156","579852","9686","142732","7389",
"5001600US1712","Congressional District 12 (116th Congress), Illinois","687072","3605","669600","4316","17472","2151",
"5001600US1713","Congressional District 13 (116th Congress), Illinois","704211","7858","664354","8238","39857","3145",
"5001600US1714","Congressional District 14 (116th Congress), Illinois","742235","8939","672362","9832","69873","6667",
"5001600US1715","Congressional District 15 (116th Congress), Illinois","691196","5707","679033","5833","12163","1785",
"5001600US1716","Congressional District 16 (116th Congress), Illinois","684888","6443","647500","5792","37388","3921",
"5001600US1717","Congressional District 17 (116th Congress), Illinois","679926","6737","649371","6599","30555","2987",
"5001600US1718","Congressional District 18 (116th Congress), Illinois","700276","9229","673139","9451","27137","2678",
"5001600US1801","Congressional District 1 (116th Congress), Indiana","714756","2410","673247","3887","41509","3390",
"5001600US1802","Congressional District 2 (116th Congress), Indiana","723483","3644","681452","4815","42031","3291",
"5001600US1803","Congressional District 3 (116th Congress), Indiana","747060","2807","712203","3493","34857","2717",
"5001600US1804","Congressional District 4 (116th Congress), Indiana","768025","4477","724915","5159","43110","3924",
"5001600US1805","Congressional District 5 (116th Congress), Indiana","784462","8778","731845","9507","52617","5305",
"5001600US1806","Congressional District 6 (116th Congress), Indiana","719771","3009","697422","3612","22349","2260",
"5001600US1807","Congressional District 7 (116th Congress), Indiana","760466","7889","687776","8972","72690","5721",
"5001600US1808","Congressional District 8 (116th Congress), Indiana","718591","2360","702872","2869","15719","2001",
"5001600US1809","Congressional District 9 (116th Congress), Indiana","755264","4786","725798","5413","29466","2732",
"5001600US1901","Congressional District 1 (116th Congress), Iowa","773628","1621","742253","3004","31375","2392",
"5001600US1902","Congressional District 2 (116th Congress), Iowa","783983","1452","740714","3669","43269","3402",
"5001600US1903","Congressional District 3 (116th Congress), Iowa","843598","1452","779923","6024","63675","5786",
"5001600US1904","Congressional District 4 (116th Congress), Iowa","754936","1621","718118","2954","36818","2330",
"5001600US2001","Congressional District 1 (116th Congress), Kansas","698323","2077","645983","4069","52340","3484",
"5001600US2002","Congressional District 2 (116th Congress), Kansas","713845","2974","689853","3861","23992","2782",
"5001600US2003","Congressional District 3 (116th Congress), Kansas","775243","1987","694041","5150","81202","4881",
"5001600US2004","Congressional District 4 (116th Congress), Kansas","724099","1657","672271","4153","51828","3959",
"5001600US2101","Congressional District 1 (116th Congress), Kentucky","721124","3530","709113","4145","12011","2007",
"5001600US2102","Congressional District 2 (116th Congress), Kentucky","769850","4606","743245","5555","26605","2592",
"5001600US2103","Congressional District 3 (116th Congress), Kentucky","749110","3229","688104","5128","61006","3779",
"5001600US2104","Congressional District 4 (116th Congress), Kentucky","754387","4730","732100","5784","22287","2947",
"5001600US2105","Congressional District 5 (116th Congress), Kentucky","695105","4679","689391","5039","5714","1170",
"5001600US2106","Congressional District 6 (116th Congress), Kentucky","778826","5709","737103","5887","41723","3514",
"5001600US2201","Congressional District 1 (116th Congress), Louisiana","806638","9120","751174","9135","55464","5366",
"5001600US2202","Congressional District 2 (116th Congress), Louisiana","794121","10924","743718","11506","50403","5069",
"5001600US2203","Congressional District 3 (116th Congress), Louisiana","783545","2185","759758","4378","23787","3850",
"5001600US2204","Congressional District 4 (116th Congress), Louisiana","747314","3598","729967","4416","17347","2724",
"5001600US2205","Congressional District 5 (116th Congress), Louisiana","738249","5791","726558","6408","11691","2415",
"5001600US2206","Congressional District 6 (116th Congress), Louisiana","790111","10127","753776","10341","36335","4040",
"5001600US2301","Congressional District 1 (116th Congress), Maine","685535","3624","656222","4886","29313","3203",
"5001600US2302","Congressional District 2 (116th Congress), Maine","652869","3624","634764","4068","18105","2122",
"5001600US2401","Congressional District 1 (116th Congress), Maryland","741621","7408","707003","7536","34618","3288",
"5001600US2402","Congressional District 2 (116th Congress), Maryland","768511","15193","679289","14283","89222","7150",
"5001600US2403","Congressional District 3 (116th Congress), Maryland","754636","17601","628495","16212","126141","8475",
"5001600US2404","Congressional District 4 (116th Congress), Maryland","760398","14575","602644","13596","157754","8427",
"5001600US2405","Congressional District 5 (116th Congress), Maryland","757621","11974","665055","10512","92566","7016",
"5001600US2406","Congressional District 6 (116th Congress), Maryland","758943","11683","606705","10298","152238","8265",
"5001600US2407","Congressional District 7 (116th Congress), Maryland","716136","15865","633443","15664","82693","6874",
"5001600US2408","Congressional District 8 (116th Congress), Maryland","784852","13058","604893","11081","179959","8354",
"5001600US2501","Congressional District 1 (116th Congress), Massachusetts","736481","6725","682551","7904","53930","5294",
"5001600US2502","Congressional District 2 (116th Congress), Massachusetts","745347","9136","641819","11299","103528","6004",
"5001600US2503","Congressional District 3 (116th Congress), Massachusetts","771096","10621","631617","11920","139479","7684",
"5001600US2504","Congressional District 4 (116th Congress), Massachusetts","766019","8130","656921","9827","109098","6856",
"5001600US2505","Congressional District 5 (116th Congress), Massachusetts","775135","8506","581774","11628","193361","8432",
"5001600US2506","Congressional District 6 (116th Congress), Massachusetts","780524","5096","662310","8178","118214","7054",
"5001600US2507","Congressional District 7 (116th Congress), Massachusetts","820086","8586","560595","11171","259491","10380",
"5001600US2508","Congressional District 8 (116th Congress), Massachusetts","764891","12002","621924","11699","142967","7353",
"5001600US2509","Congressional District 9 (116th Congress), Massachusetts","742570","9496","664490","9837","78080","6051",
"5001600US2601","Congressional District 1 (116th Congress), Michigan","699220","1303","684641","2283","14579","1564",
"5001600US2602","Congressional District 2 (116th Congress), Michigan","743361","3234","699824","5777","43537","4656",
"5001600US2603","Congressional District 3 (116th Congress), Michigan","749975","2599","711548","5648","38427","4690",
"5001600US2604","Congressional District 4 (116th Congress), Michigan","704592","3038","689850","3607","14742","1746",
"5001600US2605","Congressional District 5 (116th Congress), Michigan","671115","3385","657964","3127","13151","1930",
"5001600US2606","Congressional District 6 (116th Congress), Michigan","721736","1457","688283","3732","33453","3375",
"5001600US2607","Congressional District 7 (116th Congress), Michigan","706811","3250","687740","3286","19071","2137",
"5001600US2608","Congressional District 8 (116th Congress), Michigan","749011","5693","688517","6598","60494","4026",
"5001600US2609","Congressional District 9 (116th Congress), Michigan","715259","7497","638081","7919","77178","5240",
"5001600US2610","Congressional District 10 (116th Congress), Michigan","722722","6603","673950","6586","48772","5850",
"5001600US2611","Congressional District 11 (116th Congress), Michigan","733920","6508","623849","8009","110071","5429",
