"full_name","congress","importance_intl","importance_dom","importance_prof","pred","intl_percentage","dom_percentage","prof_percentage","decision","party","chamber","committee_el","gender","age","seniority","ideology","district","state_code","bioguide_id"
"Rep. Auchincloss, Jake [D-MA-4]","117",13.6496,31.6397,27.5319,0.203046197035896,0.187440178739404,0.434485334607689,0.378075859881271,"dom","Democratic","house of representatives","Committee on Financial Services","Male",36,0,0.15063913129147,"4","MA","A000148"
"Rep. Auchincloss, Jake [D-MA-4]","118",10.9934,36.2681,29.4774,0.134588519528925,0.143256827353982,0.472615654861733,0.384124911550956,"dom","Democratic","house of representatives","Committee on Transportation and Infrastructure","Male",36,2,0.32218806808716,"4","MA","A000148"
"Rep. Babin, Brian [R-TX-36]","115",11.0851,27.3926,26.8402,0.13611062736729,0.169711546558109,0.419377408435437,0.410920230934224,"dom","Republican","house of representatives","Committee on Transportation and Infrastructure","Male",76,2,0.970894266985589,"36","TX","B001291"
"Rep. Babin, Brian [R-TX-36]","116",14.9595,29.4849,32.3903,0.147725734552815,0.194698707995538,0.383747580826742,0.421561520210428,"prof","Republican","house of representatives","Committee on Transportation and Infrastructure","Male",76,4,0.8719481212739,"36","TX","B001291"
"Rep. Babin, Brian [R-TX-36]","117",13.418,26.2508,28.8337,0.147502662011444,0.195876062917412,0.383209371920733,0.420914565161855,"prof","Republican","house of representatives","Committee on Transportation and Infrastructure","Male",76,6,0.97368294424122,"36","TX","B001291"
"Rep. Bacon, Don [R-NE-2]","115",12.558,32.2555,30.0055,0.163845854546508,0.167843944426253,0.431110873502229,0.401038499321701,"dom","Republican","house of representatives","Committee on Agriculture","Male",61,0,0.816774672951986,"2","NE","B001298"
"Rep. Bacon, Don [R-NE-2]","116",13.8433,31.1896,32.0111,0.144236473418494,0.179681608441984,0.404831037011558,0.415493844386613,"prof","Republican","house of representatives","Committee on Agriculture","Male",61,2,0.7714742820619,"2","NE","B001298"
"Rep. Bacon, Don [R-NE-2]","117",18.1294,25.6008,33.0704,0.165816904161816,0.236059281095622,0.333342881919578,0.43060304530457,"prof","Republican","house of representatives","Committee on Agriculture","Male",61,4,0.638343477349169,"2","NE","B001298"
"Rep. Bacon, Don [R-NE-2]","118",14.3999,27.2538,30.8338,0.13608367397917,0.198656575578315,0.375985012360939,0.425373587321208,"prof","Republican","house of representatives","Committee on Armed Services","Male",61,6,0.686443983021116,"2","NE","B001298"
"Rep. Balderson, Troy [R-OH-12]","115",10.7244,30.1865,24.2063,0.156845420212948,0.16469482529854,0.463574684259669,0.371736633249791,"dom","Republican","house of representatives","Committee on Small Business","Male",62,0,NA,"12","OH","T000462"
"Rep. Balderson, Troy [R-OH-12]","116",10.8352,34.0524,27.921,0.158115809584715,0.148817584735869,0.467697497273674,0.383484917990457,"dom","Republican","house of representatives","Committee on Transportation and Infrastructure","Male",62,1,0.795374431432249,"12","OH","B001306"
"Rep. Balderson, Troy [R-OH-12]","117",12.9253,29.1656,28.1761,0.157010981599322,0.183945783861249,0.415068830416597,0.400986808867333,"dom","Republican","house of representatives","Committee on Agriculture","Male",62,3,0.63142712896372,"12","OH","B001306"
"Rep. Balderson, Troy [R-OH-12]","118",18.7488,32.1546,37.1661,0.112705826048246,0.212885688397158,0.365103588290197,0.422007316923622,"prof","Republican","house of representatives","Committee on Energy and Commerce","Male",62,5,0.707572139536982,"12","OH","B001306"
"Rep. Balint, Becca [D-VT-At Large]","118",12.4156,25.909,25.5556,0.165138304365596,0.194357563063359,0.405587333790439,0.400055103146202,"dom","Democratic","house of representatives","Committee on the Judiciary","Female",56,0,0.178854752573583,"At Large","VT","B001318"
"Rep. Barletta, Lou [R-PA-11]","115",9.934,32.4292,26.0061,0.162269027930637,0.145299345319237,0.474324695915705,0.380377421411981,"dom","Republican","house of representatives",NA,"Male",68,6,0.840926103352989,"11","PA","B001269"
"Rep. Barr, Andy [R-KY-6]","115",11.7508,33.4447,28.2823,0.118525476662447,0.159924003843359,0.455169888972664,0.38491155103474,"dom","Republican","house of representatives","Committee on Financial Services","Male",51,4,0.871516711748572,"6","KY","B001282"
"Rep. Barr, Andy [R-KY-6]","116",11.0969,35.6454,29.6605,0.129130897422638,0.145242059191548,0.466545728690572,0.38821221211788,"dom","Republican","house of representatives","Committee on Financial Services","Male",51,6,0.767090684934958,"6","KY","B001282"
"Rep. Barr, Andy [R-KY-6]","117",12.7875,28.5137,28.5024,0.164011241905926,0.183192294964307,0.408484077491594,0.408322194955282,"dom","Republican","house of representatives","Committee on Financial Services","Male",51,8,0.576662176856939,"6","KY","B001282"
"Rep. Barr, Andy [R-KY-6]","118",11.9857,31.9176,29.228,0.140086991459412,0.163893336760968,0.436443592397762,0.39966580565587,"dom","Republican","house of representatives","Committee on Financial Services","Male",51,10,0.715087475085811,"6","KY","B001282"
"Rep. Barragán, Nanette Diaz [D-CA-44]","115",13.9186,24.8529,29.1791,0.104307756819416,0.204835004407633,0.365751144586558,0.429418265997354,"prof","Democratic","house of representatives","Committee on Homeland Security","Female",48,0,0.15951019206005,"44","CA","B001300"
"Rep. Barragán, Nanette Diaz [D-CA-44]","116",13.2694,25.0853,28.738,0.0997146249148531,0.197777694973358,0.373891269515967,0.428334016469799,"prof","Democratic","house of representatives","Committee on Homeland Security","Female",48,2,0.169169131773314,"44","CA","B001300"
"Rep. Bean, Aaron [R-FL-4]","118",13.7435,30.765,30.163,0.182704876072862,0.184052818009549,0.412004580060666,0.403942601929786,"dom","Republican","house of representatives","Committee on Transportation and Infrastructure","Male",57,0,0.706034510527889,"4","FL","B001314"
"Rep. Beatty, Joyce [D-OH-3]","116",10.5685,30.2503,27.8422,0.143064516211728,0.153923344907138,0.440575990958451,0.405503577004637,"dom","Democratic","house of representatives","Committee on Financial Services","Female",74,6,0.254428417998362,"3","OH","B001281"
"Rep. Beatty, Joyce [D-OH-3]","117",10.8353,28.7662,25.7982,0.131871886941676,0.165678383354027,0.439852843136655,0.394470302570658,"dom","Democratic","house of representatives","Joint Economic Committee","Female",74,8,0.154836196405522,"3","OH","B001281"
"Rep. Beatty, Joyce [D-OH-3]","118",13.1376,28.9154,29.8465,0.156235741258896,0.182720953326713,0.402162453859399,0.41511242034053,"prof","Democratic","house of representatives","Committee on Financial Services","Female",74,10,0.210002527443095,"3","OH","B001281"
"Rep. Bentz, Cliff [R-OR-2]","118",11.9886,34.1931,30.1444,0.196401080547997,0.157070779196107,0.447986992653889,0.394942228150004,"dom","Republican","house of representatives","Committee on Natural Resources","Male",72,2,0.557280492939341,"2","OR","B000668"
"Rep. Bera, Ami [D-CA-6]","116",11.1316,30.1466,27.5499,0.160310212431603,0.161731630915505,0.438001615630939,0.400274017981159,"dom","Democratic","house of representatives","Committee on Science, Space, and Technology","Male",59,6,0.382811891098113,"7","CA","B001287"
"Rep. Bera, Ami [D-CA-6]","117",12.6721,24.1671,25.4092,0.142260845037825,0.203571468732781,0.388233366372739,0.40818713262403,"prof","Democratic","house of representatives","Committee on Science, Space, and Technology","Male",59,8,0.22205853956696,"7","CA","B001287"
