"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Margin of Error!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Margin of Error!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Margin of Error!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Margin of Error!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Margin of Error!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Margin of Error!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Margin of Error!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Margin of Error!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Margin of Error!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Margin of Error!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Margin of Error!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Margin of Error!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Margin of Error!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Margin of Error!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","717438","3217","345865","3244","22487","1321","21118","2580","26107","2465","14594","1322","8774","797","3495","1141","3774","1319","12191","1755","23816","1446","21461","1341","22340","2423","20294","2597","21288","1333","19867","746","22516","2062","9130","1521","14635","1964","8529","1266","11271","1212","16843","1354","9747","1098","6893","1213","4695","1094","371573","3017","20603","1457","22163","2410","20594","2280","13761","1014","8871","1113","4308","1412","4947","1201","11633","1596","23401","1248","23996","1744","21815","2751","24208","2820","21713","798","24751","1525","25663","2269","11031","1758","14942","1588","9038","1663","13917","1830","19334","1787","14374","1787","8361","1440","8149","1351",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","674920","6894","325647","4350","21473","1754","22683","2280","21176","2158","13280","1224","8744","1366","3817","948","3138","859","15659","1725","22433","1636","22593","1845","21513","1909","18550","1675","19412","1189","19293","1424","19257","1413","8781","1239","12085","1335","6180","847","9268","1007","16483","1210","10605","1236","5426","773","3798","835","349273","4484","19794","1390","21426","2367","20247","1730","11829","995","9006","1222","3884","1067","4509","1283","12186","1699","24887","1790","21944","1488","19612","2038","22524","2077","22669","1583","20182","1260","23548","1760","9611","1289","12842","1524","8003","1023","11234","1303","19239","1616","13380","1415","8493","1339","8224","1083",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","717896","5519","349635","4441","21867","3205","22737","2958","22882","2294","14226","2051","10894","1837","6298","1460","6375","1360","12704","2245","23327","1773","23255","2072","25455","2624","18666","2252","20849","1249","21668","1148","21985","1932","8452","1591","15002","1782","8515","1603","9641","1221","15178","1510","9958","1057","5943","1249","3758","823","368261","4128","17157","1475","22470","2262","22227","2558","12089","1395","12471","1746","7296","1693","5932","1477","14298","1894","22176","1623","22341","2146","20917","2679","24225","2448","23409","1551","23395","1258","26241","2045","9538","1470","15180","1594","9442","1479","12787","1660","16847","1647","12426","1377","8776","1367","6621","1155",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","687453","6630","337329","4196","18815","1489","21310","2156","24534","2041","12439","1427","7668","1060","3680","1230","4310","1087","11934","1615","21794","1566","22758","2014","20440","2182","20328","1914","21818","949","22781","1203","21467","1709","10978","1414","13582","1780","6840","1150","10282","1206","17151","1444","11728","1165","7192","1006","3500","811","350124","4313","21710","1537","19227","2076","22493","1750","13857","1258","6791","1214","3955","1174","4683","1035","11313","1630","20507","1514","20043","1172","19995","1871","22111","2291","21753","1404","22435","1152","24413","1792","9469","1409","13465","1576","7117","1243","13439","1561","19479","1798","12146","1214","10460","1446","9263","1038",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","735858","206","358825","1934","20808","1053","21085","2025","23877","2124","14782","1176","9072","1187","6030","1525","4741","1218","14137","1568","24540","1404","22787","898","25146","2186","19484","2201","23679","1410","24367","990","24243","2071","10068","1454","14880","1958","8200","1310","10281","1314","14744","1464","9946","1169","6935","1102","4993","956","377033","1934","20971","1023","18395","1862","25008","2220","14102","1192","10555","1645","4568","1045","4966","1342","14015","1674","22957","771","23241","1031","25302","2117","20872","2337","23713","926","25652","895","25059","2132","10900","1529","16078","2087","8719","1510","12920","1552","18340","1966","12544","1438","10135","1195","8021","1211",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","699605","8896","336367","4938","18792","1472","21504","2186","24623","2685","14183","1238","8128","995","4345","1342","3416","939","12165","1870","20982","1780","22641","1859","22209","2241","24233","2224","21917","1338","21764","1342","22634","2029","9851","1664","12016","1740","7950","1145","11191","1397","13605","1546","7662","1161","6038","1157","4518","980","363238","6076","20987","1587","23059","2529","21437","2049","14166","1341","8563","1612","4100","1194","2764","859","11571","1656","23298","1976","25364","1720","22938","2413","26085","2640","24746","1418","21121","1243","25092","2046","11152","1643","11989","1513","7912","1389","12892","1846","16229","1793","10779","1196","9474","1236","7520","1232",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","670015","11607","315943","6001","20886","1938","18392","2114","23045","2728","13052","1385","15113","2008","5886","1761","6231","1932","13929","2465","25358","1974","18894","1823","19032","1921","15932","2310","18579","2069","16087","1627","16400","1895","8837","1410","12734","1736","7268","1289","10796","1604","12281","1467","9435","1243","4767","1158","3009","786","354072","8479","20247","1960","18906","2501","19395","2637","10520","1611","15141","2333","7668","1725","7431","1966","13457","2001","25862","2428","20747","2095","20424","2515","21089","2615","19684","1978","20799","1746","22778","2450","10874","1671","13815","1730","9318","1674","11375","1540","15479","1897","12026","1775","8422","1430","8615","1192",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","731545","*****","380433","2130","24910","1461","28292","1989","25256","1889","14719","913","11147","1464","5181","1364","6367","1238","15895","1697","31790","1666","30493","2361","25395","1825","21858","1821","22182","1253","23796","1726","25587","1743","9788","1258","12984","1568","7723","1457","11290","1389","12902","1597","6114","781","4165","655","2599","592","351112","2130","25981","1425","24400","1814","24481","1747","11710","987","8955","1299","3495","805","3975","965","12723","1523","28567","1687","27128","1016","23698","1885","22084","1940","20590","1262","21119","1147","23271","2121","8669","1416","14471","1806","7443","1162","9497","1080","12803","1472","7916","1014","4070","966","4066","854",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","782088","10038","398906","7519","23941","1859","24993","2068","29942","3045","16962","1887","14734","1942","6896","1632","5161","1323","13993","2247","28690","2772","23178","2349","25216","2998","22827","2602","21637","1980","22396","1971","22680","2190","7485","1424","14823","1856","7963","1287","13475","1793","21233","1996","17114","2037","7573","1261","5994","1217","383182","6625","21564","1902","21884","2471","25083","2434","13246","1325","13452","1355","7684","1800","6700","1272","12739","1769","23828","1670","19945","1507","21316","2422","20916","2228","22575","1927","19984","1455","25626","2322","10556","1431","14627","1753","9408","1274","15484","2033","24379","2143","15861","1728","9446","1285","6879","1215",
