"GEO_ID","NAME","B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M",
"5001800US2001","Congressional District 1 (118th Congress), Kansas","726249","2287","370299","3177","19986","1451","22540","1643","24630","1915","15732","1599","13771","1330","9488","1586","9439","2080","21045","2817","25607","1498","22562","1573","21397","1964","25002","1886","20336","1476","18262","1407","19183","1374","8368","1254","12861","1328","8569","1012","11689","1083","16872","1208","10921","1019","7119","918","4920","827","355950","3186","18760","1663","19053","1722","24303","1959","13688","1293","15253","2272","8017","1428","4231","1098","17358","2391","23128","1768","21335","1406","22929","2220","21079","2230","18631","1206","17226","1510","17888","1645","9861","1257","13762","1344","7414","913","11829","1241","18944","1516","12260","1262","10301","1060","8700","1044",
"5001800US2002","Congressional District 2 (118th Congress), Kansas","725930","7474","367500","5107","21135","1512","24304","2568","26681","2629","16813","1222","9253","1199","5964","1220","5997","1226","16987","2129","23727","1977","21709","1161","24523","2327","22686","2080","19386","1385","22386","1478","18515","1506","9371","1294","14281","1432","10620","1498","11170","1338","18128","1550","12322","1051","6147","994","5395","796","358430","4455","23083","1709","19848","1943","24112","1820","15066","1482","11076","1535","4201","1021","5510","1495","12079","1729","20301","1678","22139","1600","21591","1946","23110","1896","17482","1076","19507","1071","19563","1672","10915","1525","14831","1642","9733","1256","12607","1570","20356","1508","13442","1278","8966","1006","8912","958",
"5001800US2003","Congressional District 3 (118th Congress), Kansas","749221","6596","369448","3713","20937","773","24779","1970","26305","2266","17482","1050","8474","908","3651","1291","4451","1438","14809","1731","24050","724","25671","922","25265","2019","29213","2066","21822","796","23007","782","21156","1863","9620","1485","13102","1771","8433","1281","10559","1406","15348","1369","10868","1116","5826","988","4620","813","379773","3793","22091","1232","23908","2276","26426","2424","14872","836","6375","409","3124","920","4187","1026","15604","1662","24513","890","25489","798","26526","2145","28431","2088","23403","835","22079","737","21589","1771","10223","1319","14091","1771","7759","1218","12683","1596","17943","1698","11716","1210","9107","995","7634","1045",
"5001800US2004","Congressional District 4 (118th Congress), Kansas","739147","2100","369254","1965","22731","613","25485","2086","27214","2002","17053","1110","10395","957","4648","1143","5354","1083","15750","1811","24118","609","24271","788","24606","2083","24445","2110","20425","674","20530","537","20747","1495","8040","1125","14402","1456","9084","1439","11973","1212","15725","1366","10887","1117","5380","911","5991","1011","369893","1845","21107","494","22946","2422","27073","2360","16621","1131","8689","811","4305","1060","4178","1062","13868","1647","24499","595","24709","724","23385","2191","23613","2188","20508","804","20670","849","19277","1628","9027","1446","15925","1447","8572","1362","12783","1576","18197","1440","12521","1085","7263","1068","10157","942",
"5001800US2101","Congressional District 1 (118th Congress), Kentucky","750693","4304","371878","3214","23558","1809","23693","1936","24217","1645","12742","1249","8675","1229","5154","1220","4373","1101","18626","2077","24346","1658","24388","1545","22287","1825","24429","2033","21136","1488","23054","1137","21770","1770","10874","1365","13296","1715","9379","1321","12640","1561","19029","1754","12309","1155","7227","1134","4676","904","378815","3611","22238","1791","22555","2115","21611","2119","15365","1131","8368","1157","6211","1110","5419","1319","11037","1494","22656","1450","24281","1867","21801","2037","22111","1995","20041","854","23657","1132","25936","2355","11559","1696","14230","1620","10429","1223","13053","1564","22206","1613","14903","1304","10845","1328","8303","1042",
"5001800US2102","Congressional District 2 (118th Congress), Kentucky","775707","7888","386292","5180","25128","1809","24927","2366","26135","2459","14865","1151","9840","1476","4034","972","4593","1223","18087","2055","25525","1778","25078","1885","25287","2473","23464","2097","23085","1267","25051","1597","24862","2466","11520","1628","12785","1779","6952","1003","11990","1634","19682","1624","11370","1294","8059","1235","3973","850","389415","4569","20281","1799","24212","1973","24870","2220","16392","1490","8862","1271","4666","1240","4652","1358","16482","1439","21810","1345","24513","1885","25436","2830","23351","2063","24507","1803","25284","1477","24966","2092","11695","1683","14920","2037","11458","1410","12937","1418","18269","1610","13014","1352","8385","1207","8453","1350",
"5001800US2103","Congressional District 3 (118th Congress), Kentucky","733409","6703","355644","4058","22725","679","19578","2063","25408","2177","14713","392","8068","416","2952","1162","4145","1159","15296","1556","26822","364","27999","242","26145","2038","21227","2070","20596","823","19879","1045","20975","1885","8792","1326","13387","1860","7926","1220","11543","1514","15878","1493","11665","1186","5891","895","4034","871","377765","3367","22478","467","21381","2391","22341","2322","13509","921","8105","352","3936","1174","3968","1146","14327","1461","27299","190","28525","528","26014","2387","22040","2278","20959","843","21849","782","22328","2088","10338","1735","14625","2119","11207","1433","12047","1154","18936","1502","15281","1173","7858","1076","8414","1140",
"5001800US2104","Congressional District 4 (118th Congress), Kentucky","768776","4620","383142","3643","22694","1775","25677","2624","27047","2124","17483","1060","8252","851","4214","1110","4847","1191","15816","1672","23252","1002","25244","1136","25347","2082","24329","2286","24543","1574","27071","1101","23601","1904","9036","1473","15675","1604","8226","1231","11992","1506","17489","1671","10275","1155","7661","1235","3371","792","385634","3161","21670","1175","24360","2007","25920","1913","15121","987","7766","883","2689","841","3237","987","15193","1810","22762","1138","26712","1439","27295","2318","22818","1967","24730","1117","24823","1061","23599","1823","10783","1457","16036","1641","10705","1265","11914","1477","18935","1569","12854","1306","8083","1203","7629","1105",
"5001800US2105","Congressional District 5 (118th Congress), Kentucky","738681","3679","370662","2821","21251","1258","25092","2042","22476","2225","15393","912","7844","1168","3646","954","5365","1188","13321","1645","24184","1381","23117","1033","23584","1833","23341","1875","23046","1054","24391","984","24149","1911","9446","1397","16709","1873","7253","1152","13952","1508","19823","1562","11737","1109","7233","1121","4309","668","368019","2950","19523","963","22797","2064","22448","2322","13399","814","7035","1226","3400","900","3773","893","13929","1789","19168","840","23180","1147","18965","1977","24651","2056","23726","968","23205","1061","24699","1878","11663","1629","15446","1705","10037","1425","13973","1695","20567","1585","15694","1178","8897","1429","7844","1122",
"5001800US2106","Congressional District 6 (118th Congress), Kentucky","758888","4002","376072","3179","22362","1192","24287","1957","22456","2032","16904","1347","11552","1080","5380","1177","7270","1493","18746","1942","27110","1345","27259","1075","24291","1933","23172","2176","23131","1253","22802","975","22954","1812","7807","1279","13595","1451","7319","1101","11886","1203","14843","1529","10498","987","6561","1033","3887","800","382816","2943","20725","1151","19841","1978","23997","1991","13892","1313","12576","1107","5192","1392","7638","1672","18585","2311","26163","1032","24275","1046","24998","2400","23376","2436","21888","1022","23454","1317","22918","2104","11191","1767","13007","1775","9173","1414","13198","1550","17732","1483","14649","1368","8193","1123","6155","1101",
"5001800US2201","Congressional District 1 (118th Congress), Louisiana","770713","11557","382214","6948","24880","1982","25016","2706","24354","2664","18618","1977","8381","1184","4252","1254","4621","1194","12979","1940","23327","1994","23459","2080","25462","2175","24876","3044","23390","2000","22689","1690","24340","2545","11292","1797","14111","1613","9555","1497","11454","1562","19925","1694","12649","1601","5889","981","6695","1263","388499","7377","19449","1888","25418","2709","20826","2898","16021","1646","7866","1508","6696","1667","5390","1505","11180","1788","21845","2010","25243","2126","25664","2707","27454","2700","23371","2507","22930","1804","24901","2056","9480","1652","15908","1670","11333","1719","14344","1711","20238","1822","14682","1692","9614","1501","8646","1159",
"5001800US2202","Congressional District 2 (118th Congress), Louisiana","742904","14389","352955","8195","22298","2147","20064","2990","25285","2569","14552","2097","8982","1362","4510","1309","3327","1032","15337","2109","25240","2450","24618","2222","24490","2914","25774","3083","18940","2100","21268","2019","19301","1946","10899","2121","13643","1696","6958","1366","13183","1949","15329","1804","10140","1073","5507","951","3310","802","389949","8926","22870","2889","20088","2900","22159","2871","13920","1696","8204","1374","3872","1442","4571","1514","14393","2640","24994","2257","29915","2470","27054","3166","28292","3511","22410","2388","21394","1873","24122","2620","11031","1700","15489","2181","11457","1929","15723","1874","18340","2263","14250","1774","8014","1252","7387","1060",
"5001800US2203","Congressional District 3 (118th Congress), Louisiana","762638","2387","371900","2968","25018","1607","26686","2694","26947","2792","16516","1791","9647","1651","4804","1327","5657","1539","12090","1910","22176","1482","26462","1950","25734","2669","24562","2527","20231","1723","22270","1469","20149","1889","10551","1915","15109","1809","7935","1243","12635","1524","16744","1589","9796","1028","6278","916","3903","820","390738","2821","24388","1720","26295","2579","25388","2374","16312","1692","7940","1432","4160","1314","5499","1440","13578","1757","24150","1323","25729","1444","27288","2408","25455","2375","21508","1324","22545","1390","24945","2039","10775","1719","14735","1981","10002","1623","12970","1446","18752","1607","13203","1306","8355","1259","6766","1241",
"5001800US2204","Congressional District 4 (118th Congress), Louisiana","757390","1443","374379","2555","24073","1739","27437","2566","26646","2212","15790","1030","9136","1213","5700","1312","4571","1225","13988","1944","23471","1836","22446","1407","24422","2779","26577","2560","20215","1305","22884","1631","21168","1701","8531","1139","16737","1545","8007","1119","12715","1242","17235","1565","11275","1048","6812","893","4543","755","383011","2584","20886","1309","23531","2222","25890","2449","15261","1345","8747","1261","2908","809","5077","1461","14321","2184","22554","1542","24040","1232","22000","2160","27277","2132","21282","1467","24396","1364","23638","1910","8220","1243","16995","1353","8827","1375","12803","1656","21767","1742","16830","1429","8037","1161","7724","1134",
"5001800US2205","Congressional District 5 (118th Congress), Louisiana","754781","6355","372375","5293","21779","1957","25213","2792","24744","2825","15014","1644","9410","1573","7154","1620","4815","1487","13533","1504","22034","1726","27105","2172","26411","3026","25755","3139","23605","2661","22622","1892","18848","1867","9991","1418","14623","1634","8451","1171","10767","1280","18728","1490","10928","1231","7041","890","3804","795","382406","4832","20482","2064","24186","2642","26120","2517","15520","1693","10745","1743","6074","1269","4891","1381","12824","1924","21585","1444","26845","2229","21661","2356","25065","2878","21243","1808","20715","1611","24127","1885","9843","1287","15341","1771","9328","1562","12604","1507","21506","2068","13950","1397","8301","1165","9450","1250",
