"member_id","gender","congress","thomas_id_list","thomas_num_list","official_name_list"
"A000371","M","114","[HSAG,HSAS]","[00]","[""Committee on Agriculture"",""Committee on Armed Services""]"
"A000371","M","115","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000371","M","116","[HSAP,HSHA]","[00]","[""Committee on Appropriations"",""Committee on House Administration""]"
"A000371","M","117","[HSAP,HSHA,HSIJ]","[00]","[""Committee on Appropriations"",""Committee on House Administration"",""Select Committee to Investigate the January 6th Attack on the United States Capitol""]"
"A000371","M","118","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000371","M","119","[HSAP]","[00]","[""Committee on Appropriations""]"
"A000372","M","114","[HSAG,HSED]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce""]"
"A000372","M","115","[HSAG,HSED]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce""]"
"A000372","M","116","[HSAG,HSED]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce""]"
"A000372","M","117","[HSAG,HSED]","[00]","[""Committee on Agriculture"",""Committee on Education and the Workforce""]"
"A000372","M","118","[HSED,HSIF]","[00]","[""Committee on Education and the Workforce"",""Committee on Energy and Commerce""]"
"A000372","M","119","[HSED,HSIF]","[00]","[""Committee on Education and the Workforce"",""Committee on Energy and Commerce""]"
"A000373","M","114","[HSAG,HSAS]","[00]","[""Committee on Agriculture"",""Committee on Armed Services""]"
"A000374","M","114","[HSAG,HSSY,HSVR]","[00]","[""Committee on Agriculture"",""Committee on Science, Space, and Technology"",""Committee on Veterans' Affairs""]"
"A000374","M","115","[HSAG,HSAS,HSSY]","[00]","[""Committee on Agriculture"",""Committee on Armed Services"",""Committee on Science, Space, and Technology""]"
"A000374","M","116","[HSAG,HSAS]","[00]","[""Committee on Agriculture"",""Committee on Armed Services""]"
"A000375","M","115","[HSAG,HSBU,HSVR]","[00]","[""Committee on Agriculture"",""Committee on Veterans' Affairs"",""Committee on the Budget""]"
"A000375","M","116","[HSWM]","[00]","[""Committee on Ways and Means""]"
"A000375","M","117","[HSEF,HSWM,JSEC]","[00]","[""Committee on Ways and Means"",""Joint Economic Committee"",""Select Committee on Economic Disparity and Fairness in Growth""]"
"A000375","M","118","[HSBU,HSWM,JSEC]","[00]","[""Committee on Ways and Means"",""Committee on the Budget"",""Joint Economic Committee""]"
"A000375","M","119","[HSBU,HSWM,JSEC]","[00]","[""Committee on Ways and Means"",""Committee on the Budget"",""Joint Economic Committee""]"
"A000376","M","116","[HSFA,HSPW,HSVR]","[00]","[""Committee on Foreign Affairs"",""Committee on Transportation and Infrastructure"",""Committee on Veterans' Affairs""]"
"A000376","M","117","[HSFA,HSPW,HSVR]","[00]","[""Committee on Foreign Affairs"",""Committee on Transportation and Infrastructure"",""Committee on Veterans' Affairs""]"
"A000376","M","118","[HSFA,HSFD,HSPW]","[00]","[""Committee on Foreign Affairs"",""Committee on Transportation and Infrastructure"",""Select Subcommittee on the Weaponization of the Federal Government""]"
"A000377","M","116","[HSCN,HSGO,HSJU]","[00]","[""Committee on Oversight and Accountability"",""Committee on the Judiciary"",""Select Committee on the Climate Crisis""]"
"A000377","M","117","[HSCN,HSIF,HSSO]","[00]","[""Committee on Energy and Commerce"",""Committee on Ethics"",""Select Committee on the Climate Crisis""]"
"A000377","M","118","[HSFD,HSIF,HSJU]","[00]","[""Committee on Energy and Commerce"",""Committee on the Judiciary"",""Select Subcommittee on the Weaponization of the Federal Government""]"
"A000378","F","116","[HSAG,HSBA]","[00]","[""Committee on Agriculture"",""Committee on Financial Services""]"
"A000378","F","117","[HSAG,HSBA]","[00]","[""Committee on Agriculture"",""Committee on Financial Services""]"
"A000379","M","118","[HSAG,HSAS,HSSM]","[00]","[""Committee on Agriculture"",""Committee on Armed Services"",""Committee on Small Business""]"
"A000379","M","119","[HSAP,HSSM]","[00]","[""Committee on Appropriations"",""Committee on Small Business""]"
"A000380","M","118","[HSFA,HSSY]","[00]","[""Committee on Foreign Affairs"",""Committee on Science, Space, and Technology""]"
"A000380","M","119","[HSBU,HSFA,HSSY]","[00]","[""Committee on Foreign Affairs"",""Committee on Science, Space, and Technology"",""Committee on the Budget""]"
"A000381","F","119","[HSED,HSGO,HSII]","[00]","[""Committee on Education and the Workforce"",""Committee on Natural Resources"",""Committee on Oversight and Accountability""]"
"A000382","F","119","[SPAG,SSBK,SSEV,SSHR]","[00]","[""Committee on Banking, Housing, and Urban Affairs"",""Committee on Environment and Public Works"",""Committee on Health, Education, Labor, and Pensions"",""Special Committee on Aging""]"
"B000013","M","112","[HSBA]","[00]","[""Committee on Financial Services""]"
"B000013","M","113","[HSBA,HSJU]","[00]","[""Committee on Financial Services"",""Committee on the Judiciary""]"
"B000208","M","112","[HSAS,HSSM,HSSY]","[00]","[""Committee on Armed Services"",""Committee on Science, Space, and Technology"",""Committee on Small Business""]"
"B000213","M","112","[HSIF]","[00]","[""Committee on Energy and Commerce""]"
"B000213","M","113","[HSIF]","[00]","[""Committee on Energy and Commerce""]"
"B000213","M","114","[HSIF]","[00]","[""Committee on Energy and Commerce""]"
"B000220","M","112","[HSIF]","[00]","[""Committee on Energy and Commerce""]"
"B000243","M","112","[JSDF,JSTX,SSAF,SSEV,SSFI]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Environment and Public Works"",""Committee on Finance"",""Joint Committee on Taxation"",""Joint Select Committee on Deficit Reduction""]"
"B000287","M","112","[HSWM]","[00]","[""Committee on Ways and Means""]"
"B000287","M","113","[HSWM]","[00]","[""Committee on Ways and Means""]"
"B000287","M","114","[HSWM]","[00]","[""Committee on Ways and Means""]"
"B000410","M","112","[HSFA,HSJU]","[00]","[""Committee on Foreign Affairs"",""Committee on the Judiciary""]"
"B000461","M","112","[HSIF]","[00]","[""Committee on Energy and Commerce""]"
"B000468","M","112","[JSEC,SSEG,SSFI,SSHR]","[00]","[""Committee on Energy and Natural Resources"",""Committee on Finance"",""Committee on Health, Education, Labor, and Pensions"",""Joint Economic Committee""]"
"B000490","M","112","[HSAP]","[00]","[""Committee on Appropriations""]"
"B000490","M","113","[HSAP]","[00]","[""Committee on Appropriations""]"
"B000490","M","114","[HSAP]","[00]","[""Committee on Appropriations""]"
"B000490","M","115","[HSAP]","[00]","[""Committee on Appropriations""]"
"B000490","M","116","[HSAP]","[00]","[""Committee on Appropriations""]"
"B000490","M","117","[HSAG,HSAP]","[00]","[""Committee on Agriculture"",""Committee on Appropriations""]"
"B000490","M","118","[HSAG,HSAP]","[00]","[""Committee on Agriculture"",""Committee on Appropriations""]"
"B000490","M","119","[HSAP]","[00]","[""Committee on Appropriations""]"
"B000574","M","112","[HSBU,HSWM]","[00]","[""Committee on Ways and Means"",""Committee on the Budget""]"
"B000574","M","113","[HSBU,HSWM]","[00]","[""Committee on Ways and Means"",""Committee on the Budget""]"
"B000574","M","114","[HSWM]","[00]","[""Committee on Ways and Means""]"
"B000574","M","115","[HSWM]","[00]","[""Committee on Ways and Means""]"
"B000574","M","116","[HSWM]","[00]","[""Committee on Ways and Means""]"
"B000574","M","117","[HSWM]","[00]","[""Committee on Ways and Means""]"
"B000574","M","118","[HSBU,HSWM]","[00]","[""Committee on Ways and Means"",""Committee on the Budget""]"
"B000575","M","112","[SLIN,SSAP,SSCM,SSRA]","[00]","[""Committee on Appropriations"",""Committee on Commerce, Science, and Transportation"",""Committee on Rules and Administration"",""Select Committee on Intelligence""]"
"B000575","M","113","[JSLC,SSAP,SSAS,SSCM,SSRA]","[00]","[""Committee on Appropriations"",""Committee on Armed Services"",""Committee on Commerce, Science, and Transportation"",""Committee on Rules and Administration"",""Joint Committee on the Library""]"
"B000575","M","114","[JSLC,JSPR,SLIN,SSAP,SSCM,SSRA]","[00]","[""Committee on Appropriations"",""Committee on Commerce, Science, and Transportation"",""Committee on Rules and Administration"",""Joint Committee on Printing"",""Joint Committee on the Library"",""Select Committee on Intelligence""]"
"B000575","M","115","[JSLC,JSPR,SLIN,SSAP,SSCM,SSRA]","[00]","[""Committee on Appropriations"",""Committee on Commerce, Science, and Transportation"",""Committee on Rules and Administration"",""Joint Committee on Printing"",""Joint Committee on the Library"",""Select Committee on Intelligence""]"
"B000575","M","116","[JSLC,JSPR,SLIN,SSAP,SSCM,SSRA]","[00]","[""Committee on Appropriations"",""Committee on Commerce, Science, and Transportation"",""Committee on Rules and Administration"",""Joint Committee on Printing"",""Joint Committee on the Library"",""Select Committee on Intelligence""]"
"B000575","M","117","[JSLC,JSPR,SLIN,SSAP,SSCM,SSRA]","[00]","[""Committee on Appropriations"",""Committee on Commerce, Science, and Transportation"",""Committee on Rules and Administration"",""Joint Committee on Printing"",""Joint Committee on the Library"",""Select Committee on Intelligence""]"
"B000652","M","112","[HSAG,HSPW]","[00]","[""Committee on Agriculture"",""Committee on Transportation and Infrastructure""]"
"B000668","M","117","[HSII,HSJU]","[00]","[""Committee on Natural Resources"",""Committee on the Judiciary""]"
"B000668","M","118","[HSII,HSJU]","[00]","[""Committee on Natural Resources"",""Committee on the Judiciary""]"
"B000668","M","119","[HSIF,HSII]","[00]","[""Committee on Energy and Commerce"",""Committee on Natural Resources""]"
"B000711","F","112","[SLET,SSCM,SSEV,SSFR]","[00]","[""Committee on Commerce, Science, and Transportation"",""Committee on Environment and Public Works"",""Committee on Foreign Relations"",""Select Committee on Ethics""]"
"B000711","F","113","[SLET,SSCM,SSEV,SSFR]","[00]","[""Committee on Commerce, Science, and Transportation"",""Committee on Environment and Public Works"",""Committee on Foreign Relations"",""Select Committee on Ethics""]"
"B000711","F","114","[SLET,SSEV,SSFR]","[00]","[""Committee on Environment and Public Works"",""Committee on Foreign Relations"",""Select Committee on Ethics""]"
"B000740","F","117","[HSAS,HSEF,HSSY]","[00]","[""Committee on Armed Services"",""Committee on Science, Space, and Technology"",""Select Committee on Economic Disparity and Fairness in Growth""]"
"B000740","F","118","[HSAP,HSHA,HSSY]","[00]","[""Committee on Appropriations"",""Committee on House Administration"",""Committee on Science, Space, and Technology""]"
"B000740","F","119","[HSAP,HSHA]","[00]","[""Committee on Appropriations"",""Committee on House Administration""]"
"B000755","M","112","[HSWM]","[00]","[""Committee on Ways and Means""]"
"B000755","M","113","[HSWM,JSEC,JSTX]","[00]","[""Committee on Ways and Means"",""Joint Committee on Taxation"",""Joint Economic Committee""]"
"B000755","M","114","[HSWM,JSEC,JSTX]","[00]","[""Committee on Ways and Means"",""Joint Committee on Taxation"",""Joint Economic Committee""]"
"B000755","M","115","[HSWM,JSEC,JSTX]","[00]","[""Committee on Ways and Means"",""Joint Committee on Taxation"",""Joint Economic Committee""]"
"B000755","M","116","[HSWM]","[00]","[""Committee on Ways and Means""]"
"B000755","M","117","[HSWM,JSTX]","[00]","[""Committee on Ways and Means"",""Joint Committee on Taxation""]"
"B000825","F","117","[HSBU,HSII]","[00]","[""Committee on Natural Resources"",""Committee on the Budget""]"
"B000825","F","118","[HSGO,HSII]","[00]","[""Committee on Natural Resources"",""Committee on Oversight and Accountability""]"
"B000825","F","119","[HSGO,HSII]","[00]","[""Committee on Natural Resources"",""Committee on Oversight and Accountability""]"
"B000911","F","112","[HSPW,HSVR]","[00]","[""Committee on Transportation and Infrastructure"",""Committee on Veterans' Affairs""]"
"B000911","F","113","[HSPW,HSVR]","[00]","[""Committee on Transportation and Infrastructure"",""Committee on Veterans' Affairs""]"
"B000911","F","114","[HSPW,HSVR]","[00]","[""Committee on Transportation and Infrastructure"",""Committee on Veterans' Affairs""]"
"B000944","M","112","[SLET,SSAF,SSAP,SSBK,SSVA]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Appropriations"",""Committee on Banking, Housing, and Urban Affairs"",""Committee on Veterans' Affairs"",""Select Committee on Ethics""]"
"B000944","M","113","[SLET,SSAF,SSBK,SSFI,SSVA]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Banking, Housing, and Urban Affairs"",""Committee on Finance"",""Committee on Veterans' Affairs"",""Select Committee on Ethics""]"
"B000944","M","114","[SSAF,SSBK,SSFI,SSVA]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Banking, Housing, and Urban Affairs"",""Committee on Finance"",""Committee on Veterans' Affairs""]"
"B000944","M","115","[SSAF,SSBK,SSFI,SSVA]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Banking, Housing, and Urban Affairs"",""Committee on Finance"",""Committee on Veterans' Affairs""]"
"B000944","M","116","[SSAF,SSBK,SSFI,SSVA]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Banking, Housing, and Urban Affairs"",""Committee on Finance"",""Committee on Veterans' Affairs""]"
"B000944","M","117","[SSAF,SSBK,SSFI,SSVA]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Banking, Housing, and Urban Affairs"",""Committee on Finance"",""Committee on Veterans' Affairs""]"
"B000944","M","118","[SSAF,SSBK,SSFI,SSVA]","[00]","[""Committee on Agriculture, Nutrition, and Forestry"",""Committee on Banking, Housing, and Urban Affairs"",""Committee on Finance"",""Committee on Veterans' Affairs""]"
"B001135","M","112","[JCSE,SLIN,SSFI,SSHR,SSVA]","[00]","[""Commission on Security and Cooperation in Europe"",""Committee on Finance"",""Committee on Health, Education, Labor, and Pensions"",""Committee on Veterans' Affairs"",""Select Committee on Intelligence""]"
"B001135","M","113","[SLIN,SSFI,SSHR,SSVA]","[00]","[""Committee on Finance"",""Committee on Health, Education, Labor, and Pensions"",""Committee on Veterans' Affairs"",""Select Committee on Intelligence""]"
"B001135","M","114","[JCSE,SLIN,SSFI,SSHR]","[00]","[""Commission on Security and Cooperation in Europe"",""Committee on Finance"",""Committee on Health, Education, Labor, and Pensions"",""Select Committee on Intelligence""]"
"B001135","M","115","[SLIN,SPAG,SSFI,SSHR]","[00]","[""Committee on Finance"",""Committee on Health, Education, Labor, and Pensions"",""Select Committee on Intelligence"",""Special Committee on Aging""]"
"B001135","M","116","[SLIN,SPAG,SSFI,SSHR]","[00]","[""Committee on Finance"",""Committee on Health, Education, Labor, and Pensions"",""Select Committee on Intelligence"",""Special Committee on Aging""]"
"B001135","M","117","[SLIN,SPAG,SSFI,SSHR]","[00]","[""Committee on Finance"",""Committee on Health, Education, Labor, and Pensions"",""Select Committee on Intelligence"",""Special Committee on Aging""]"
"B001149","M","112","[HSFA,HSGO]","[00]","[""Committee on Foreign Affairs"",""Committee on Oversight and Accountability""]"
"B001223","M","117","[HSED,HSSY]","[00]","[""Committee on Education and the Workforce"",""Committee on Science, Space, and Technology""]"
"B001223","M","118","[HSED,HSSY]","[00]","[""Committee on Education and the Workforce"",""Committee on Science, Space, and Technology""]"
"B001224","F","117","[HSGO,HSJU]","[00]","[""Committee on Oversight and Accountability"",""Committee on the Judiciary""]"
"B001224","F","118","[HSGO,HSJU]","[00]","[""Committee on Oversight and Accountability"",""Committee on the Judiciary""]"
"B001227","M","112","[HSAS,HSHA]","[00]","[""Committee on Armed Services"",""Committee on House Administration""]"
"B001227","M","113","[HSAS,HSHA,JSLC,JSPR]","[00]","[""Committee on Armed Services"",""Committee on House Administration"",""Joint Committee on Printing"",""Joint Committee on the Library""]"
"B001227","M","114","[HSAS,HSHA,JSLC,JSPR]","[00]","[""Committee on Armed Services"",""Committee on House Administration"",""Joint Committee on Printing"",""Joint Committee on the Library""]"
"B001228","F","112","[HSIF]","[00]","[""Committee on Energy and Commerce""]"
"B001230","F","112","[HSIF]","[00]","[""Committee on Energy and Commerce""]"
