"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001800US4203","Congressional District 3 (118th Congress), Pennsylvania","532897","11969","7696","1746","0","190","0","190","0","190","0","190","184","210","387","483","814","537","189","180","197","125","1974","1051","4847","1515","7637","2208","10498","2336","12633","2646","105275","7288","19944","3969","30876","3727","63241","5802","31588","4736","118819","5936","78147","5417","21411","2863","16540","2331",
"5001800US4204","Congressional District 4 (118th Congress), Pennsylvania","554650","6773","5103","1156","133","133","0","190","0","190","25","44","86","140","120","122","326","393","331","320","1239","686","2740","1025","3502","1380","3835","944","3032","807","7552","1603","125026","5496","13078","1633","27647","2697","47408","3958","40191","4054","152222","6595","84205","4501","22375","2573","14474","2038",
"5001800US4205","Congressional District 5 (118th Congress), Pennsylvania","520900","6050","8429","2120","166","278","0","190","253","354","0","190","295","426","698","581","704","487","1760","956","677","401","3024","1048","4041","1730","4304","1295","4624","1345","7267","1482","125867","6225","16411","2571","31519","2941","55034","4184","38385","3868","120024","6205","68091","4342","17188","2183","12139","1706",
"5001800US4206","Congressional District 6 (118th Congress), Pennsylvania","529542","4273","7517","1661","125","154","163","187","18","29","448","304","798","511","379","313","639","451","4287","1489","1061","539","4793","1513","2819","919","4489","1174","3410","972","9206","1723","113034","4997","14707","2370","24215","2625","48048","4376","35748","3142","155024","5557","72463","4372","13644","1837","12507","2009",
"5001800US4207","Congressional District 7 (118th Congress), Pennsylvania","539561","2535","6994","1411","319","308","0","190","103","162","189","286","302","366","895","891","894","608","764","421","1674","1004","6520","2065","4082","1177","8776","1957","8624","1484","9064","2032","157539","7022","21827","3074","29424","2849","57125","4630","54469","3692","105287","5227","46369","3623","10574","1727","7747","1526",
"5001800US4208","Congressional District 8 (118th Congress), Pennsylvania","549819","3583","9794","1670","276","417","189","215","0","190","188","205","0","190","433","567","599","381","780","568","1351","653","3117","775","3730","1159","6667","1320","7292","1423","12515","2124","173326","7208","25772","2454","35045","3054","60962","4060","53844","4101","95683","4651","44251","3364","7954","1161","6051","1112",
"5001800US4209","Congressional District 9 (118th Congress), Pennsylvania","544576","4142","5500","999","190","230","84","110","70","77","150","186","197","252","28","49","91","125","845","376","849","354","5648","1261","4791","940","9733","1624","10646","1282","10490","1347","200175","5550","28592","2565","33382","2626","48059","3015","55788","2798","81789","5092","36462","2848","6408","1189","4609","921",
"5001800US4210","Congressional District 10 (118th Congress), Pennsylvania","541168","5787","5955","1509","175","218","0","190","50","95","293","377","26","46","255","336","358","302","871","560","971","592","3035","952","4042","1431","7115","1476","6199","1273","9108","1769","157177","7264","20695","2572","29411","3440","52832","3775","50781","4026","111887","5303","57314","3982","12661","2225","9957","1721",
"5001800US4211","Congressional District 11 (118th Congress), Pennsylvania","532200","4989","6024","1417","81","152","80","95","44","70","0","190","112","140","283","261","233","226","866","740","1524","754","14182","2279","9542","2727","8002","1462","6833","1376","9167","1899","168209","6683","22663","2790","26857","2601","48784","3865","44886","3834","103600","5439","46471","4265","7429","1554","6328","1357",
"5001800US4212","Congressional District 12 (118th Congress), Pennsylvania","547342","8359","5647","1465","190","229","0","190","0","190","0","190","11","19","151","149","393","377","294","317","224","194","2389","847","3304","1125","5548","1420","5826","1846","5761","1263","130306","6407","18797","2413","30514","3200","51884","3704","57363","4144","132115","5610","66295","3806","14568","2012","15762","2101",
