"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"5001600US1205","Congressional District 5 (116th Congress), Florida","43667","2088",
"5001600US1206","Congressional District 6 (116th Congress), Florida","55281","1905",
"5001600US1207","Congressional District 7 (116th Congress), Florida","66748","2727",
"5001600US1208","Congressional District 8 (116th Congress), Florida","58740","2696",
"5001600US1209","Congressional District 9 (116th Congress), Florida","54878","2089",
"5001600US1210","Congressional District 10 (116th Congress), Florida","61737","1615",
"5001600US1211","Congressional District 11 (116th Congress), Florida","52749","1515",
"5001600US1212","Congressional District 12 (116th Congress), Florida","56761","1663",
"5001600US1213","Congressional District 13 (116th Congress), Florida","56612","1474",
"5001600US1214","Congressional District 14 (116th Congress), Florida","60022","2765",
"5001600US1215","Congressional District 15 (116th Congress), Florida","57496","2051",
"5001600US1216","Congressional District 16 (116th Congress), Florida","68071","2428",
"5001600US1217","Congressional District 17 (116th Congress), Florida","53693","1675",
"5001600US1218","Congressional District 18 (116th Congress), Florida","68744","2641",
"5001600US1219","Congressional District 19 (116th Congress), Florida","67598","2548",
"5001600US1220","Congressional District 20 (116th Congress), Florida","49223","2522",
"5001600US1221","Congressional District 21 (116th Congress), Florida","65394","1679",
"5001600US1222","Congressional District 22 (116th Congress), Florida","69452","3024",
"5001600US1223","Congressional District 23 (116th Congress), Florida","69198","2872",
"5001600US1224","Congressional District 24 (116th Congress), Florida","44275","1973",
"5001600US1225","Congressional District 25 (116th Congress), Florida","56270","2257",
"5001600US1226","Congressional District 26 (116th Congress), Florida","65584","2421",
"5001600US1227","Congressional District 27 (116th Congress), Florida","60384","2657",
"5001600US1301","Congressional District 1 (116th Congress), Georgia","55542","2064",
"5001600US1302","Congressional District 2 (116th Congress), Georgia","39728","1923",
"5001600US1303","Congressional District 3 (116th Congress), Georgia","66614","2028",
"5001600US1304","Congressional District 4 (116th Congress), Georgia","60128","2338",
"5001600US1305","Congressional District 5 (116th Congress), Georgia","60247","2270",
"5001600US1306","Congressional District 6 (116th Congress), Georgia","100110","3936",
"5001600US1307","Congressional District 7 (116th Congress), Georgia","80926","2394",
"5001600US1308","Congressional District 8 (116th Congress), Georgia","50745","1704",
"5001600US1309","Congressional District 9 (116th Congress), Georgia","59728","2100",
"5001600US1310","Congressional District 10 (116th Congress), Georgia","61151","2439",
"5001600US1311","Congressional District 11 (116th Congress), Georgia","76640","2468",
"5001600US1312","Congressional District 12 (116th Congress), Georgia","50217","1524",
"5001600US1313","Congressional District 13 (116th Congress), Georgia","66203","1901",
"5001600US1314","Congressional District 14 (116th Congress), Georgia","56150","1997",
"5001600US1501","Congressional District 1 (116th Congress), Hawaii","86674","2571",
"5001600US1502","Congressional District 2 (116th Congress), Hawaii","79985","3483",
"5001600US1601","Congressional District 1 (116th Congress), Idaho","62886","2280",
"5001600US1602","Congressional District 2 (116th Congress), Idaho","58708","1810",
"5001600US1701","Congressional District 1 (116th Congress), Illinois","56680","1668",
"5001600US1702","Congressional District 2 (116th Congress), Illinois","51472","1971",
"5001600US1703","Congressional District 3 (116th Congress), Illinois","75411","2852",
"5001600US1704","Congressional District 4 (116th Congress), Illinois","59548","2230",
"5001600US1705","Congressional District 5 (116th Congress), Illinois","94144","3697",
"5001600US1706","Congressional District 6 (116th Congress), Illinois","105292","3210",
"5001600US1707","Congressional District 7 (116th Congress), Illinois","64312","3406",
"5001600US1708","Congressional District 8 (116th Congress), Illinois","77991","2658",
"5001600US1709","Congressional District 9 (116th Congress), Illinois","78569","3278",
"5001600US1710","Congressional District 10 (116th Congress), Illinois","84608","3130",
"5001600US1711","Congressional District 11 (116th Congress), Illinois","81598","2281",
"5001600US1712","Congressional District 12 (116th Congress), Illinois","53008","2115",
"5001600US1713","Congressional District 13 (116th Congress), Illinois","53578","1812",
"5001600US1714","Congressional District 14 (116th Congress), Illinois","100011","4132",
"5001600US1715","Congressional District 15 (116th Congress), Illinois","56268","1279",
"5001600US1716","Congressional District 16 (116th Congress), Illinois","62868","1698",
"5001600US1717","Congressional District 17 (116th Congress), Illinois","50346","1124",
"5001600US1718","Congressional District 18 (116th Congress), Illinois","67284","2008",
"5001600US1801","Congressional District 1 (116th Congress), Indiana","61104","1911",
"5001600US1802","Congressional District 2 (116th Congress), Indiana","54788","1334",
"5001600US1803","Congressional District 3 (116th Congress), Indiana","57288","1610",
"5001600US1804","Congressional District 4 (116th Congress), Indiana","60119","1694",
"5001600US1805","Congressional District 5 (116th Congress), Indiana","76417","2000",
"5001600US1806","Congressional District 6 (116th Congress), Indiana","55959","1890",
"5001600US1807","Congressional District 7 (116th Congress), Indiana","46118","1610",
"5001600US1808","Congressional District 8 (116th Congress), Indiana","54326","1868",
"5001600US1809","Congressional District 9 (116th Congress), Indiana","60448","1553",
"5001600US1901","Congressional District 1 (116th Congress), Iowa","61542","1357",
"5001600US1902","Congressional District 2 (116th Congress), Iowa","59569","1734",
"5001600US1903","Congressional District 3 (116th Congress), Iowa","67681","2306",
"5001600US1904","Congressional District 4 (116th Congress), Iowa","58270","1439",
"5001600US2001","Congressional District 1 (116th Congress), Kansas","55188","1551",
"5001600US2002","Congressional District 2 (116th Congress), Kansas","56515","2026",
"5001600US2003","Congressional District 3 (116th Congress), Kansas","81792","1831",
"5001600US2004","Congressional District 4 (116th Congress), Kansas","58119","1679",
"5001600US2101","Congressional District 1 (116th Congress), Kentucky","46999","1568",
"5001600US2102","Congressional District 2 (116th Congress), Kentucky","53496","1904",
"5001600US2103","Congressional District 3 (116th Congress), Kentucky","57546","2060",
"5001600US2104","Congressional District 4 (116th Congress), Kentucky","66327","2093",
"5001600US2105","Congressional District 5 (116th Congress), Kentucky","35636","1327",
"5001600US2106","Congressional District 6 (116th Congress), Kentucky","55613","1736",
"5001600US2201","Congressional District 1 (116th Congress), Louisiana","61431","1474",
"5001600US2202","Congressional District 2 (116th Congress), Louisiana","44124","2206",
"5001600US2203","Congressional District 3 (116th Congress), Louisiana","51504","1642",
"5001600US2204","Congressional District 4 (116th Congress), Louisiana","44580","2213",
"5001600US2205","Congressional District 5 (116th Congress), Louisiana","41257","1332",
"5001600US2206","Congressional District 6 (116th Congress), Louisiana","65549","2762",
"5001600US2301","Congressional District 1 (116th Congress), Maine","67392","2410",
"5001600US2302","Congressional District 2 (116th Congress), Maine","51202","1559",
"5001600US2401","Congressional District 1 (116th Congress), Maryland","80022","2694",
"5001600US2402","Congressional District 2 (116th Congress), Maryland","73004","2113",
"5001600US2403","Congressional District 3 (116th Congress), Maryland","94736","2982",
"5001600US2404","Congressional District 4 (116th Congress), Maryland","88207","2845",
"5001600US2405","Congressional District 5 (116th Congress), Maryland","101298","2225",
"5001600US2406","Congressional District 6 (116th Congress), Maryland","88592","3214",
"5001600US2407","Congressional District 7 (116th Congress), Maryland","63082","2696",
"5001600US2408","Congressional District 8 (116th Congress), Maryland","109016","3158",
"5001600US2501","Congressional District 1 (116th Congress), Massachusetts","61559","1465",
"5001600US2502","Congressional District 2 (116th Congress), Massachusetts","77375","2443",
"5001600US2503","Congressional District 3 (116th Congress), Massachusetts","81879","3092",
"5001600US2504","Congressional District 4 (116th Congress), Massachusetts","104857","3481",
"5001600US2505","Congressional District 5 (116th Congress), Massachusetts","106311","3499",
"5001600US2506","Congressional District 6 (116th Congress), Massachusetts","97115","2942",
"5001600US2507","Congressional District 7 (116th Congress), Massachusetts","75461","2076",
"5001600US2508","Congressional District 8 (116th Congress), Massachusetts","100690","1929",
"5001600US2509","Congressional District 9 (116th Congress), Massachusetts","77167","2498",
"5001600US2601","Congressional District 1 (116th Congress), Michigan","51553","878",
"5001600US2602","Congressional District 2 (116th Congress), Michigan","59356","1588",
"5001600US2603","Congressional District 3 (116th Congress), Michigan","64919","2012",
"5001600US2604","Congressional District 4 (116th Congress), Michigan","54166","1194",
"5001600US2605","Congressional District 5 (116th Congress), Michigan","47655","1229",
"5001600US2606","Congressional District 6 (116th Congress), Michigan","56520","1379",
"5001600US2607","Congressional District 7 (116th Congress), Michigan","61379","1038",
"5001600US2608","Congressional District 8 (116th Congress), Michigan","74841","1800",
"5001600US2609","Congressional District 9 (116th Congress), Michigan","62943","1845",
"5001600US2610","Congressional District 10 (116th Congress), Michigan","67472","1791",
"5001600US2611","Congressional District 11 (116th Congress), Michigan","88253","2062",
"5001600US2612","Congressional District 12 (116th Congress), Michigan","62253","1460",
"5001600US2613","Congressional District 13 (116th Congress), Michigan","39005","1575",
"5001600US2614","Congressional District 14 (116th Congress), Michigan","50438","1576",
"5001600US2701","Congressional District 1 (116th Congress), Minnesota","66330","1081",
"5001600US2702","Congressional District 2 (116th Congress), Minnesota","90531","2092",
"5001600US2703","Congressional District 3 (116th Congress), Minnesota","98877","2395",
"5001600US2704","Congressional District 4 (116th Congress), Minnesota","75665","2000",
"5001600US2705","Congressional District 5 (116th Congress), Minnesota","68709","2354",
"5001600US2706","Congressional District 6 (116th Congress), Minnesota","84159","2318",
"5001600US2707","Congressional District 7 (116th Congress), Minnesota","60932","911",
"5001600US2708","Congressional District 8 (116th Congress), Minnesota","61659","1090",
"5001600US2801","Congressional District 1 (116th Congress), Mississippi","50243","2000",
"5001600US2802","Congressional District 2 (116th Congress), Mississippi","37372","1589",
"5001600US2803","Congressional District 3 (116th Congress), Mississippi","49863","1970",
"5001600US2804","Congressional District 4 (116th Congress), Mississippi","47340","1904",
"5001600US2901","Congressional District 1 (116th Congress), Missouri","50163","1321",
"5001600US2902","Congressional District 2 (116th Congress), Missouri","88684","2370",
"5001600US2903","Congressional District 3 (116th Congress), Missouri","69621","2000",
"5001600US2904","Congressional District 4 (116th Congress), Missouri","53237","1720",
"5001600US2905","Congressional District 5 (116th Congress), Missouri","55239","1750",
"5001600US2906","Congressional District 6 (116th Congress), Missouri","62094","1747",
"5001600US2907","Congressional District 7 (116th Congress), Missouri","47679","2088",
