feature,importance,fold
leverage_pl,11163.75229319185,1
leverage_ne,20021.754993997514,1
committee_pl,1650.1847305744886,1
committee_ne,193.12075765430927,1
employ_industry_pl,1723.9129769206047,1
employ_industry_ne,393.4380090460181,1
payroll_industry_pl,897.3183345347643,1
payroll_industry_ne,159.96382534503937,1
ethnicity_pl,3275.760785587132,1
ethnicity_ne,1615.3886386826634,1
party_value_pl,963.0541595891118,1
party_value_ne,256.3101332783699,1
party_score_pl,25640.978564292192,1
party_score_ne,39141.191329695284,1
leverage_pl,11119.984029605985,2
leverage_ne,21514.056434269994,2
committee_pl,2285.8404088802636,2
committee_ne,299.3427524715662,2
employ_industry_pl,1523.3517870008945,2
employ_industry_ne,561.478825584054,2
payroll_industry_pl,829.2832469120622,2
payroll_industry_ne,226.3498092368245,2
ethnicity_pl,3952.9085525497794,2
ethnicity_ne,1528.9799107462168,2
party_value_pl,1058.3185264840722,2
party_value_ne,300.21128845214844,2
party_score_pl,29638.80279097706,2
party_score_ne,44121.56841067225,2
leverage_pl,11669.070376500487,3
leverage_ne,21762.264877781272,3
committee_pl,2456.965967424214,3
committee_ne,445.60628920048475,3
employ_industry_pl,2375.995498456061,3
employ_industry_ne,574.3005685582757,3
payroll_industry_pl,1507.9683028571308,3
payroll_industry_ne,368.9530162140727,3
ethnicity_pl,4965.87337936461,3
ethnicity_ne,1947.9727597162127,3
party_value_pl,1359.275908190757,3
party_value_ne,426.6688449084759,3
party_score_pl,41794.77251709625,3
party_score_ne,63359.6896147728,3
leverage_pl,12097.228890370578,4
leverage_ne,21319.934229828417,4
committee_pl,2378.019346948713,4
committee_ne,388.8472906202078,4
employ_industry_pl,1613.174462094903,4
employ_industry_ne,572.8373945355415,4
payroll_industry_pl,1259.9311615377665,4
payroll_industry_ne,246.22602581977844,4
ethnicity_pl,4368.962425492704,4
ethnicity_ne,1867.091913215816,4
party_value_pl,1189.802012629807,4
party_value_ne,397.9075548425317,4
party_score_pl,37732.026190984994,4
party_score_ne,56837.46027715877,4
leverage_pl,11381.632530275732,5
leverage_ne,20404.222007513046,5
committee_pl,1813.319732926786,5
committee_ne,260.15379229933023,5
employ_industry_pl,1719.0403373092413,5
employ_industry_ne,684.9179677739739,5
payroll_industry_pl,766.287490747869,5
payroll_industry_ne,211.02088125050068,5
ethnicity_pl,3580.117642056197,5
ethnicity_ne,1588.2795724794269,5
party_value_pl,1057.626459337771,5
party_value_ne,311.69056674838066,5
party_score_pl,28984.37727651,5
party_score_ne,43936.21862124652,5
