"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001600US1713","Congressional District 13 (116th Congress), Illinois","453051","6655","2212","698","356","293","3","6","127","146","68","108","224","214","22","49","206","201","1746","1137","1750","891","3817","1296","2881","823","6980","1454","6691","1294","6519","1322","116100","5253","24280","2221","29970","2491","67987","3980","39489","2805","82514","5232","40544","3406","7649","1585","10916","1570",
"5001600US1714","Congressional District 14 (116th Congress), Illinois","489571","7842","3128","1257","39","64","0","195","0","195","0","195","70","98","258","249","790","547","2867","2187","294","212","2535","1096","2456","1633","3889","1440","4632","1372","7387","1540","97481","4659","13018","2257","35801","3425","63929","4655","42322","3828","133760","5634","58671","4787","9371","1740","6873","1779",
"5001600US1715","Congressional District 15 (116th Congress), Illinois","479240","4248","2561","658","231","435","106","120","465","266","256","289","456","266","272","289","200","192","1003","365","744","323","8548","1347","5562","1187","10042","1491","9387","1075","6110","1080","135823","4563","27754","2184","42038","2700","67141","3462","60385","2658","63952","3244","26471","2084","5393","1041","4340","1117",
"5001600US1716","Congressional District 16 (116th Congress), Illinois","480220","4948","3732","956","275","325","96","119","0","195","188","233","518","426","1322","1295","964","614","1670","654","351","312","3625","943","3821","1153","9027","1739","9599","1753","7828","1354","135279","5559","25317","2294","42556","2728","72629","3727","48725","3453","72626","4878","31171","2606","5938","1445","2963","775",
"5001600US1717","Congressional District 17 (116th Congress), Illinois","459311","5118","4234","1221","6","10","0","195","0","195","70","87","150","167","496","370","701","396","3304","1234","1054","552","6610","1649","6133","1301","8998","1678","11629","1579","7293","1120","128913","5109","31311","2885","39204","2424","67650","3953","48785","3273","60665","3135","24941","2464","4789","1146","2375","640",
"5001600US1718","Congressional District 18 (116th Congress), Illinois","483135","5869","2715","803","61","77","341","279","18","32","0","195","84","76","588","550","266","238","327","195","320","229","2980","920","2720","798","6603","1266","6587","1289","5447","882","124585","5186","19600","1933","38585","2223","63723","3651","45359","2962","104793","4014","44470","3130","8126","1202","4837","1175",
"5001600US1801","Congressional District 1 (116th Congress), Indiana","492917","1957","5309","1176","94","149","0","201","129","162","463","410","417","367","261","262","406","283","3188","1057","1327","630","5494","1472","4037","1077","7441","1473","8298","1682","8562","1599","156732","6159","25567","2462","33495","3013","74578","4672","42851","3273","74929","3726","28756","2687","6897","1468","3686","850",
"5001600US1802","Congressional District 2 (116th Congress), Indiana","477492","2903","4164","1006","81","133","425","532","47","77","40","70","244","220","1341","936","322","257","1878","682","1717","698","14065","2666","8388","1691","8723","1361","12303","1963","7655","1531","149449","5954","26919","2622","31437","2949","61894","4061","38862","3173","68158","3840","29908","3042","4429","871","5043","1017",
"5001600US1803","Congressional District 3 (116th Congress), Indiana","496328","2487","5981","1272","109","127","0","201","0","201","207","207","825","399","1699","844","1293","782","2508","837","913","484","14739","2185","6217","1154","7359","1239","11724","1859","7492","1293","141346","4464","23740","2434","33485","2428","66396","3941","48620","3096","82797","4145","30262","2754","5255","1090","3361","953",
"5001600US1804","Congressional District 4 (116th Congress), Indiana","500236","3916","4632","1144","50","86","0","201","24","42","64","102","453","373","305","296","1111","633","1452","703","1212","666","6454","1226","6956","1577","7468","1299","10046","1934","8379","1740","147516","4724","23639","2419","39901","3072","67006","4152","40725","3436","84422","4594","35199","3373","5969","1547","7253","1841",
