"full_name","congress","importance_intl","importance_dom","importance_prof","pred","intl_percentage","dom_percentage","prof_percentage","decision","party","chamber","committee_el","gender","age","seniority","ideology","district","state_code","bioguide_id"
"Rep. Kildee, Daniel T. [D-MI-8]","115",18.1774,43.6607,39.5759,0.366821658944801,0.179239199244287,0.430518605875706,0.390240222769593,"dom","Democratic","house of representatives","Committee on Financial Services","Male",66,4,0.305922773617528,"5","MI","K000380"
"Rep. Kilmer, Derek [D-WA-6]","117",26.1632,43.6087,49.3809,0.317460588588637,0.21957522091215,0.365986956342942,0.414430269475476,"prof","Democratic","house of representatives","Select Committee on the Modernization of Congress","Male",50,8,0.245982467096687,"6","WA","K000381"
"Rep. Kilmer, Derek [D-WA-6]","118",24.7863,38.2294,41.5073,0.340025901056624,0.237136600164748,0.365750028940916,0.397110500720892,"prof","Democratic","house of representatives","Committee on Appropriations","Male",50,10,0.342702889864157,"6","WA","K000381"
"Rep. Kim, Young [R-CA-40]","117",28.8432,41.4336,52.0973,0.385637853841173,0.235696354793159,0.338580618168506,0.425720575545212,"prof","Republican","house of representatives","Committee on Foreign Affairs","Female",62,0,0.503828145521323,"39","CA","K000397"
"Rep. Kim, Young [R-CA-40]","118",31.2193,39.6481,52.118,0.359877786123326,0.253844752808861,0.322379494218032,0.423772500565106,"prof","Republican","house of representatives","Committee on Financial Services","Female",62,2,0.544873142273503,"40","CA","K000397"
"Rep. Kind, Ron [D-WI-3]","116",26.8157,38.2541,46.3387,0.401341075244914,0.240696426135099,0.343366951264173,0.415933929815239,"prof","Democratic","house of representatives","Committee on Ways and Means","Female",61,22,0.499950152555276,"3","WI","K000188"
"Rep. Kinzinger, Adam [R-IL-11]","116",16.7658,47.5213,42.6355,0.410528323927619,0.156803438755583,0.444446626712457,0.398751805047399,"dom","Republican","house of representatives","Committee on Foreign Affairs","Male",46,8,0.657025595131405,"16","IL","K000378"
"Rep. Kinzinger, Adam [R-IL-11]","117",29.7369,44.6389,50.6704,0.334232455751078,0.237806735894247,0.3569784040337,0.405212460964521,"prof","Republican","house of representatives","Committee on Foreign Affairs","Male",46,10,0.425883794485432,"16","IL","K000378"
"Rep. Krishnamoorthi, Raja [D-IL-8]","115",18.5111,36.8808,35.0658,0.382713374285776,0.204637963779796,0.407712767721523,0.387648163010818,"dom","Democratic","house of representatives","Committee on Education and the Workforce","Male",51,0,0.335337579614715,"8","IL","K000391"
"Rep. Krishnamoorthi, Raja [D-IL-8]","116",16.4601,44.9077,39.9198,0.38576002871956,0.16250918181172,0.443369942105222,0.39412482524939,"dom","Democratic","house of representatives","Permanent Select Committee on Intelligence","Male",51,2,0.336569425920352,"8","IL","K000391"
"Rep. Krishnamoorthi, Raja [D-IL-8]","117",28.5104,38.4599,46.2324,0.28658304882032,0.251852650157638,0.339743663357853,0.40840368648451,"prof","Democratic","house of representatives","Committee on Oversight and Accountability","Male",51,4,0.214008379978056,"8","IL","K000391"
"Rep. Krishnamoorthi, Raja [D-IL-8]","118",24.8609,37.514,42.1172,0.352139813375436,0.237921107987008,0.359012443034025,0.403065491969735,"prof","Democratic","house of representatives","Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party","Male",51,6,0.242962400833691,"8","IL","K000391"
"Rep. Kuster, Ann M. [D-NH-2]","115",17.0076,41.9814,39.7338,0.400338972768748,0.172274917041113,0.425241786158527,0.402475193368151,"dom","Democratic","house of representatives","Committee on Agriculture","Female",68,4,0.429373635552637,"2","NH","K000382"
"Rep. Kuster, Ann M. [D-NH-2]","116",22.154,42.9523,45.6194,0.470593846030647,0.200079836858257,0.387915914809376,0.412003345200486,"prof","Democratic","house of representatives","Committee on Energy and Commerce","Female",68,6,0.394079015679122,"2","NH","K000382"
"Rep. Kuster, Ann M. [D-NH-2]","117",39.5932,34.5584,58.2482,0.254633191547985,0.299043199526283,0.261015894307838,0.439942416744461,"prof","Democratic","house of representatives","Committee on Agriculture","Female",68,8,0.240346196068638,"2","NH","K000382"
"Rep. Kustoff, David [R-TN-8]","115",19.1196,35.4572,37.3445,0.350872512059756,0.207999443002391,0.385733898743927,0.406265570367727,"prof","Republican","house of representatives","Committee on Financial Services","Male",58,0,0.722520512658587,"8","TN","K000392"
