"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree",
"5001600US0101","Congressional District 1 (116th Congress), Alabama","487552","611","4970","535","31","32","78","54","46","46","156","117","411","187","458","234","530","153","1363","300","1717","291","5099","572","9529","1054","13690","999","14873","1002","8654","688","136020","2672","25817","1417","28718","1416","74091","1968","41035","1818","79534","2084","30233","1342","6704","528","3795","488",
"5001600US0102","Congressional District 2 (116th Congress), Alabama","462393","1333","5938","476","45","36","83","53","87","45","318","125","697","168","729","202","955","197","2755","305","3720","403","6069","504","10074","649","13411","773","14137","685","9635","679","121850","2390","26647","1073","28748","1090","70633","1891","39929","1467","66013","1699","29889","1146","6048","451","3983","396",
"5001600US0103","Congressional District 3 (116th Congress), Alabama","476424","1065","6353","662","78","54","59","55","85","51","177","92","651","180","664","209","944","243","2552","382","3624","458","7448","638","10462","736","14968","981","14412","893","9542","740","119760","2368","28398","1190","31353","1140","75944","1860","42345","1466","62747","1887","31787","1499","6599","629","5472","472",
"5001600US0104","Congressional District 4 (116th Congress), Alabama","473485","1114","7674","651","75","53","77","59","268","126","437","170","1528","351","1087","239","1210","251","4890","523","4801","555","8856","679","12624","775","16956","975","15542","1175","9352","691","129661","2343","32179","1182","33218","1094","68883","1828","42113","1261","51112","1368","22654","1151","4931","440","3357","415",
"5001600US0105","Congressional District 5 (116th Congress), Alabama","496603","405","5198","570","34","35","54","43","94","46","256","124","756","223","366","151","1082","248","3100","501","3207","477","5559","574","9676","859","11139","937","10480","833","7040","611","106941","2261","27239","1227","29215","1309","73021","1862","40673","1592","101426","2052","47215","1405","6291","516","6541","607",
"5001600US0106","Congressional District 6 (116th Congress), Alabama","484803","2106","4322","491","62","53","38","37","64","49","172","94","348","148","563","214","688","209","2791","419","1970","346","3957","501","6193","647","8188","729","8711","728","7583","676","101036","2211","19855","1109","28496","1185","71525","2113","39550","1179","111117","1851","44425","1543","14604","790","8545","600",
"5001600US0107","Congressional District 7 (116th Congress), Alabama","439617","2439","6382","552","85","60","103","66","155","86","112","55","618","171","422","118","750","193","2697","479","2858","437","4343","490","8158","728","13006","870","17472","995","10416","772","126448","2835","20988","1132","23175","1306","74008","2366","36671","1361","57229","2108","24325","1257","5093","523","4103","457",
"5001600US0200","Congressional District (at Large) (116th Congress), Alaska","480586","382","3434","483","151","98","47","43","126","101","462","209","570","127","486","112","613","191","1455","281","1099","219","3603","407","3292","286","6030","496","7427","559","5581","505","108797","2192","25785","1110","36708","1432","91792","2155","41109","1556","88058","1892","37958","1508","10373","733","5630","568",
"5001600US0401","Congressional District 1 (116th Congress), Arizona","502231","2388","7117","550","68","75","25","21","104","49","495","132","1254","324","867","166","1719","287","3594","475","2162","313","7142","619","8176","629","11228","924","13690","821","9239","623","110682","2070","22643","1154","34689","1263","98925","2076","43324","1444","73350","2020","37245","1318","7894","672","6599","581",
"5001600US0402","Congressional District 2 (116th Congress), Arizona","506905","2241","4561","558","95","65","148","126","117","92","479","159","575","185","431","152","766","185","3438","583","1117","282","4682","520","5515","615","6705","673","8112","734","8666","619","87692","2050","19050","948","38554","1219","93224","1938","48000","1525","100742","1937","51414","1643","11859","708","10963","735",
"5001600US0403","Congressional District 3 (116th Congress), Arizona","467280","2954","11076","714","111","80","64","64","678","200","1652","348","3539","476","1973","290","2880","387","14975","1007","2539","268","10736","854","18436","1149","11670","749","13854","869","14051","744","105002","2558","25101","1139","33736","1294","80871","2009","37648","1386","50573","1704","19682","918","3778","434","2655","298",
