"GEO_ID","NAME","C24010_001E","C24010_001M","C24010_002E","C24010_002M","C24010_003E","C24010_003M","C24010_004E","C24010_004M","C24010_005E","C24010_005M","C24010_006E","C24010_006M","C24010_007E","C24010_007M","C24010_008E","C24010_008M","C24010_009E","C24010_009M","C24010_010E","C24010_010M","C24010_011E","C24010_011M","C24010_012E","C24010_012M","C24010_013E","C24010_013M","C24010_014E","C24010_014M","C24010_015E","C24010_015M","C24010_016E","C24010_016M","C24010_017E","C24010_017M","C24010_018E","C24010_018M","C24010_019E","C24010_019M","C24010_020E","C24010_020M","C24010_021E","C24010_021M","C24010_022E","C24010_022M","C24010_023E","C24010_023M","C24010_024E","C24010_024M","C24010_025E","C24010_025M","C24010_026E","C24010_026M","C24010_027E","C24010_027M","C24010_028E","C24010_028M","C24010_029E","C24010_029M","C24010_030E","C24010_030M","C24010_031E","C24010_031M","C24010_032E","C24010_032M","C24010_033E","C24010_033M","C24010_034E","C24010_034M","C24010_035E","C24010_035M","C24010_036E","C24010_036M","C24010_037E","C24010_037M","C24010_038E","C24010_038M","C24010_039E","C24010_039M","C24010_040E","C24010_040M","C24010_041E","C24010_041M","C24010_042E","C24010_042M","C24010_043E","C24010_043M","C24010_044E","C24010_044M","C24010_045E","C24010_045M","C24010_046E","C24010_046M","C24010_047E","C24010_047M","C24010_048E","C24010_048M","C24010_049E","C24010_049M","C24010_050E","C24010_050M","C24010_051E","C24010_051M","C24010_052E","C24010_052M","C24010_053E","C24010_053M","C24010_054E","C24010_054M","C24010_055E","C24010_055M","C24010_056E","C24010_056M","C24010_057E","C24010_057M","C24010_058E","C24010_058M","C24010_059E","C24010_059M","C24010_060E","C24010_060M","C24010_061E","C24010_061M","C24010_062E","C24010_062M","C24010_063E","C24010_063M","C24010_064E","C24010_064M","C24010_065E","C24010_065M","C24010_066E","C24010_066M","C24010_067E","C24010_067M","C24010_068E","C24010_068M","C24010_069E","C24010_069M","C24010_070E","C24010_070M","C24010_071E","C24010_071M","C24010_072E","C24010_072M","C24010_073E","C24010_073M",
"5001500US2501","Congressional District 1 (115th Congress), Massachusetts","349113","5711","175235","4201","54042","3650","23702","2232","18145","2066","5557","1080","11826","1836","5277","1243","5247","1212","1302","446","14051","1763","2633","774","915","405","6448","1139","4055","1235","4463","1121","2880","978","1583","612","32331","2716","1529","719","7103","1435","3626","1026","3477","1165","11099","1911","9483","1448","3117","1054","28761","2792","17272","2303","11489","1573","27274","2857","1179","659","15433","2392","10662","1769","32827","3014","17032","2386","9937","2007","5858","1670","173878","3554","73542","3742","22435","1936","13530","1715","8905","1436","3728","883","1210","453","1143","546","1375","561","29807","2339","6186","1354","1895","827","17464","1741","4262","1031","17572","2073","10782","1801","6790","1209","42139","3278","12827","2298","1943","764","1371","684","572","358","11789","1827","4546","1273","11034","1596","48361","2902","15556","1683","32805","2482","1360","700","325","340","799","551","236","209","8476","1631","6156","1396","1492","605","828","452",
"5001500US2502","Congressional District 2 (115th Congress), Massachusetts","374239","7951","191806","5067","74673","4390","31664","2799","23884","2296","7780","1433","20604","2283","10345","1690","7227","1285","3032","1089","16253","1992","2886","910","1277","450","8151","1452","3939","1112","6152","1315","3992","903","2160","946","30758","2518","1432","627","7586","1182","3714","833","3872","932","8540","1628","9124","1512","4076","874","31441","2881","17029","2263","14412","2138","24573","2712","1271","651","15148","1896","8154","1941","30361","3222","14935","2005","9029","1786","6397","1353","182433","4978","85227","3508","27615","2497","16528","1866","11087","1610","6225","1291","3109","815","1171","491","1945","698","30871","2468","6192","1087","1576","550","19341","2124","3762","888","20516","2094","15386","1653","5130","1245","39322","2938","11955","1672","1749","769","1235","646","514","434","11510","1940","2604","786","11504","1608","47593","3053","15160","1810","32433","2784","778","398","283","307","187","170","308","247","9513","1836","6301","1478","1725","687","1487","784",
"5001500US2503","Congressional District 3 (115th Congress), Massachusetts","401998","8297","210341","5818","81696","3694","35804","3438","27890","3212","7914","1134","26879","2519","14279","1787","9644","1527","2956","762","13970","2308","1468","543","2298","922","6428","1748","3776","918","5043","1177","3477","1081","1566","600","29715","3456","953","455","7161","1489","4131","1051","3030","879","9968","1790","8398","1559","3235","824","32438","3094","17990","2177","14448","2373","28831","3060","921","646","18418","2814","9492","1547","37661","3919","18569","2753","10758","1792","8334","1731","191657","5031","84205","3819","26995","2570","17877","2194","9118","1596","8373","1107","3624","798","1794","730","2955","757","32410","2514","6188","1274","2010","684","20405","2154","3807","999","16427","1747","11460","1279","4967","1115","40381","2971","7131","1447","1174","561","874","520","300","236","11858","2005","6675","1650","13543","1988","51714","3668","18947","2393","32767","2922","668","470","156","256","477","384","35","58","14689","2057","10815","1691","1619","813","2255","1049",
"5001500US2504","Congressional District 4 (115th Congress), Massachusetts","404860","7354","204911","5421","102094","4545","46731","3301","32306","2650","14425","1707","27227","2730","14346","1726","8299","1537","4582","1307","19163","2445","1477","520","4241","1025","8815","1721","4630","1055","8973","1570","7020","1426","1953","669","23033","2598","610","388","7270","1476","4457","1019","2813","1002","6507","1633","5813","1314","2833","941","34607","3169","22507","2621","12100","1683","27012","2942","223","166","17291","2458","9498","1738","18165","2265","6665","1472","7744","1538","3756","1087","199949","4904","115753","4357","39718","2601","25085","2111","14633","1658","12200","1674","5588","1196","2321","799","4291","914","38842","3006","5904","1128","3792","925","23817","2318","5329","951","24993","2558","19498","2302","5495","1256","30325","2211","5773","1186","1484","617","975","461","509","338","10390","1638","3285","1104","9393","1657","47570","3502","19383","2311","28187","2736","558","411","61","100","162","190","335","289","5743","1225","2530","912","2018","692","1195","585",
"5001500US2505","Congressional District 5 (115th Congress), Massachusetts","415563","8114","211919","4810","116440","4153","45321","2896","32205","2486","13116","1820","40839","2846","21719","2108","9784","1393","9336","1467","22338","2490","1592","623","3558","770","11218","1730","5970","1102","7942","1659","6160","1206","1782","1147","26343","2686","1029","517","5448","1300","3373","935","2075","698","9461","1904","6982","1554","3423","856","33697","2789","19367","2083","14330","2031","19227","2542","80","94","13810","2215","5337","1489","16212","2386","6430","1479","7697","1662","2085","652","203644","5233","118965","5160","41733","2534","22532","2082","19201","1955","18952","1989","7767","1410","2019","616","9166","1221","37627","3299","5473","1260","3220","888","21937","2744","6997","1148","20653","2289","16589","1994","4064","1121","33360","2673","5627","1524","1283","751","1066","727","217","219","9950","1677","7284","1652","9216","1602","44235","3142","15705","1611","28530","2646","1021","542","320","351","602","373","99","117","6063","1293","3553","1051","1584","545","926","677",
"5001500US2506","Congressional District 6 (115th Congress), Massachusetts","410029","6491","208588","4307","88479","3471","42444","3032","31267","2488","11177","1757","24446","2334","13400","1657","7932","1267","3114","834","15498","1913","2492","813","2573","812","5557","1089","4876","1116","6091","1355","4384","1095","1707","645","29044","2892","1139","585","6649","1277","3883","1012","2766","813","10357","1746","7609","1344","3290","947","38520","3245","25650","2692","12870","1851","27534","2915","192","192","19316","2255","8026","1411","25011","2651","10845","1877","9413","1369","4753","1152","201441","4760","101369","4347","38749","2970","25233","2586","13516","1653","7680","1502","3740","1061","1545","627","2395","728","35406","3182","7125","1921","3280","968","19151","2104","5850","1335","19534","2030","14399","1721","5135","983","39082","3386","7803","1653","953","426","758","396","195","178","12730","2082","4201","1056","13395","2508","51488","3355","17586","2108","33902","2812","912","575","58","94","413","456","441","323","8590","1776","4291","1215","2754","1146","1545","640",
"5001500US2507","Congressional District 7 (115th Congress), Massachusetts","448318","9307","225691","5744","102549","4343","37956","2953","22845","2517","15111","1636","32693","2892","15648","1984","8687","1472","8358","1663","24349","2559","3056","880","2588","684","12883","1806","5822","1216","7551","1492","6072","1312","1479","654","45216","3979","1662","794","6254","1411","4682","1234","1572","688","18805","3024","11716","2188","6779","1424","34082","3716","16415","2471","17667","2770","19193","2973","78","93","13501","2437","5614","1468","24651","2990","6964","1438","12507","2201","5180","1596","222627","6297","111668","5138","41629","3088","25993","2440","15636","2217","14159","1912","5858","1264","1994","755","6307","1164","38005","2707","8154","1580","2853","718","20288","2482","6710","1319","17875","2697","12466","2078","5409","1617","53469","4115","11597","1917","2454","932","2038","912","416","331","13882","2111","10648","2236","14888","2570","48576","3623","19342","2230","29234","2801","882","574","364","412","298","326","220","208","8032","1765","3949","1157","2402","1070","1681","812",
"5001500US2508","Congressional District 8 (115th Congress), Massachusetts","422874","8656","210827","5473","91735","4505","44453","3366","30748","3028","13705","1724","21176","2031","10748","1735","6479","1021","3949","1241","19082","2206","3157","1146","3878","1044","7344","1295","4703","1004","7024","1431","4725","1267","2299","837","31709","2679","1774","780","8513","1504","5471","1258","3042","816","9916","1931","6600","1485","4906","1222","39336","3303","22512","2824","16824","2115","25656","2972","813","541","17008","2482","7835","1578","22391","2298","7435","1302","9992","1579","4964","1213","212047","5822","113236","5232","42318","3429","24860","2947","17458","1953","11155","1587","5158","1215","1425","500","4572","985","34312","3001","5439","984","3635","971","19612","2337","5626","1433","25451","2520","19931","2204","5520","1044","40039","3560","10501","1863","1595","699","1270","636","325","275","12664","2073","3741","993","11538","2089","52524","3165","18934","2148","33590","2868","409","251","0","210","329","257","80","130","5839","1251","2929","790","933","548","1977","648",
"5001500US2509","Congressional District 9 (115th Congress), Massachusetts","372540","7548","193276","5280","59495","4068","32406","3286","24002","2997","8404","1511","10012","1482","5150","1173","3584","864","1278","532","12395","2108","1689","701","1266","489","6080","1558","3360","979","4682","1157","3013","926","1669","753","33675","3436","712","339","8802","1573","4423","1150","4379","1225","11583","2050","8862","1489","3716","953","31495","2544","20380","2045","11115","1713","40565","4019","1923","802","29995","3439","8647","1784","28046","3000","10746","1711","11359","1855","5941","1691","179264","5422","82956","4034","28717","2495","18329","2086","10388","1467","4059","994","2397","800","798","387","864","455","26293","2475","6076","1485","1561","670","15268","1932","3388","859","23887","2192","16267","1857","7620","1185","36688","3070","8404","1594","909","408","509","408","400","256","10489","1737","6382","1621","10504","1718","48802","3694","17161","2227","31641","3135","1306","620","716","461","484","369","106","126","9512","1997","5160","1173","2375","945","1977","994",
"5001500US2601","Congressional District 1 (115th Congress), Michigan","303063","4526","158086","2994","42784","2629","20855","1959","16099","1621","4756","947","7818","1137","2691","588","4188","792","939","365","9529","1182","1541","379","726","304","4438","780","2824","795","4582","779","3100","734","1482","428","27956","2007","633","266","5068","984","1922","605","3146","701","10413","1290","9930","1185","1912","544","21552","1749","14065","1324","7487","996","30007","2064","2158","683","17274","1641","10575","1236","35787","1710","18153","1578","10184","1072","7450","932","144977","3042","51496","2428","15675","1208","9494","917","6181","836","2894","677","1095","473","967","324","832","384","16962","1659","3402","887","869","352","9732","1200","2959","756","15965","1710","11339","1482","4626","846","38017","1940","6786","1103","963","360","645","324","318","169","13864","1614","7184","1263","9220","1173","45515","2646","17445","1582","28070","2142","1441","426","509","242","772","409","160","110","8508","1107","6335","999","1193","449","980","325",
