"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"5001500US3712","Congressional District 12 (115th Congress), North Carolina","860866","8473","397225","9536","324166","5393","4176","1625","47645","3653","440","245","59584","6077","27630","4525","1584","952","26046","4281",
"5001500US3713","Congressional District 13 (115th Congress), North Carolina","781657","8201","548521","7745","173692","6378","4452","1518","23501","2858","218","200","12514","3291","18759","3075","1059","521","17700","3015",
"5001500US3800","Congressional District (at Large) (115th Congress), North Dakota","755393","*****","654116","2352","23294","2184","41706","2209","12699","1981","540","445","8251","1916","14787","2568","1019","516","13768","2418",
"5001500US3901","Congressional District 1 (115th Congress), Ohio","740851","8898","529224","7503","158038","6216","840","600","27394","2339","449","318","4392","2280","20514","3307","535","417","19979","3260",
"5001500US3902","Congressional District 2 (115th Congress), Ohio","728153","10356","629814","8609","64630","6213","1932","771","11202","1928","274","345","2854","1035","17447","3848","879","586","16568","3822",
"5001500US3903","Congressional District 3 (115th Congress), Ohio","782878","10345","419577","10763","271328","7922","2187","1603","36336","4268","358","332","19898","4167","33194","5344","1862","1150","31332","5117",
"5001500US3904","Congressional District 4 (115th Congress), Ohio","710603","5646","640309","6140","36602","3061","1555","621","5444","1226","561","655","4501","1404","21631","2320","1235","523","20396","2238",
"5001500US3905","Congressional District 5 (115th Congress), Ohio","717547","6025","656075","6256","20061","3427","1748","755","8557","1550","578","490","11652","2215","18876","2695","4487","1416","14389","2555",
"5001500US3906","Congressional District 6 (115th Congress), Ohio","696153","6663","661763","6992","16897","1847","1311","687","2152","930","39","66","1481","626","12510","1769","575","528","11935","1733",
"5001500US3907","Congressional District 7 (115th Congress), Ohio","725665","7640","670846","7457","27856","3422","1412","670","4955","1218","108","137","1986","1008","18502","2729","1787","956","16715","2405",
"5001500US3908","Congressional District 8 (115th Congress), Ohio","730445","1618","644120","2677","43920","2582","1395","658","15155","1111","38","46","4948","1881","20869","3284","645","642","20224","3228",
"5001500US3909","Congressional District 9 (115th Congress), Ohio","720715","12440","529396","11335","117332","6974","2611","979","12008","2091","168","219","20745","4133","38455","5596","5026","1758","33429","5121",
"5001500US3910","Congressional District 10 (115th Congress), Ohio","721456","1608","550466","3015","119610","2877","1134","653","17256","1503","50","97","7588","2509","25352","3197","950","497","24402","3170",
"5001500US3911","Congressional District 11 (115th Congress), Ohio","675475","12916","266886","9777","360708","8856","1346","595","17692","2940","109","111","10097","2678","18637","2657","2430","904","16207","2571",
"5001500US3912","Congressional District 12 (115th Congress), Ohio","780529","9024","675727","9749","38427","5369","1200","549","37847","4108","37","64","4924","1563","22367","2588","2681","1461","19686","2423",
"5001500US3913","Congressional District 13 (115th Congress), Ohio","715559","10929","587140","8730","83173","5556","1881","857","11765","2477","248","329","4386","1331","26966","3596","2224","1675","24742","2982",
"5001500US3914","Congressional District 14 (115th Congress), Ohio","724790","8151","652988","8367","37485","4791","1163","542","17034","2993","354","472","4551","1694","11215","1994","478","631","10737","1870",
"5001500US3915","Congressional District 15 (115th Congress), Ohio","772776","9546","701488","9060","30907","3707","1072","624","16514","2514","380","368","4756","1592","17659","3057","1023","528","16636","2987",
"5001500US3916","Congressional District 16 (115th Congress), Ohio","715014","9129","664255","9496","14379","3143","933","486","16207","2552","465","489","1989","1011","16786","3126","916","741","15870","3028",
"5001500US4001","Congressional District 1 (115th Congress), Oklahoma","803883","2641","573287","3967","70264","2195","50325","2634","24600","1464","899","135","25740","3220","58768","3767","2535","836","56233","3686",
"5001500US4002","Congressional District 2 (115th Congress), Oklahoma","744806","2705","492087","2960","23795","966","128732","3336","5882","1235","2288","1120","12709","1690","79313","3182","1938","632","77375","3230",
"5001500US4003","Congressional District 3 (115th Congress), Oklahoma","774066","3389","613579","5021","27561","2371","47233","3136","9930","1906","2481","1834","25937","3487","47345","3919","4521","1355","42824","3942",
"5001500US4004","Congressional District 4 (115th Congress), Oklahoma","789947","4990","595799","5753","53272","4146","42766","3159","19033","1962","948","618","14921","3257","63208","4594","2679","938","60529","4432",
"5001500US4005","Congressional District 5 (115th Congress), Oklahoma","818162","3912","562740","6421","111824","3862","33344","2804","27259","1409","547","540","28200","5206","54248","4688","3244","1477","51004","4453",
"5001500US4101","Congressional District 1 (115th Congress), Oregon","844175","4572","675017","7892","15029","1697","5623","1998","67735","2561","2462","1203","34940","4997","43369","4245","7085","3272","36284","3162",
"5001500US4102","Congressional District 2 (115th Congress), Oregon","821129","3316","739241","6357","5192","838","18143","2577","9000","1278","1189","574","20349","4614","28015","2784","2699","1183","25316","2756",
"5001500US4103","Congressional District 3 (115th Congress), Oregon","842158","8561","660691","10203","43459","3005","8878","1601","60866","2730","5924","1101","20013","5372","42327","4733","2920","995","39407","4458",
