"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"5001800US0101","Congressional District 1 (118th Congress), Alabama","730935","3563","477965","2911","188190","4747","4497","1183","12031","1222","363","395","10066","2674","37823","5309","11665","2555","26158","4550",
"5001800US0102","Congressional District 2 (118th Congress), Alabama","723094","6735","437594","3042","224147","6741","1603","651","12033","1109","122","142","10453","2417","37142","3835","12790","2286","24352","3376",
"5001800US0103","Congressional District 3 (118th Congress), Alabama","723164","3599","489698","3278","172073","4846","901","417","13335","2619","446","395","10932","3286","35779","4134","13047","2354","22732","3090",
"5001800US0104","Congressional District 4 (118th Congress), Alabama","727607","6177","591981","6070","46194","3594","8598","2438","5623","1191","2338","2709","26425","4886","46448","4500","20946","4118","25502","2311",
"5001800US0105","Congressional District 5 (118th Congress), Alabama","743238","3292","526239","5021","131722","3545","4403","1218","12895","1209","540","446","17430","4756","50009","4879","19625","3813","30384","3824",
"5001800US0106","Congressional District 6 (118th Congress), Alabama","710137","9406","509466","8222","140789","7408","2029","1465","13797","1874","1145","1202","15876","3382","27035","3854","11239","2426","15796","2696",
"5001800US0107","Congressional District 7 (118th Congress), Alabama","716121","12831","269585","8661","398920","11197","2369","1056","9179","2394","23","43","10947","3204","25098","4380","8729","2014","16369","3618",
"5001800US0200","Congressional District (at Large) (118th Congress), Alaska","733583","*****","437533","3054","22202","3776","95268","4155","46184","2926","14724","1961","13365","2724","104307","7547","25071","3381","79236","6316",
"5001800US0401","Congressional District 1 (118th Congress), Arizona","799436","19193","569963","17733","28873","5689","14021","3553","32175","3927","1734","891","40844","7413","111826","11108","80527","10065","31299","4120",
