Variable,Estimate,Est.Error,Q2.5,Q97.5
leverage_ne_rawM2,-1.7740938016909122,1.1922170325785872,-4.058976693990826,0.7754260881543954
committee_pl_raw3,0.7591480248454131,1.2540732592207355,-1.6521586012177856,3.132702838358139
leverage_pl_raw3,-0.5918078455791675,1.2869977865150581,-3.11315899593803,1.9073760788502563
leverage_pl_raw1,0.5505542795795065,0.8473486128076471,-1.1062313405003914,2.1097201377644024
leverage_ne_rawM1,-0.5068755584793304,1.1623650053661612,-2.708556536359289,1.9437941513304537
committee_ne_raw0,0.4141130599495569,1.2569273432434824,-1.9571250768957071,2.8546226636872474
committee_pl_raw1,-0.32796512773109715,1.26216160661775,-2.729416359752705,2.0685517096138057
leverage_pl_raw2,-0.26178159956864816,1.1215807825770083,-2.4492768584782416,1.9139260525322297
committee_pl_raw2,-0.24088688930275923,1.258939926233196,-2.764733194848142,2.1396468430543125
leverage_ne_raw0,0.1848670130668711,1.2076886745304134,-2.046104388414079,2.7484986509807183
