Variable,Estimate,Est.Error,Q2.5,Q97.5
leverage_ne_rawM2,-1.779413576449266,1.1201401273994112,-3.889954686314488,0.5085933493710766
employ_industry_pl_raw3,1.4607849942428366,2.0400570061521925,-2.375580972691162,5.488686130761731
employ_industry_pl_raw1,-0.7112392091185585,1.358990748264946,-3.296955479439246,2.1971960860725575
employ_industry_ne_raw0,0.6236503613470487,1.3581687242147649,-2.294282063102939,3.2426832893484203
leverage_pl_raw3,-0.5332259178428889,1.3906666993015346,-3.2124380680799005,2.279752267227692
leverage_pl_raw1,0.5212860525043758,0.893564831383738,-1.0385776030535312,2.38232328862699
leverage_ne_rawM1,-0.5009452659755343,1.1575638756291429,-2.746513131928022,1.8214167114771873
employ_industry_pl_raw2,-0.45688951767023056,1.3704938058974971,-3.0599930658762835,2.468451626876707
party_score_pl_raw,0.21485391180566385,0.08676247850763931,0.044288062845809495,0.3822225623680859
party_value_ne_raw1,-0.14275476877054596,1.8049862948904776,-3.5836685086040645,3.3434011187295054
leverage_ne_raw0,0.13163345591566203,1.217452440724979,-2.2883474148116414,2.6757253787914435
ethnicity_pl_raw1,0.12188217358851236,1.2278983174440101,-2.231798340652462,2.50219319876315
leverage_pl_raw2,-0.1191338668314249,1.2077723752926028,-2.5380674648008537,2.1537512960328464
ethnicity_pl_raw2,0.09508878948999708,1.2294693045487166,-2.291388791085818,2.4759254859925557
payroll_industry_pl_raw2,0.07581310263170941,1.3100988294487679,-2.5201215947776388,2.553848147115861
payroll_industry_pl_raw1,-0.0672555327475093,1.2869694795992535,-2.6566661157588065,2.3795166077293075
payroll_industry_pl_raw3,-0.06223891622302318,1.5627856130941011,-3.2136838562619046,2.8165632311956728
party_value_pl_raw1,0.05581125189187796,1.804954576489282,-3.3351751141228427,3.576871677639631
ethnicity_pl_raw3,0.04375230344146869,1.2290141462712911,-2.3318746078017103,2.4277186395906734
party_score_ne_raw,0.040809968708802394,0.024443360699574722,-0.007283637980444562,0.08993426069869716
ethnicity_ne_raw0,-0.035857131122778677,1.2314833565981667,-2.41412639800151,2.3150463735782267
payroll_industry_ne_raw0,0.022497507036595626,1.2893170542209504,-2.4199025970197487,2.648351989087844
