Variable,Estimate,Est.Error,Q2.5,Q97.5
employ_industry_pl_raw2,-1.0996308592144102,2.119301206994961,-5.193257932407907,2.802336865069944
employ_industry_pl_raw1,0.6686719709793415,1.692143071383049,-2.699813271399897,4.050438673837559
employ_industry_ne_raw0,-0.5421042896326924,1.6879557341012208,-3.9922596286236582,2.7525348177324096
ethnicity_ne_raw0,0.47335124982848015,1.2634209612351321,-1.9995483094407764,2.8223255669706813
committee_ne_raw0,0.39002406282189184,1.3126101762591844,-2.2277843755659155,2.9394960906452985
committee_pl_raw3,0.3623212203866288,1.3195466752817488,-2.191741775363621,2.985214476101015
payroll_industry_pl_raw2,0.243741792346407,1.5274525474629261,-2.723043232941366,3.464301688990817
payroll_industry_pl_raw1,-0.2326998623679935,1.4798617361409878,-3.209826190287651,2.7217622466012394
ethnicity_pl_raw3,0.2261521789125801,1.2218001407120953,-2.028109469805798,2.6219267131884263
payroll_industry_ne_raw0,0.2001272254740015,1.4782998841359118,-2.802366118452837,3.080906355084081
leverage_ne_rawM1,0.1821166320129282,2.340098726645759,-4.49377367278292,4.763963884886396
committee_pl_raw2,-0.14162984360454445,1.3182898481173322,-2.6525203911574606,2.328768198481203
party_score_ne_raw,-0.14065331025040548,0.07410291377022259,-0.28812369312829617,-0.002181776939714819
ethnicity_pl_raw2,0.10844380584859721,1.2270786747073414,-2.20321722617978,2.5518396935891436
committee_pl_raw1,0.09664610311361323,1.314570668654821,-2.4252295329375846,2.6719197830809525
ethnicity_pl_raw1,0.09371341954870023,1.224885781374745,-2.1578824750630194,2.5376103777769647
leverage_ne_rawM2,-0.07749359975494652,2.3845436035251497,-4.763635722098066,4.412194200306674
leverage_pl_raw1,0.06549782003685395,2.290857848707558,-4.450656212390267,4.57052618798753
party_value_ne_raw1,0.05841682618589499,1.7810936649483946,-3.3271157079840616,3.706988704777966
party_value_pl_raw1,0.053916127883907386,1.7754859644911323,-3.3328223687507466,3.7698035939673167
leverage_pl_raw2,0.044950927638244306,2.439325632776618,-4.571473141876647,4.988249931966803
party_score_pl_raw,0.03771493665761081,0.24933220446592727,-0.45106749409168145,0.5082547610674802
leverage_pl_raw3,-0.03312039647550909,2.3672713776572034,-4.802018186417635,4.503215215582952
leverage_ne_raw0,0.02426606150161234,2.3782063378460014,-4.829309180230518,4.72575071950047
payroll_industry_pl_raw3,0.02333540191449143,2.272130329416907,-4.58234106666358,4.367016135415638
employ_industry_pl_raw3,-0.011438668549199633,2.4526764505392733,-4.887493150303151,4.8177173721386675
