Variable,Estimate,Est.Error,Q2.5,Q97.5
leverage_ne_rawM2,-1.8019275519853966,1.0686578706955836,-3.829645276862679,0.3983145762231083
employ_industry_pl_raw3,1.509080366485194,1.9550010456919313,-2.0993853719127342,5.709262821399508
committee_pl_raw3,0.7784212208368234,1.2851571730566813,-1.721415728884614,3.2793310208457127
leverage_pl_raw3,-0.6791460040344728,1.366626751647598,-3.429772600345412,1.9743531875125278
leverage_ne_rawM1,-0.6000148147258649,1.1391147361045326,-2.953030531297366,1.5892133611419141
employ_industry_pl_raw1,-0.5178386607688856,1.4032388036980838,-3.4168620440690485,2.242847679849603
leverage_pl_raw1,0.4634251225623315,0.861039221775207,-1.1974497718674821,2.1094494578546032
employ_industry_ne_raw0,0.4317482613726911,1.4041425582355098,-2.345880315993212,3.3218669065939856
committee_ne_raw0,0.40344703329099907,1.2823933552909297,-2.1184234905465966,2.9186633107125277
employ_industry_pl_raw2,-0.38076770158095247,1.4006986934243153,-3.331091896471464,2.316944359922928
committee_pl_raw1,-0.3259411711482339,1.285094225845069,-2.844424337381798,2.1870024526672567
leverage_pl_raw2,-0.32575024417968323,1.172663749354355,-2.5307782717441922,2.0671689370618496
ethnicity_pl_raw1,0.2583552959697194,1.2232365487966774,-2.0933956054543397,2.699150763156036
ethnicity_pl_raw2,0.22947128653044346,1.2220254634797942,-2.1324541018772787,2.672669381255457
committee_pl_raw2,-0.22567552276928368,1.2813465564447268,-2.6935341603585794,2.3174242612469236
party_score_pl_raw,0.2137654874621393,0.09366209048478924,0.03053130926063482,0.39838836220195445
party_value_ne_raw1,-0.2091178147801484,1.7611712203508874,-3.314595001326154,3.3618407167926105
leverage_ne_raw0,0.1844672193337133,1.234778624829776,-2.2982660975306874,2.5329306990090856
ethnicity_ne_raw0,-0.17559263857575227,1.223973765904473,-2.631399337652792,2.2625128291510883
ethnicity_pl_raw3,0.16994253770711779,1.2214046286209697,-2.163657595986856,2.6399592098108293
payroll_industry_pl_raw2,0.16213311853491283,1.2653775229203443,-2.2317041848332706,2.862364905869884
payroll_industry_pl_raw3,0.1104890896682219,1.4643862333808324,-2.7783611390522163,2.988660602045338
payroll_industry_ne_raw0,-0.07487388277928722,1.2526577369944474,-2.6735934216203097,2.317578790611913
party_score_ne_raw,0.04139362838110241,0.026525853545368547,-0.010269007082848764,0.09318909267400034
payroll_industry_pl_raw1,0.03370045887130095,1.2520452596412683,-2.3329953093046742,2.6698037576812403
party_value_pl_raw1,-0.00933204881917525,1.7610217370771917,-3.1093223850838836,3.5221468285783932
