Variable,Estimate,Est.Error,Q2.5,Q97.5
employ_industry_pl_raw2,-1.3391528055348239,2.0161772341569426,-5.574057657121772,2.452344881446742
employ_industry_pl_raw1,0.49246141186199427,1.6410255044417819,-2.749578099831393,3.749738920721344
ethnicity_ne_raw0,0.45663631185837544,1.338015585634771,-1.9744509645194448,3.230751542696075
employ_industry_ne_raw0,-0.3652454659032483,1.640843395409044,-3.588011525083765,3.0167255204420123
payroll_industry_pl_raw1,-0.3065547355535288,1.45101784438373,-3.0110284250134067,2.6411212169094047
payroll_industry_ne_raw0,0.28092239888703563,1.4496966637945663,-2.708330911495328,3.026366397043933
leverage_ne_rawM2,-0.22738076029133866,2.4971820057921548,-5.266919313274252,4.522798337369123
ethnicity_pl_raw3,0.20753630660821226,1.3211277711120337,-2.5044054902216004,2.564508490906343
payroll_industry_pl_raw2,0.14306771547979974,1.5663277594602907,-2.739438357636338,3.127392620711457
party_score_ne_raw,-0.14110927360273307,0.07928614988568246,-0.2957763323078586,0.011533769890656801
leverage_pl_raw1,0.133163729995477,2.529130406441332,-4.395121347013703,5.139732737994305
employ_industry_pl_raw3,0.12193512958093672,2.5114300639706166,-4.5570905262821695,5.003199554477352
ethnicity_pl_raw2,0.09812888916192022,1.3204948782355037,-2.604776523727942,2.4124737641798757
party_value_ne_raw1,-0.09523913888109474,1.7945850231289204,-3.527138982842036,3.2497307945521383
party_value_pl_raw1,-0.08769425075883111,1.7940832642902356,-3.518660309390963,3.2974396875987626
ethnicity_pl_raw1,0.0828585437541678,1.3228064616176194,-2.595576593881884,2.417787669883836
leverage_ne_rawM1,0.07873779615670047,2.337249958136817,-4.5231239965588435,4.52422038532408
party_score_pl_raw,0.05057588981300957,0.2556881768412901,-0.46081145163466686,0.5469140629224629
leverage_pl_raw3,-0.04570937874006424,2.4828724133733338,-4.93736697790194,4.644309655847235
leverage_pl_raw2,-0.03498004769447509,2.441702496637645,-5.027301420308827,4.70541535716147
leverage_ne_raw0,-0.026205283930418394,2.453284258829696,-4.825342488321254,4.897124259160057
payroll_industry_pl_raw3,0.00970217460848966,2.5515965588706084,-4.780449960371325,4.8909331694623335
