"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"5001600US4833","Congressional District 33 (116th Congress), Texas","751182","21875","456809","24294","121634","12001","2869","1123","16009","4469","55","105","140137","17196","13669","3208","6245","2281","7424","2140",
"5001600US4834","Congressional District 34 (116th Congress), Texas","712596","12529","653713","13322","10005","3393","2010","846","3375","674","63","114","32464","5569","10966","2918","5145","1870","5821","2058",
"5001600US4835","Congressional District 35 (116th Congress), Texas","857654","24352","659727","21713","78878","9080","4786","1787","15415","3520","370","297","75399","10185","23079","3728","4604","1423","18475","3499",
"5001600US4836","Congressional District 36 (116th Congress), Texas","758238","12699","625107","13199","68076","6508","3428","2180","13314","3180","157","289","27209","5422","20947","4237","3147","1024","17800","4272",
"5001600US4901","Congressional District 1 (116th Congress), Utah","787582","5651","720006","7336","7161","1601","8939","1402","13591","1803","2109","987","12854","2880","22922","3371","3527","1328","19395","2789",
"5001600US4902","Congressional District 2 (116th Congress), Utah","788484","8012","657266","9799","11721","3296","9819","3505","24378","4582","12392","3908","49411","7714","23497","4307","5014","2877","18483","2961",
"5001600US4903","Congressional District 3 (116th Congress), Utah","779460","8826","704050","9118","5428","1646","11851","1556","14874","2424","6325","1746","10500","3165","26432","3976","3195","1305","23237","3690",
"5001600US4904","Congressional District 4 (116th Congress), Utah","850432","10453","718205","13345","12608","3228","4759","1950","23627","3272","9899","2982","50611","6964","30723","4731","4020","1635","26703","4311",
"5001600US5000","Congressional District (at Large) (116th Congress), Vermont","623989","*****","585117","951","9435","1109","2928","839","8603","2541","386","381","2153","818","15367","2758","164","180","15203","2730",
"5001600US5101","Congressional District 1 (116th Congress), Virginia","824492","12001","596921","11454","134826","5430","1781","812","29756","3479","53","93","26421","5560","34734","5140","2800","1240","31934","4916",
"5001600US5102","Congressional District 2 (116th Congress), Virginia","723927","8055","486553","6915","139463","6456","1888","695","44601","2656","709","325","15586","3395","35127","4013","2923","1055","32204","4252",
"5001600US5103","Congressional District 3 (116th Congress), Virginia","760127","11440","329198","9118","360389","9308","975","652","19615","2557","725","696","15501","3488","33724","4501","3428","1231","30296","4445",
"5001600US5104","Congressional District 4 (116th Congress), Virginia","768382","12231","394028","9458","315577","9711","2487","963","12914","1953","26","45","16956","3740","26394","5420","1826","807","24568","5225",
"5001600US5105","Congressional District 5 (116th Congress), Virginia","735766","6813","551428","7128","142961","5317","2632","1499","12761","991","235","264","4947","1856","20802","3283","1708","876","19094","3107",
"5001600US5106","Congressional District 6 (116th Congress), Virginia","755012","5752","620342","5774","90140","4663","2033","922","11315","1827","428","302","8558","2392","22196","3373","2141","967","20055","3413",
"5001600US5107","Congressional District 7 (116th Congress), Virginia","802921","10559","554096","8803","144789","7934","1580","777","43682","2643","431","331","32184","4406","26159","4549","2803","1328","23356","4236",
"5001600US5108","Congressional District 8 (116th Congress), Virginia","813568","15855","511900","12891","114695","6805","2268","965","99313","7649","159","167","47546","7567","37687","4300","3788","1497","33899","4014",
"5001600US5109","Congressional District 9 (116th Congress), Virginia","704078","4797","638988","5303","38995","3971","1714","858","10633","1432","583","537","2632","932","10533","2047","936","519","9597","2015",
"5001600US5110","Congressional District 10 (116th Congress), Virginia","857693","13019","593061","12175","68611","6289","2284","1010","133607","5991","490","175","21341","4557","38299","6654","8023","3820","30276","4867",
"5001600US5111","Congressional District 11 (116th Congress), Virginia","789553","19412","438131","14167","109462","6884","3746","1576","147446","9101","1200","419","54991","9659","34577","4173","2531","1054","32046","3964",
"5001600US5301","Congressional District 1 (116th Congress), Washington","791545","13144","594230","13528","12178","3058","8855","2157","102923","8691","2011","843","29510","6134","41838","4616","5703","2133","36135","4079",
"5001600US5302","Congressional District 2 (116th Congress), Washington","760064","9980","578055","10362","25095","3380","12825","2709","72330","5904","3404","1721","26961","5135","41394","4928","3466","1198","37928","4888",
"5001600US5303","Congressional District 3 (116th Congress), Washington","756675","3595","650254","5917","12360","1608","4954","1243","24586","2075","4777","566","16118","3657","43626","4135","7144","2567","36482","3327",
"5001600US5304","Congressional District 4 (116th Congress), Washington","735797","3660","553564","10197","10104","1985","19600","2965","10032","1659","2097","1327","112143","10679","28257","3795","6807","2080","21450","3194",
"5001600US5305","Congressional District 5 (116th Congress), Washington","734322","2875","641200","4087","12783","1597","12499","1951","18104","1848","3551","288","11989","2399","34196","3479","2808","987","31388","3345",
"5001600US5306","Congressional District 6 (116th Congress), Washington","726540","8191","587323","7465","29054","3776","15200","2063","27394","2925","3285","593","13272","3442","51012","4206","3227","1242","47785","4071",
"5001600US5307","Congressional District 7 (116th Congress), Washington","817787","10376","569986","13460","41038","8115","4471","1579","119852","8420","2968","2634","23838","5556","55634","5313","4919","1700","50715","5189",
"5001600US5308","Congressional District 8 (116th Congress), Washington","770177","14232","557905","13118","23662","5859","9462","2731","73610","6244","7325","2316","53444","8418","44769","6979","3848","1860","40921","6652",
"5001600US5309","Congressional District 9 (116th Congress), Washington","751595","11482","369451","9446","90056","9090","5469","2130","179828","9777","8235","2944","48553","7617","50003","7027","4555","1775","45448","6731",
"5001600US5310","Congressional District 10 (116th Congress), Washington","770391","11373","549123","10536","49594","4765","10547","2108","56308","4900","12486","2423","29567","5371","62766","5780","5406","1658","57360","5524",
"5001600US5401","Congressional District 1 (116th Congress), West Virginia","601811","3721","563410","4329","15153","1973","2087","1378","5504","942","286","365","4413","1508","10958","1913","866","565","10092","1734",
"5001600US5402","Congressional District 2 (116th Congress), West Virginia","623039","3597","571968","4268","27559","2687","1319","501","5756","920","0","207","2400","1133","14037","2434","905","639","13132","2329",
"5001600US5403","Congressional District 3 (116th Congress), West Virginia","567297","1586","532626","2245","23213","1814","195","177","3051","993","113","199","844","534","7255","1625","82","114","7173","1616",
"5001600US5501","Congressional District 1 (116th Congress), Wisconsin","721691","6018","627038","7765","43033","2758","2509","877","15748","3811","601","622","15242","4584","17520","3424","4571","1889","12949","2653",
"5001600US5502","Congressional District 2 (116th Congress), Wisconsin","773663","2179","664613","4016","33742","2457","2833","768","35058","1628","533","433","14845","3071","22039","2768","1791","975","20248","2718",
"5001600US5503","Congressional District 3 (116th Congress), Wisconsin","723169","3245","673955","3409","10906","1311","3936","712","17737","1480","391","293","5595","1442","10649","1686","792","354","9857","1721",
"5001600US5504","Congressional District 4 (116th Congress), Wisconsin","704146","3827","357357","8339","237241","5007","5026","1447","27924","2519","165","191","50039","6152","26394","4391","5155","1768","21239","4235",
"5001600US5505","Congressional District 5 (116th Congress), Wisconsin","733314","5498","663623","7242","17884","3187","2155","763","22476","2395","456","299","10899","3147","15821","2774","1419","846","14402","2739",
"5001600US5506","Congressional District 6 (116th Congress), Wisconsin","715828","3214","655759","4366","14016","2071","3908","724","18607","1838","1245","1392","8492","3062","13801","2242","1272","918","12529","2040",
"5001600US5507","Congressional District 7 (116th Congress), Wisconsin","714544","3122","665940","3156","5745","970","14804","1212","11811","939","552","338","2152","629","13540","1589","330","319","13210","1500",
"5001600US5508","Congressional District 8 (116th Congress), Wisconsin","736079","1485","655069","3870","12180","1372","19406","1940","18059","1055","277","246","13818","3760","17270","2876","1262","713","16008","2801",
"5001600US5600","Congressional District (at Large) (116th Congress), Wyoming","578759","*****","525860","2716","7116","1901","13774","1592","4633","1379","754","498","10799","2278","15823","3004","2705","1336","13118","2497",
"5001600US7298","Resident Commissioner District (at Large) (116th Congress), Puerto Rico","3193694","*****","2054764","16368","395439","11148","3082","1232","6573","2492","183","211","506563","15573","227090","12317","14265","3009","212825","11480",
